assembly_accession	rel_start	rel_center	rel_end	orientation	has_tandem
GCF_000015785.2	0.0039745961410226	0.0043910925165093	0.0048075888919959	+	False
GCF_000015785.2	0.0155708877368839	0.0159873841123707	0.0164038804878573	+	False
GCF_000015785.2	0.0477591473251736	0.0481756437006604	0.048592140076147	+	True
GCF_000015785.2	0.0509238744649271	0.0513403708404138	0.0517568672159005	+	True
GCF_000015785.2	0.085688549979565	0.0861050463550516	0.0865215427305384	+	False
GCF_000015785.2	0.0912124373507711	0.0916289337262579	0.0920454301017445	+	False
GCF_000015785.2	0.3241019380928822	0.3245184344683689	0.3249349308438555	+	False
GCF_000015785.2	0.4699009443094065	0.4703174406848931	0.4707339370603798	+	False
GCF_000015785.2	-0.4831712510126097	-0.4827951041166837	-0.4824189572207576	-	False
GCF_000769555.1	0.0101742607701885	0.010582527956682	0.0109907951431755	+	False
GCF_000769555.1	0.0216326259513495	0.022040893137843	0.0224491603243365	+	False
GCF_000769555.1	0.0532660847783022	0.0536743519647957	0.0540826191512892	+	False
GCF_000769555.1	0.0874050231887327	0.0878132903752262	0.0882215575617197	+	False
GCF_000769555.1	0.3100337261905641	0.3104419933770574	0.310850260563551	+	False
GCF_000769555.1	0.4602001431702619	0.4606084103567553	0.4610166775432489	+	False
GCF_000769555.1	-0.4873909415067142	-0.4870236988847584	-0.4866564562628025	-	False
GCF_000815275.2	0.0037011313872483	0.0041114845878973	0.0045218377885461	+	False
GCF_000815275.2	0.0152238916752377	0.0156342448758866	0.0160445980765356	+	False
GCF_000815275.2	0.0470485319534721	0.047458620068074	0.0478687081826761	+	True
GCF_000815275.2	0.0501357240560285	0.0505458121706305	0.0509559002852325	+	True
GCF_000815275.2	0.0843737077055212	0.08478406090617	0.085194414106819	+	True
GCF_000815275.2	0.0875218695988717	0.0879324878855676	0.0883431061722635	+	True
GCF_000815275.2	0.3225561717333446	0.3229662598479468	0.3233763479625486	+	False
GCF_000815275.2	0.4620873935679521	0.462498011854648	0.4629086301413438	+	False
GCF_000815275.2	-0.491033221435857	-0.4906548835627948	-0.4902765456897326	-	False
GCF_000833005.1	0.0085184476952332	0.0089298424536019	0.0093412372119705	+	False
GCF_000833005.1	0.0403012822555799	0.0407126770139485	0.0411240717723173	+	True
GCF_000833005.1	0.0434272450096142	0.0438386397679828	0.0442500345263515	+	True
GCF_000833005.1	0.0777283785362951	0.0781397732946638	0.0785511680530324	+	False
GCF_000833005.1	0.0831846044342458	0.0835959991926145	0.0840073939509832	+	False
GCF_000833005.1	0.2958711795264047	0.2962825742847732	0.296693969043142	+	False
GCF_000833005.1	0.436770564426172	0.4371819591845407	0.4375933539429093	+	False
GCF_000833005.1	-0.4842901856472894	-0.4839074051833762	-0.4835246247194631	-	False
GCF_000875875.2	0.0038825573643125	0.0042891339839259	0.0046957106035392	+	False
GCF_000875875.2	0.0152940003044731	0.0157005769240865	0.0161071535436997	+	False
GCF_000875875.2	0.046714577438541	0.0471211540581544	0.0475277306777676	+	False
GCF_000875875.2	0.0806234349818628	0.0810300116014761	0.0814365882210894	+	True
GCF_000875875.2	0.0837416597985227	0.084148236418136	0.0845548130377494	+	True
GCF_000875875.2	0.3009869129049361	0.3013937520013858	0.3018005910978356	+	False
GCF_000875875.2	0.4765387704535074	0.4769453470731206	0.4773519236927341	+	False
GCF_000875875.2	-0.4738623780698744	-0.4734938337224977	-0.473125289375121	-	False
GCF_000973485.1	0.0085678572378394	0.008979814366639	0.0093917714954389	+	False
GCF_000973485.1	0.040356905401452	0.0407688625302518	0.0411808196590516	+	True
GCF_000973485.1	0.0434871412994335	0.0438990984282332	0.044311055557033	+	True
GCF_000973485.1	0.0778229302412169	0.0782348873700167	0.0786468444988165	+	True
GCF_000973485.1	0.0809068907741815	0.0813188479029813	0.081730805031781	+	True
GCF_000973485.1	0.2965660487752985	0.2969780059040983	0.297389963032898	+	False
GCF_000973485.1	0.4375527246615781	0.4379646817903779	0.4383766389191776	+	False
GCF_000973485.1	-0.4844290589020977	-0.4840462054002858	-0.4836633518984738	-	False
GCF_000988345.1	0.4729837055614342	0.4733527018676597	0.4737216981738851	+	False
GCF_000988345.1	-0.4835147035697437	-0.4831087173035593	-0.4827027310373749	-	False
GCF_000988345.1	-0.302060072338418	-0.3016540860722335	-0.3012480998060491	-	False
GCF_000988345.1	-0.0875598888714158	-0.0871539026052314	-0.086747916339047	-	True
GCF_000988345.1	-0.0844446191749226	-0.0840386329087382	-0.0836326466425538	-	True
GCF_000988345.1	-0.0505902395554856	-0.0501842532893012	-0.0497782670231168	-	True
GCF_000988345.1	-0.0475368244482885	-0.047130838182104	-0.0467248519159196	-	True
GCF_000988345.1	-0.0160696126225297	-0.0156636263563453	-0.0152576400901609	-	False
GCF_000988345.1	-0.0046763117890653	-0.0042703255228809	-0.0038643392566965	-	False
GCF_001023595.1	0.0038716516621046	0.0042801238337841	0.0046885960054638	+	False
GCF_001023595.1	0.0153368247287839	0.0157452969004636	0.0161537690721432	+	False
GCF_001023595.1	0.0469946046864864	0.0474030768581659	0.0478115490298456	+	True
GCF_001023595.1	0.0500677710446234	0.050476243216303	0.0508847153879826	+	True
GCF_001023595.1	0.0841326097389891	0.0845410819106688	0.0849495540823484	+	True
GCF_001023595.1	0.0872637902209283	0.087672262392608	0.0880807345642875	+	True
GCF_001023595.1	0.0903369565790653	0.0907454287507449	0.0911539009224245	+	True
GCF_001023595.1	0.3239081478199874	0.3243166199916669	0.3247250921633466	+	False
GCF_001023595.1	0.469134903933885	0.4695433761055647	0.4699518482772442	+	False
GCF_001023595.1	-0.4878807147426071	-0.4875142880393025	-0.4871478613359979	-	False
GCF_001536925.1	0.0044966813560423	0.0049159782149701	0.005335275073898	+	False
GCF_001536925.1	0.0161704039758762	0.0165897008348041	0.0170089976937319	+	False
GCF_001536925.1	0.0485750944703704	0.0489943913292982	0.0494136881882261	+	False
GCF_001536925.1	0.0835448314691902	0.0839714369241098	0.0843980423790292	+	False
GCF_001536925.1	0.3046239050640449	0.3050432019229729	0.3054624987819007	+	False
GCF_001536925.1	0.4548924282945527	0.4553117251534804	0.4557310220124084	+	False
GCF_001536925.1	-0.4882063523454044	-0.4878205450717043	-0.4874347377980043	-	False
GCF_001593395.2	-0.4369537088252873	-0.4365694387428426	-0.4361851686603978	-	False
GCF_001593395.2	-0.3011845521446084	-0.3008002820621636	-0.3004160119797188	-	False
GCF_001593395.2	-0.0796379938130536	-0.0792537237306088	-0.0788694536481641	-	True
GCF_001593395.2	-0.076702487306955	-0.0763182172245102	-0.0759339471420655	-	True
GCF_001593395.2	-0.0447194308445077	-0.044335160762063	-0.0439508906796182	-	False
GCF_001593395.2	-0.0150786391887147	-0.0147013018139429	-0.0143239644391711	-	False
GCF_001593395.2	-0.0044181155613042	-0.0040338454788594	-0.0036495753964147	-	False
GCF_001593395.2	0.4771308445156303	0.4774921545438459	0.4778534645720618	+	False
GCF_001685645.1	0.0039325932518639	0.0043445589089572	0.0047565245660504	+	False
GCF_001685645.1	0.0155155966040812	0.0159280952051035	0.0163405938061256	+	False
GCF_001685645.1	0.0475087536040333	0.0479215186770201	0.0483342837500066	+	True
