assembly_accession	rel_start	rel_center	rel_end	orientation	has_tandem
GCF_009017435.1	0.4107592891760904	0.4121486268174474	0.4135379644588045	+	False
GCF_009017435.1	0.4977005923532579	0.499089929994615	0.500479267635972	+	False
GCF_009017475.1	0.4107574941662179	0.4121468318075749	0.4135361694489319	+	False
GCF_009017475.1	0.4976987973433854	0.4990881349847424	0.5004774726260994	+	False
GCF_900291945.1	0.4132828729880593	0.4146801669165598	0.4160774608450602	+	False
GCF_900291945.1	0.5007334212475387	0.5021307151760392	0.5035280091045397	+	False
GCF_900298965.1	0.4132681816539615	0.4146654503414142	0.4160627190288666	+	False
GCF_900298965.1	0.5007189566097041	0.5021162252971567	0.5035134939846093	+	False
GCF_001628695.1	0.4133907089827167	0.4147919106851585	0.4161931123876006	+	False
GCF_001655235.1	0.413880194670092	0.4152805167079767	0.4166808387458614	+	False
GCF_001655235.1	0.5015088741338447	0.5029091961717294	0.5043095182096141	+	False
GCF_001655275.1	0.4137604225071895	0.4151603393079996	0.4165602561088101	+	False
GCF_001655275.1	0.5013637432400658	0.502763660040876	0.5041635768416864	+	False
GCF_001655315.1	0.4126930606917555	0.4140961496628237	0.4154992386338916	+	False
GCF_001655315.1	0.5004948879704155	0.5018979769414835	0.5033010659125516	+	False
GCF_001655355.1	0.4136408030385241	0.4150406945198046	0.4164405860010852	+	False
GCF_001655355.1	0.5012425393380359	0.5026424308193165	0.5040423223005969	+	False
GCF_001655395.1	0.4107718542451983	0.4121611918865553	0.4135505295279124	+	False
GCF_001655395.1	0.4977131574223658	0.4991024950637228	0.5004918327050799	+	False
GCF_001655435.1	0.4138594524214257	0.4152591413794351	0.4166588303374444	+	False
GCF_001655435.1	0.5014485153170096	0.5028482042750189	0.5042478932330283	+	False
GCF_001655475.1	0.4104257837721501	0.4118139751775593	0.4132021665829686	+	False
GCF_001655475.1	0.4972953583470837	0.498683549752493	0.5000717411579023	+	False
GCF_001655515.1	0.4105435952637244	0.4119321851453175	0.4133207750269106	+	False
GCF_001655515.1	0.4974381054897739	0.4988266953713671	0.5002152852529602	+	False
GCF_001655555.1	0.4106100843351875	0.4119989233805849	0.4133877624259824	+	False
GCF_001655555.1	0.4975201866140319	0.4989090256594295	0.5002978647048268	+	False
GCF_001712895.1	0.4110340739676324	0.4124243349559031	0.413814595944174	+	False
GCF_001712895.1	0.4980331579041905	0.4994234188924613	0.5008136798807321	+	False
GCF_001712915.1	0.4110376663732868	0.4124279273615576	0.4138181883498285	+	False
GCF_001712915.1	0.498036750309845	0.4994270112981158	0.5008172722863866	+	False
GCF_001712935.1	0.4110033408772497	0.4124070481732946	0.4138107554693394	+	False
GCF_001712935.1	0.4980008621618709	0.4994045694579156	0.5008082767539606	+	False
GCF_001712955.1	0.4110340739676324	0.4124243349559031	0.413814595944174	+	False
GCF_001712955.1	0.4980331579041905	0.4994234188924613	0.5008136798807321	+	False
GCF_001712975.1	0.4110125195337057	0.4124162520431806	0.4138199845526557	+	False
GCF_001712975.1	0.4980116034702638	0.4994153359797388	0.5008190684892138	+	False
GCF_001712995.1	0.4110107233308785	0.4124144558403535	0.4138181883498285	+	False
GCF_001712995.1	0.4980080110646094	0.4994117435740843	0.5008154760835594	+	False
GCF_001713015.1	0.4110125195337057	0.4124162520431806	0.4138199845526557	+	False
GCF_001713015.1	0.4980116034702638	0.4994153359797388	0.5008190684892138	+	False
GCF_001713035.1	0.4112119469503648	0.4126163605650002	0.4140207741796355	+	False
GCF_001713035.1	0.4982532437192251	0.4996576573338604	0.5010620709484959	+	False
GCF_001713055.1	0.4110598167774384	0.412450152685468	0.4138404885934973	+	False
GCF_001713055.1	0.4980617927070235	0.499452128615053	0.5008424645230825	+	False
GCF_001713075.1	0.4110560255788471	0.4124463365127266	0.413836647446606	+	False
