assembly_accession	start	end	orientation
GCF_001022015.1	1392991	1394532	-
GCF_001022015.1	1926522	1928063	-
GCF_001022015.1	2088918	2090459	-
GCF_001022015.1	2492885	2494426	+
GCF_001022015.1	2573162	2574703	+
GCF_001022015.1	2832301	2833842	+
GCF_001022015.1	2953891	2955432	+
GCF_001022015.1	3739954	3741495	+
GCF_001022055.1	13326	14867	+
GCF_001022055.1	544405	545946	+
GCF_001022055.1	3076150	3077691	-
GCF_001022055.1	3862211	3863752	-
GCF_001022055.1	3983801	3985342	-
GCF_001022055.1	4242940	4244481	-
GCF_001022055.1	4323217	4324758	-
GCF_001022055.1	4727184	4728725	+
GCF_001022075.1	40381	41922	-
GCF_001022075.1	202633	204174	-
GCF_001022075.1	606600	608141	+
GCF_001022075.1	686877	688418	+
GCF_001022075.1	946016	947557	+
GCF_001022075.1	1067606	1069147	+
GCF_001022075.1	1853667	1855208	+
GCF_001022075.1	4390304	4391845	-
GCF_001022255.1	13326	14867	+
GCF_001022255.1	516823	518364	+
GCF_001022255.1	3048677	3050218	-
GCF_001022255.1	3834740	3836281	-
GCF_001022255.1	3956330	3957871	-
GCF_001022255.1	4216297	4217838	-
GCF_001022255.1	4296574	4298115	-
GCF_001022255.1	4700541	4702082	+
GCF_001874505.1	362172	363713	+
GCF_001874505.1	442449	443990	+
GCF_001874505.1	701588	703129	+
GCF_001874505.1	823178	824719	+
GCF_001874505.1	1609241	1610782	+
GCF_001874505.1	4141997	4143538	-
GCF_001874505.1	4674462	4676003	-
GCF_001874505.1	4836714	4838255	-
GCF_002237465.1	910044	911595	-
GCF_002237465.1	1483548	1485099	-
GCF_002237465.1	1840659	1842210	+
GCF_002237465.1	1962310	1963861	+
GCF_002237465.1	2045171	2046722	+
GCF_002237465.1	2315751	2317302	+
GCF_002237465.1	3134304	3135855	+
GCF_003051945.2	317811	319352	+
GCF_003051945.2	429059	430600	+
GCF_003051945.2	943713	945254	+
GCF_003051945.2	3499141	3500682	-
GCF_003051945.2	4313972	4315513	-
GCF_003051945.2	4540863	4542404	-
GCF_003051945.2	4612170	4613711	-
GCF_003051945.2	4728848	4730389	-
GCF_003073995.1	1859648	1861189	-
GCF_003073995.1	2660748	2662289	-
GCF_003073995.1	2931157	2932698	-
GCF_003073995.1	3010982	3012523	-
GCF_003073995.1	3131184	3132725	-
GCF_003073995.1	3475336	3476877	+
GCF_003073995.1	3591417	3592958	+
GCF_003073995.1	4192493	4194034	+
GCF_003186415.1	281953	283494	+
GCF_003186415.1	390835	392376	+
GCF_003186415.1	885369	886910	+
GCF_003186415.1	3451670	3453211	-
GCF_003186415.1	4181887	4183428	-
GCF_003186415.1	4407639	4409180	-
GCF_003186415.1	4487593	4489134	-
GCF_003186415.1	4604129	4605670	-
GCF_003186565.1	281945	283486	+
GCF_003186565.1	390826	392367	+
GCF_003186565.1	885357	886898	+
GCF_003186565.1	3451626	3453167	-
GCF_003186565.1	4181830	4183371	-
GCF_003186565.1	4407582	4409123	-
GCF_003186565.1	4487536	4489077	-
GCF_003186565.1	4604071	4605612	-
GCF_003408555.1	1164460	1166001	-
GCF_003408555.1	1661299	1662840	-
GCF_003408555.1	1778862	1780401	-
GCF_003408555.1	2116397	2117938	+
GCF_003408555.1	2236616	2238157	+
GCF_003408555.1	2316891	2318432	+
GCF_003408555.1	2551327	2552868	+
GCF_003408555.1	3340378	3341919	+
GCF_003408575.1	192658	194199	+
GCF_003408575.1	941041	942582	+
GCF_003408575.1	3637110	3638651	-
GCF_003408575.1	4133247	4134788	-
GCF_003408575.1	4252311	4253852	-
GCF_003408575.1	4579601	4581142	+
GCF_003408575.1	4699797	4701338	+
GCF_003408575.1	4780284	4781825	+
GCF_003408595.1	617836	619377	-
GCF_003408595.1	887448	888989	-
GCF_003408595.1	965560	967101	-
GCF_003408595.1	1092035	1093576	-
GCF_003408595.1	1418851	1420392	+
GCF_003408595.1	1536428	1537969	+
GCF_003408595.1	2155029	2156570	+
GCF_003408595.1	4712473	4714014	-
GCF_003428425.1	1544886	1546437	-
GCF_003428425.1	2258161	2259712	-
GCF_003428425.1	2483902	2485453	-
GCF_003428425.1	2563854	2565405	-
GCF_003428425.1	2678975	2680526	-
GCF_003428425.1	3015419	3016970	+
GCF_003428425.1	3125710	3127261	+
GCF_003428425.1	3614049	3615600	+
GCF_003444755.1	267918	269459	+
GCF_003444755.1	384511	386052	+
GCF_003444755.1	885051	886592	+
GCF_003444755.1	3519093	3520636	-
GCF_003444755.1	4389294	4390835	-
GCF_003444755.1	4652541	4654082	-
GCF_003444755.1	4732378	4733921	-
GCF_003444755.1	4852701	4854242	-
GCF_003660125.1	279311	280862	+
GCF_003660125.1	396752	398303	+
GCF_003660125.1	1130306	1131857	+
GCF_003660125.1	3757565	3759116	-
GCF_003660125.1	4232318	4233869	-
GCF_003660125.1	4493459	4495010	-
GCF_003660125.1	4573186	4574737	-
GCF_003660125.1	4691932	4693483	-
GCF_003965345.2	284017	285558	+
GCF_003965345.2	392897	394438	+
GCF_003965345.2	1117873	1119414	+
GCF_003965345.2	3648201	3649742	-
GCF_003965345.2	4151853	4153394	-
GCF_003965345.2	4402068	4403609	-
GCF_003965345.2	4471234	4472775	-
GCF_003965345.2	4587775	4589316	-
GCF_004118875.1	275094	276635	+
GCF_004118875.1	385277	386818	+
GCF_004118875.1	848740	850281	+
GCF_004118875.1	3535764	3537305	-
GCF_004118875.1	4340790	4342331	-
GCF_004118875.1	4603658	4605199	-
GCF_004118875.1	4683483	4685024	-
GCF_004118875.1	4803520	4805061	-
GCF_008123985.1	281570	283121	+
GCF_008123985.1	397888	399439	+
GCF_008123985.1	916675	918226	+
GCF_008123985.1	3417189	3418740	-
GCF_008123985.1	4150845	4152396	-
GCF_008123985.1	4382899	4384450	-
GCF_008123985.1	4463228	4464779	-
GCF_008123985.1	4583332	4584883	-
GCF_008124025.1	281580	283131	+
GCF_008124025.1	397898	399449	+
GCF_008124025.1	916685	918236	+
GCF_008124025.1	3417204	3418755	-
GCF_008124025.1	4150860	4152411	-
GCF_008124025.1	4382923	4384474	-
GCF_008124025.1	4463242	4464793	-
GCF_008124025.1	4583346	4584897	-
GCF_008505035.1	2253654	2255194	-
GCF_008505035.1	2753092	2754631	-
GCF_008505035.1	2870582	2872122	-
GCF_008505035.1	3194388	3195934	+
GCF_008505035.1	3314566	3316111	+
GCF_008505035.1	3395662	3397204	+
GCF_008505035.1	3661705	3663247	+
GCF_008505035.1	4447400	4448939	+
GCF_008693905.1	185879	187420	-
GCF_008693905.1	683325	684866	-
GCF_008693905.1	916141	917682	-
GCF_008693905.1	1032427	1033968	-
GCF_008693905.1	1112308	1113849	-
GCF_008693905.1	1232571	1234112	-
GCF_008693905.1	1561616	1563157	+
GCF_008693905.1	2330697	2332238	+
GCF_008931325.1	285467	287008	+
GCF_008931325.1	401634	403175	+
GCF_008931325.1	899959	901500	+
GCF_008931325.1	3449486	3451025	-
GCF_008931325.1	4234863	4236404	-
GCF_008931325.1	4467431	4468972	-
GCF_008931325.1	4547709	4549250	-
GCF_008931325.1	4667922	4669463	-
GCF_008931405.1	280618	282159	+
GCF_008931405.1	390849	392390	+
GCF_008931405.1	986943	988484	+
GCF_008931405.1	3525621	3527162	-
GCF_008931405.1	4274902	4276443	-
GCF_008931405.1	4533173	4534714	-
GCF_008931405.1	4613124	4614665	-
GCF_008931405.1	4728244	4729785	-
GCF_008931525.1	287611	289152	+
GCF_008931525.1	399637	401178	+
GCF_008931525.1	963205	964746	+
GCF_008931525.1	3533278	3534819	-
GCF_008931525.1	4311616	4313157	-
GCF_008931525.1	4605710	4607251	-
GCF_008931525.1	4677062	4678603	-
GCF_008931525.1	4793788	4795329	-
GCF_008931585.1	285467	287008	+
GCF_008931585.1	401635	403176	+
GCF_008931585.1	899960	901501	+
GCF_008931585.1	3454413	3455952	-
GCF_008931585.1	4239789	4241330	-
GCF_008931585.1	4472357	4473898	-
GCF_008931585.1	4552635	4554176	-
GCF_008931585.1	4672848	4674389	-
GCF_008931645.1	276881	278422	+
GCF_008931645.1	406970	408511	+
GCF_008931645.1	1017200	1018741	+
