assembly_accession	start	end	orientation
GCF_000832485.1	600870	602421	-
GCF_000832485.1	1181679	1183230	+
GCF_000832485.1	1201250	1202801	+
GCF_000832485.1	1254577	1256128	+
GCF_000832485.1	1260291	1261842	+
GCF_000832485.1	1323360	1324910	+
GCF_000832485.1	1432429	1433979	+
GCF_000832485.1	1452946	1454496	+
GCF_000832485.1	1460136	1461687	+
GCF_000832485.1	1473376	1474927	+
GCF_000832485.1	1483376	1484927	+
GCF_000832485.1	1490552	1492103	+
GCF_000832485.1	1698658	1700209	+
GCF_000832485.1	1907604	1909154	+
GCF_000832825.1	2409648	2411198	-
GCF_000832825.1	3004570	3006121	+
GCF_000832825.1	3024369	3025920	+
GCF_000832825.1	3077694	3079245	+
GCF_000832825.1	3083409	3084960	+
GCF_000832825.1	3146475	3148026	+
GCF_000832825.1	3253464	3255014	+
GCF_000832825.1	3283006	3284557	+
GCF_000832825.1	3290251	3291801	+
GCF_000832825.1	3297563	3299114	+
GCF_000832825.1	3307566	3309117	+
GCF_000832825.1	3314741	3316291	+
GCF_000832825.1	3529714	3531266	+
GCF_000832825.1	3757241	3758792	+
GCF_000832925.1	114144	115695	+
GCF_000832925.1	4031200	4032750	-
GCF_000832925.1	4241073	4242624	-
GCF_000832925.1	4449041	4450591	-
GCF_000832925.1	4456217	4457767	-
GCF_000832925.1	4466216	4467766	-
GCF_000832925.1	4479451	4481001	-
GCF_000832925.1	4486643	4488193	-
GCF_000832925.1	4507161	4508712	-
GCF_000832925.1	4613563	4615113	-
GCF_000832925.1	4676628	4678179	-
GCF_000832925.1	4682341	4683892	-
GCF_000832925.1	4735665	4737216	-
GCF_000832925.1	4755462	4757013	-
GCF_000833085.1	1699346	1700896	-
GCF_000833085.1	1910295	1911846	-
GCF_000833085.1	2127386	2128937	-
GCF_000833085.1	2134563	2136115	-
GCF_000833085.1	2144533	2146084	-
GCF_000833085.1	2151878	2153429	-
GCF_000833085.1	2158889	2160440	-
GCF_000833085.1	2179409	2180959	-
GCF_000833085.1	2280240	2281790	-
GCF_000833085.1	2343305	2344856	-
GCF_000833085.1	2349018	2350569	-
GCF_000833085.1	2402346	2403897	-
GCF_000833085.1	2422147	2423698	-
GCF_000833085.1	3008170	3009724	+
GCF_001017635.1	1910473	1912024	-
GCF_001017635.1	2165315	2166866	-
GCF_001017635.1	2431933	2433484	-
GCF_001017635.1	2447432	2448983	-
GCF_001017635.1	2457852	2459403	-
GCF_001017635.1	2465120	2466671	-
GCF_001017635.1	2541066	2542617	-
GCF_001017635.1	2634040	2635591	-
GCF_001017635.1	2697253	2698804	-
GCF_001017635.1	2702961	2704512	-
GCF_001017635.1	2756245	2757796	-
GCF_001017635.1	2775985	2777536	-
GCF_001017635.1	3458955	3460506	+
GCF_001182785.1	9061	10612	+
GCF_001182785.1	28950	30501	+
GCF_001182785.1	82239	83790	+
GCF_001182785.1	87950	89501	+
GCF_001182785.1	151134	152685	+
GCF_001182785.1	244141	245692	+
GCF_001182785.1	264726	266277	+
GCF_001182785.1	271983	273534	+
GCF_001182785.1	280662	282213	+
GCF_001182785.1	293983	295534	+
GCF_001182785.1	301136	302687	+
GCF_001182785.1	523755	525306	+
GCF_001182785.1	741041	742592	+
GCF_001182785.1	4695623	4697174	-
GCF_001420855.1	50747	52298	-
GCF_001420855.1	143724	145275	-
GCF_001420855.1	206938	208489	-
GCF_001420855.1	212646	214197	-
GCF_001420855.1	265930	267481	-
GCF_001420855.1	285670	287221	-
GCF_001420855.1	968641	970192	+
GCF_001420855.1	5094520	5096071	-
GCF_001420855.1	5349369	5350920	-
GCF_001420855.1	5615996	5617547	-
GCF_001420855.1	5631495	5633046	-
GCF_001420855.1	5641915	5643466	-
GCF_001420855.1	5649184	5650735	-
GCF_001455345.1	15007	16558	+
GCF_001455345.1	68290	69841	+
GCF_001455345.1	131469	133020	+
GCF_001455345.1	234044	235595	+
GCF_001455345.1	254727	256278	+
GCF_001455345.1	261927	263478	+
GCF_001455345.1	274951	276490	+
GCF_001455345.1	489168	490719	+
GCF_001455345.1	700746	702317	+
GCF_001455345.1	4754513	4756065	-
GCF_001455345.1	5322792	5324343	+
GCF_001595725.1	9311	10860	+
GCF_001595725.1	29023	30555	+
GCF_001595725.1	82280	83826	+
GCF_001595725.1	87971	89522	+
GCF_001595725.1	151177	152725	+
GCF_001595725.1	238896	240438	+
GCF_001595725.1	246149	247700	+
GCF_001595725.1	266717	268260	+
GCF_001595725.1	279995	281545	+
GCF_001595725.1	290377	291914	+
GCF_001595725.1	297463	299010	+
GCF_001595725.1	509679	511220	+
GCF_001595725.1	717201	718722	+
GCF_001595725.1	4682420	4683971	-
GCF_001598095.1	9316	10867	+
GCF_001598095.1	29057	30608	+
GCF_001598095.1	82331	83882	+
GCF_001598095.1	88041	89592	+
GCF_001598095.1	151238	152789	+
GCF_001598095.1	243678	245229	+
GCF_001598095.1	264412	265963	+
GCF_001598095.1	271668	273219	+
GCF_001598095.1	279182	280733	+
GCF_001598095.1	286293	287844	+
GCF_001598095.1	555324	556875	+
GCF_001598095.1	765996	767547	+
GCF_001598095.1	5057450	5059001	-
GCF_001685565.1	9011	10562	+
GCF_001685565.1	28754	30305	+
GCF_001685565.1	82031	83582	+
GCF_001685565.1	87742	89293	+
GCF_001685565.1	150927	152478	+
GCF_001685565.1	250186	251737	+
GCF_001685565.1	270772	272323	+
GCF_001685565.1	278007	279558	+
GCF_001685565.1	286618	288169	+
GCF_001685565.1	600514	602064	+
GCF_001685565.1	860316	861867	+
GCF_001685565.1	5117898	5119449	-
GCF_001692675.1	17278	18829	-
GCF_001692675.1	24425	25976	-
GCF_001692675.1	37734	39285	-
GCF_001692675.1	48150	49701	-
GCF_001692675.1	55424	56975	-
GCF_001692675.1	75998	77549	-
GCF_001692675.1	164329	165880	-
GCF_001692675.1	227546	229097	-
GCF_001692675.1	233254	234805	-
GCF_001692675.1	286538	288089	-
GCF_001692675.1	306277	307828	-
GCF_001692675.1	881025	882576	+
GCF_001692675.1	4914821	4916372	-
GCF_001692675.1	5122448	5123999	-
GCF_001692675.1	5338959	5340498	-
GCF_002025105.1	8912	10463	+
GCF_002025105.1	28652	30203	+
GCF_002025105.1	81928	83479	+
GCF_002025105.1	87638	89189	+
GCF_002025105.1	150836	152387	+
GCF_002025105.1	244522	246073	+
GCF_002025105.1	265110	266661	+
GCF_002025105.1	272367	273918	+
GCF_002025105.1	279881	281432	+
GCF_002025105.1	286992	288543	+
GCF_002025105.1	502980	504531	+
GCF_002025105.1	723462	725013	+
GCF_002025105.1	5112393	5113944	-
GCF_002119445.1	88791	90345	+
GCF_002119445.1	111908	113462	+
GCF_002119445.1	119142	120696	+
GCF_002119445.1	134557	136111	+
GCF_002119445.1	141709	143263	+
GCF_002119445.1	361581	363135	+
GCF_002119445.1	624207	625761	+
GCF_002119445.1	4714676	4716230	-
GCF_002119445.1	5350074	5351628	+
GCF_002119445.1	5369818	5371372	+
GCF_002119445.1	5423099	5424653	+
GCF_002173755.1	3588437	3589989	-
GCF_002173755.1	4208225	4209776	+
GCF_002173755.1	4228191	4229742	+
GCF_002173755.1	4281701	4283252	+
GCF_002173755.1	4345363	4346914	+
GCF_002173755.1	4438844	4440397	+
GCF_002173755.1	4459863	4461414	+
GCF_002173755.1	4467590	4469141	+
GCF_002173755.1	4478451	4480002	+
GCF_002173755.1	4492196	4493747	+
GCF_002173755.1	4499755	4501306	+
GCF_002173755.1	4728574	4730125	+
GCF_002173755.1	4935298	4936849	+
GCF_002184245.1	1	1504	+
GCF_002184245.1	209216	210767	+
GCF_002184245.1	4219946	4221497	-
GCF_002184245.1	4861161	4862712	+
GCF_002184245.1	4880901	4882452	+
GCF_002184245.1	4934187	4935738	+
GCF_002184245.1	4997406	4998957	+
GCF_002184245.1	5097457	5099008	+
GCF_002184245.1	5118032	5119583	+
GCF_002184245.1	5125305	5126857	+
GCF_002184245.1	5135716	5137267	+
GCF_002184245.1	5149027	5150578	+
GCF_002192515.1	9958	11509	+
GCF_002192515.1	29756	31307	+
GCF_002192515.1	83109	84660	+
GCF_002192515.1	88825	90376	+
GCF_002192515.1	151915	153466	+
GCF_002192515.1	256463	258014	+
GCF_002192515.1	276996	278547	+
GCF_002192515.1	284188	285739	+
GCF_002192515.1	297435	298986	+
GCF_002192515.1	307437	308988	+
GCF_002192515.1	314610	316161	+
GCF_002192515.1	526329	527880	+
GCF_002192515.1	736328	737879	+
GCF_002192515.1	4656118	4657668	-
GCF_002222555.1	166197	167748	+
GCF_002222555.1	4131856	4133407	-
GCF_002222555.1	4340880	4342431	-
GCF_002222555.1	4571914	4573465	-
GCF_002222555.1	4579062	4580613	-
GCF_002222555.1	4592369	4593920	-
GCF_002222555.1	4602782	4604333	-
GCF_002222555.1	4610051	4611602	-
GCF_002222555.1	4630624	4632175	-
GCF_002222555.1	4725965	4727516	-
GCF_002222555.1	4789182	4790733	-
GCF_002222555.1	4794891	4796442	-
GCF_002222555.1	4848177	4849728	-
GCF_002222555.1	4867918	4869469	-
GCF_003054785.2	212890	214442	-
GCF_003054785.2	795339	796892	+
GCF_003054785.2	815081	816634	+
GCF_003054785.2	868372	869925	+
GCF_003054785.2	874084	875638	+
GCF_003054785.2	937299	938850	+
GCF_003054785.2	1030874	1032425	+
GCF_003054785.2	1051448	1053001	+
GCF_003054785.2	1058730	1060281	+
GCF_003054785.2	1069144	1070696	+
GCF_003054785.2	1082448	1084001	+
GCF_003054785.2	1089562	1091114	+
GCF_003054785.2	1308134	1309688	+
GCF_003054785.2	1519118	1520669	+
GCF_003626955.1	1495264	1496815	-
GCF_003626955.1	1748977	1750528	-
GCF_003626955.1	1961211	1962762	-
GCF_003626955.1	1968363	1969914	-
GCF_003626955.1	1978753	1980304	-
GCF_003626955.1	1992065	1993616	-
GCF_003626955.1	2012640	2014191	-
GCF_003626955.1	2019917	2021468	-
GCF_003626955.1	2107678	2109229	-
GCF_003626955.1	2170896	2172447	-
GCF_003626955.1	2176605	2178156	-
GCF_003626955.1	2229892	2231443	-
GCF_003626955.1	2249633	2251184	-
GCF_003626955.1	2820335	2821886	+
GCF_003991175.1	9327	10878	+
GCF_003991175.1	29068	30620	+
GCF_003991175.1	85179	86730	+
GCF_003991175.1	148619	150170	+
GCF_003991175.1	262325	263876	+
GCF_003991175.1	282904	284455	+
GCF_003991175.1	290180	291731	+
GCF_003991175.1	303477	305028	+
GCF_003991175.1	310585	312136	+
GCF_003991175.1	540865	542416	+
GCF_003991175.1	808204	809757	+
GCF_003991175.1	5020634	5022186	-
GCF_004194435.2	9193	10744	+
GCF_004194435.2	28720	30271	+
