assembly_accession	origin	terminus	length
GCF_003044255.1	2587360	428120	4384460
GCF_009730575.1	709060	3088160	4659617
GCF_016406305.1	100	2287680	4575397
GCF_016406325.1	4372490	2146320	4386330
GCF_017068195.1	4372400	2146460	4386237
GCF_900636665.1	2070240	4756810	5049396
GCF_006400955.1	9303310	4682860	9321034
GCF_006401215.1	9245240	4520470	9262965
GCF_006401635.1	8945290	4377410	8952969
GCF_006402015.1	9412270	4712540	9429999
GCF_006402415.1	9298660	4592970	9316378
GCF_006402735.1	9296430	4586600	9316447
GCF_015775755.1	9183330	4597710	9201039
GCF_016698685.1	9245260	4643580	9251369
GCF_000219105.1	2074910	6533870	9003593
GCF_002305875.1	42180	6302790	12349744
GCF_001027285.1	473010	6854290	12489432
GCF_001189295.1	704050	6413550	11388132
GCF_002950945.1	13295510	5484330	14557589
GCF_004135735.1	10042180	4413810	11261481
GCF_004135755.1	13123750	5873630	14598830
GCF_002222655.1	658850	2233940	3464895
GCF_001442515.1	13750	2853250	6157384
GCF_002355975.1	6064500	3284840	6096022
GCF_005954665.1	5130	3027860	6131517
GCF_017355525.1	3927170	1041330	5947018
GCF_006738645.1	4450	2747020	5832650
GCF_003149495.1	8036960	3642780	8998893
GCF_008065095.1	8982240	4377570	8999201
GCF_007746295.1	63420	3899440	7530055
GCF_007747015.1	103780	3710540	7626893
GCF_008298035.1	141070	3807230	7816689
GCF_009720545.1	7565600	3891960	7818248
GCF_009685195.1	1337550	3256200	4075934
GCF_002151465.1	456780	3680	909921
GCF_002151485.1	458080	4960	910728
GCF_002151505.1	456780	3680	909921
GCF_002442595.1	458390	10040	904573
GCF_003367295.1	457300	4660	908512
GCF_001598195.1	465880	5030	927432
GCF_003568645.1	459340	921050	925547
GCF_002850235.1	1872830	343750	2998332
GCF_017751165.1	1879090	312520	3003105
GCF_017751185.1	1875500	310980	3003989
GCF_017751205.1	1896170	362540	3010106
GCF_017751225.1	1881010	311130	3052634
GCF_009017435.1	2460	559560	1139562
GCF_009017475.1	2460	559560	1139560
GCF_900291945.1	2430	556000	1140446
GCF_900298965.1	2430	556010	1140463
GCF_001628695.1	1005630	418790	1139223
GCF_001655235.1	2460	555190	1139466
