assembly_accession	seq_id	origin	terminus	repl_1_mean	repl_2_mean	c_skew_min	c_skew_max	length
GCF_000772125.1	NZ_CP009748.1	3866580	1842140	0.0703480039288047	-0.0661073506241145	-355.7117301962962	13138.18595099133	3876276
GCF_000772165.1	NZ_CP009749.1	2440	1896210	0.076319656483812	-0.0647945643382155	-2.946103911539219	14450.27383832936	3959897
GCF_000772205.1	NZ_CP009611.1	3230	1888690	0.0733255530046595	-0.063499410802629	-14.530292724829692	13810.716574165092	3981674
GCF_000782835.1	NZ_CP009796.1	4062910	1921160	0.08032823331202	-0.0743213521460743	-489.444234303967	15432.71668662897	4079669
GCF_000789295.1	NZ_CP010053.1	4205120	1948060	0.0814096896440839	-0.0770570523907671	-1449.698134219349	16059.736533184929	4215367
GCF_000952895.1	NZ_LN680001.1	4228880	1968130	0.0803589466405507	-0.0771507003059282	-1588.0690657876196	15927.540796193023	4233615
GCF_000953615.1	NZ_LN649259.1	4241520	1960700	0.0816116564598687	-0.0768900079238966	-1452.8750855606283	16197.513955529475	4251652
GCF_001015095.1	NZ_CP011534.1	1250	1941140	0.0819565165559604	-0.0747480001995885	-0.1134912384784187	15898.556938664417	4025326
GCF_001037985.1	NZ_CP011882.1	954010	2857750	0.0811691544639578	-0.0772437770563898	-6793.157472187639	8663.639583729197	4090708
GCF_001704095.1	NZ_CP016894.1	1000	2076000	0.0816995450999278	-0.0772513645242763	-2.6429993477660387	16953.203831717317	4235115
GCF_001720505.1	NZ_CP017112.1	4154700	1922850	0.0801009041222289	-0.0767522678575356	-1644.207309641322	15607.39620634539	4165121
GCF_001746575.1	NZ_CP017314.1	4010400	1923260	0.080272828507613	-0.075065696421573	-228.56056535631689	15438.712075175828	4010416
GCF_001747445.1	NZ_CP015222.1	4163970	1987140	0.0765907880330969	-0.074901977113117	-914.4277733925124	15659.838577047483	4186269
GCF_001808235.1	NZ_CP017676.1	1909360	3834940	0.0796392991285599	-0.0751156866559744	-14614.9410661264	737.1627408956446	4013819
GCF_001889385.1	NZ_CP018295.1	4107310	1938040	0.0703699420023167	-0.0654599773520111	-487.538498641873	13821.597162906748	4117900
GCF_001889625.1	NZ_CP018173.1	1088280	3008320	0.0812681895863468	-0.0735009784236712	-7438.849657487688	8165.239595227521	4108293
GCF_001890405.1	NZ_CP018184.1	3385380	1192750	0.0818395404656097	-0.074752517531292	-6933.024013232525	9457.44237051936	4138265
GCF_001902555.1	NZ_CP017763.1	2283900	352770	0.0749544063104665	-0.0812930482970208	-12849.002796372142	2849.749371705654	4121999
GCF_002072735.1	NZ_CP020367.1	4068350	1932600	0.0810539455380212	-0.0753394877178217	-388.69865181697753	15761.8993078761	4072961
GCF_002096095.1	NZ_CP020722.1	2177060	720	0.0793617814714723	-0.0752510038337595	-16379.186542385887	-0.0283400809716599	4142593
GCF_002142595.1	NZ_CP021169.1	1400	1859870	0.0819848227435441	-0.0740500759606988	-52.55988126218493	15233.109029474455	3923177
GCF_002163815.1	NZ_CP016767.1	2583400	582030	0.0736768803261664	-0.0798011950459924	-11230.600611216778	4740.648380197064	4282516
GCF_002202055.1	NZ_CP021903.1	4057190	1915200	0.079290177161775	-0.0762565875630637	-1083.094963416259	15358.755249343983	4065429
GCF_002205435.1	NZ_CP021985.1	2213260	68660	0.0807934634675178	-0.0744697845888453	-15333.090273283378	637.7048654451747	4093698
GCF_002216085.1	NZ_CP022287.1	4067480	1923650	0.079762484573076	-0.0751533429425145	-727.7289579516968	15481.83035775452	4072531
GCF_002269175.1	NZ_CP022890.1	3864070	1961990	0.0752581938168939	-0.0807975465695927	-623.2248167589086	14745.122496319034	4014255
GCF_002269195.1	NZ_CP022891.1	2261580	60590	0.0786932313904471	-0.0752944527860339	-16114.057797310476	475.0342248564038	4196031
GCF_002290305.1	NZ_CP023257.1	930	1977630	0.0814566489911447	-0.0751375373820914	-0.3759363843573485	16108.663942489544	4072939
GCF_002982175.1	NZ_CP020023.1	2280340	88110	0.0812711948673767	-0.0748155369617936	-15666.151469236547	735.1401100528049	4141030
GCF_003148355.1	NZ_CP029461.1	4024690	1880770	0.0814408988707483	-0.0755918037885895	-1230.7469036249838	14976.249476008205	4120380
GCF_003184225.1	NZ_CP020915.1	2575530	464920	0.0815101312833296	-0.0760902073484857	-11481.724473302813	4581.99198279991	4040837
GCF_003515125.1	NZ_CP032089.1	4184720	1943170	0.0797206330627865	-0.0739150414215825	-1013.5753485433492	15651.134893922494	4192717
GCF_004101345.1	NZ_CP035161.1	4128060	1984560	0.0799570147101604	-0.0771019731058299	-617.6807613389807	15974.378597727087	4133206
GCF_004101365.1	NZ_CP035162.1	4194000	1985900	0.0777636076860632	-0.0748902131239948	-999.1058534112328	15650.436662680564	4206125
GCF_004101405.1	NZ_CP035163.1	4105550	1964260	0.0790674775611046	-0.0760536995911044	-689.0845558610638	15702.487111023253	4113808
GCF_004101425.1	NZ_CP035164.1	4130970	1952040	0.0813617155961	-0.0770525720457898	-865.1824660198505	15989.186405977844	4136114
GCF_004101445.1	NZ_CP035165.1	4138820	1911180	0.0795628214677287	-0.0760611536269014	-1671.6032458121222	15363.034050319697	4147136
GCF_004101465.1	NZ_CP035166.1	4106250	1959560	0.0813482698275531	-0.0777352475020262	-705.1786660721273	16043.798072207715	4111350
GCF_004101485.1	NZ_CP035167.1	4048000	1921850	0.0793887599700335	-0.075992120611449	-816.1395247138805	15455.524182085936	4058528
GCF_004101565.1	NZ_CP035191.1	4053380	1921850	0.0798810352315143	-0.0760486363312912	-816.9194908111118	15455.611266804364	4058524
GCF_004103535.1	NZ_CP035226.1	4182400	1973730	0.0793858688590163	-0.0757899456999843	-989.024011813755	15867.059857511787	4192706
GCF_004103555.1	NZ_CP035230.1	4040900	1888850	0.0802403132466264	-0.077284486743634	-1390.2802281537508	15355.95145246559	4051556
GCF_004103595.1	NZ_CP035231.1	830	1985280	0.0813760010800129	-0.0749526297002863	-2.374002365619089	16146.301891696166	4133685
GCF_004119535.1	NZ_CP035391.1	4085920	1922300	0.0791651084453558	-0.0750103855063852	-928.1273732889196	15416.35545916858	4096442
GCF_004119555.1	NZ_CP035390.1	4105300	1933410	0.0805519069380009	-0.0761270342491517	-918.8061777934143	15676.974695007892	4110403
GCF_004119595.1	NZ_CP035394.1	4030110	1925450	0.0807610548749251	-0.0760081078151107	-405.7162094817504	15657.414391221891	4035212
GCF_004119615.1	NZ_CP035402.1	4001640	1895460	0.0791117716668878	-0.0744816829646003	-608.4794229296208	15193.093409408784	4012178
GCF_004119635.1	NZ_CP035395.1	4067480	1902290	0.079636626275843	-0.0761213638937653	-1291.9111296858532	15257.26283678814	4072580
GCF_004119655.1	NZ_CP035403.1	4118020	1948070	0.0807024004194162	-0.0749094607139251	-466.5222143645877	15880.673205159366	4126329
GCF_004119675.1	NZ_CP035397.1	4042440	1871610	0.0808749090893181	-0.0787538933753592	-1874.422171175423	15342.943370218312	4052954
GCF_004119695.1	NZ_CP035401.1	4135320	1948210	0.0788591533421284	-0.0770555976623789	-1423.8768914892596	15520.362720493657	4143637
GCF_004119715.1	NZ_CP035400.1	4133110	1942550	0.0788743830817627	-0.076820970207268	-1423.2964387903069	15520.04557411268	4143632
GCF_004119815.1	NZ_CP035413.1	4119350	1961050	0.0802047535880214	-0.0756667909982766	-518.3151027577932	15928.857073291789	4129860
GCF_004119835.1	NZ_CP035411.1	4114700	1948840	0.0795946247184308	-0.0761872442148695	-905.638086691295	15710.838513567904	4125217
GCF_004119875.1	NZ_CP035414.1	4016720	1891530	0.0796081921456057	-0.076056430584339	-1021.5603842981408	15262.729103072605	4027238
GCF_005153965.1	NZ_CP039755.1	3773610	1635770	0.0810216589222029	-0.0762215021848895	-3741.113974947869	12553.82851617222	4065261
GCF_005160425.1	NZ_CP033205.1	4072000	1945710	0.0813339554844036	-0.0758495580726111	-264.03433596579845	15929.223995058916	4076736
GCF_005234095.1	NZ_CP039935.1	4052840	1938860	0.0796531283382121	-0.0750136224724489	-333.0960909280942	15654.665927427654	4063004
GCF_005849145.1	NZ_CP040528.1	4062640	1932240	0.0805400132525579	-0.0752840880800806	-392.3359100589841	15763.079109913057	4073059
GCF_006165085.1	NZ_CP021123.1	1190	2166640	0.0758345503678799	-0.0813557019874426	-1.3487440213459228	16421.07088305814	4121982
GCF_006364495.1	NZ_CP041015.1	2916690	778840	0.081231152880727	-0.0762253904744534	-9622.453661351004	6673.403670087957	4045619
GCF_008831405.1	NZ_CP044498.1	4121610	1967600	0.0804357562121742	-0.0771752729212274	-755.9888987733486	15932.885358778758	4126713
GCF_009017455.1	NZ_CP045006.1	8540	2163090	0.0763528415008384	-0.0804061131330659	-49.28586828259165	16401.325762401608	4049437
GCF_009497795.1	NZ_CP031783.1	519740	2430300	0.0817754595214605	-0.0760196238785321	-3567.360030622325	12056.33980550229	4083694
GCF_009497815.1	NZ_CP031784.1	3203690	990300	0.0812294036079482	-0.0752587690789804	-8320.359885053718	8337.35072973815	4178124
GCF_009662155.1	NZ_CP045819.1	4094890	1949210	0.0811068529420044	-0.0767169487241432	-566.2489622383824	16010.805651591088	4105407
GCF_009662235.1	NZ_CP045825.1	1960	2028910	0.0823991584079945	-0.0745999574605588	-2.423049404731952	16701.524834771135	4156459
GCF_009662275.1	NZ_CP045826.1	840	2044260	0.083128684146195	-0.0769189293928353	-2.560103950283711	16986.996236363226	4166516
GCF_009662335.1	NZ_CP045816.1	4092810	1907830	0.0792291478777017	-0.0776127728411357	-1759.3120571232691	15314.679831461191	4103324
GCF_009662355.1	NZ_CP045817.1	4074990	1921760	0.0792015946243705	-0.0782650272233441	-1566.194291119121	15392.051320877972	4083248
GCF_009662375.1	NZ_CP045818.1	4077210	1936070	0.080215061661774	-0.0764992852947151	-765.064498634525	15733.39736285872	4087720
GCF_009662415.1	NZ_CP045812.1	4204970	1947890	0.0813941691131099	-0.0770845544004069	-1458.0409488188	16057.988165348184	4215511
GCF_009662435.1	NZ_CP045922.1	4204920	1947890	0.0813932511175819	-0.0770875662119055	-1458.1081185981302	16058.22935790968	4215512
GCF_009662455.1	NZ_CP045811.1	4052870	1927330	0.0806921347933254	-0.0761167558713823	-541.3500494829368	15755.017932751662	4063468
