assembly_accession	seq_id	origin	terminus	repl_1_mean	repl_2_mean	c_skew_min	c_skew_max	length
GCF_000934325.3	NZ_CP015773.2	4342370	2040330	0.026488394193145	-0.0268805554844641	-769.5189902017344	5458.594701719184	4347648
GCF_001078615.1	NZ_CP012095.1	4346430	2039670	0.0264682099465955	-0.0267635691088079	-761.0700065044754	5452.4519689437	4351712
GCF_001293105.1	NZ_CP011455.1	4358550	2023480	0.0264499464753762	-0.0268839770126201	-911.2200797895828	5407.282971392659	4363945
GCF_001483905.1	NZ_CP013741.1	4365430	2027890	0.0264247970335301	-0.0266346372737943	-853.342542832186	5412.597543595426	4370705
GCF_002975475.1	NZ_CP027035.1	4350020	2044790	0.0264711392872085	-0.0270435681973583	-806.4956009710941	5470.713996993189	4355637
GCF_005155785.1	NZ_CP039851.1	4320270	2026580	0.0265355670156933	-0.0270527504346016	-794.4336643672239	5411.167314535388	4332698
GCF_008033095.1	NZ_CP040832.1	4344630	2039470	0.0264561152310051	-0.0268567704155562	-781.3011272526745	5449.744187955516	4349904
GCF_000738445.1	NZ_CP009100.1	4406230	2044590	0.0265280585726261	-0.0261054814149629	-727.2677702564944	5477.880186284622	4411507
GCF_000738475.1	NZ_CP009101.1	4406240	2044620	0.0265234297343421	-0.0260872834027923	-723.787161727438	5477.033263262127	4411515
GCF_000756525.1	NZ_CP009426.1	4374100	2066510	0.0260951852201299	-0.0264612256346244	-699.7915874988953	5445.862996365445	4379376
GCF_000756545.1	NZ_CP009427.1	4405670	2051490	0.0261826618423313	-0.0257659283164637	-680.5919726599293	5425.07195980572	4410945
GCF_000934585.1	NZ_CP010895.1	470710	2540140	0.0261719096739019	-0.0264359594030452	-1473.4880844120469	3995.852409585365	4392860
GCF_001544705.1	NZ_CP010330.1	4416420	2051560	0.0267608708448914	-0.0262907825415354	-712.5570629691111	5544.697699624938	4421903
GCF_001597645.2	NZ_CP046529.1	4409460	2049060	0.0266118750487639	-0.0261271112647891	-700.0327922978881	5506.82004889409	4414742
GCF_001895765.1	NZ_CP018303.1	4380850	2030460	0.0266639790677663	-0.0263211847116717	-758.3853947261459	5468.053202281242	4386132
GCF_001895785.1	NZ_CP018305.1	4354650	2030210	0.0267531036852435	-0.0267315233612709	-768.2822451963615	5485.104500196394	4359825
GCF_001895805.1	NZ_CP018302.1	4360450	2035020	0.0261614963696382	-0.0267321423460406	-878.6424732778029	5377.847489715429	4365724
GCF_001895825.1	NZ_CP018301.1	4370790	2030610	0.0266172408490891	-0.0271212085711014	-927.8735401667684	5459.069993477196	4376067
GCF_001895845.1	NZ_CP018300.1	4380400	2028000	0.0262185400762339	-0.0266465554798776	-937.6345798664972	5370.764546535183	4385578
GCF_001895865.1	NZ_CP018304.1	4381170	2032130	0.026506790950738	-0.0264505753991103	-812.8258684583918	5440.301355793907	4386447
GCF_001922485.1	NZ_CP018778.1	4406230	2044580	0.0264833116189386	-0.026074659088513	-729.1872648072275	5468.805093862331	4411511
GCF_001969025.1	NZ_CM007645.1	4403120	2043970	0.0263478580888875	-0.0260971268913143	-757.6323502800719	5438.480119013933	4408292
GCF_001969035.1	NZ_CM007646.1	4403060	2043960	0.0263278067609405	-0.0262005311003087	-786.0310972624429	5434.278745108309	4408238
GCF_002072775.2	NZ_CP020381.2	4428270	2089570	0.02633809889125	-0.0268721882183461	-767.1620123909837	5557.5559552045215	4433542
GCF_002116755.1	NZ_CP017593.1	4421750	2043350	0.0270497158190697	-0.0263733722452005	-731.0487240930787	5582.202044387552	4427062
GCF_002116775.1	NZ_CP017594.1	4436280	2057110	0.0263659698514946	-0.0263655869035376	-835.02461924702	5478.423095579462	4441591
GCF_002116835.1	NZ_CP017597.1	4439110	2060910	0.0269259829923533	-0.0263883069024111	-712.1666896852279	5604.088537217932	4444417
GCF_002116855.1	NZ_CP017598.1	4374640	2033650	0.0269158350800521	-0.0278208305220139	-1024.232262353804	5529.219322976524	4380156
GCF_002290145.1	NZ_CP023169.1	4406430	2044600	0.0265435772224468	-0.0260561207422697	-712.8979575964909	5481.222874665062	4411709
GCF_002356015.1	NZ_AP017901.1	4375120	2032560	0.0262521983406676	-0.0265005889392691	-857.5926797375511	5390.4852947268	4380602
GCF_002356255.1	NZ_AP018033.1	4394640	2040980	0.0266980856516093	-0.0265705201754996	-790.6745770803365	5503.1011370324295	4399916
GCF_002446875.1	NZ_CP023573.1	4406010	2044430	0.0264869948339395	-0.0260450382865438	-721.678333566182	5468.981881436079	4411288
GCF_002446895.1	NZ_CP023574.1	4405990	2044470	0.0264861938376087	-0.0260257914759449	-717.0086405696634	5468.677659718958	4411271
GCF_002446915.1	NZ_CP023575.1	4406030	2044450	0.0264823310542329	-0.026063507508174	-726.9164806050384	5467.994172709405	4411312
GCF_002446935.1	NZ_CP023576.1	4405900	2044400	0.0265003708194341	-0.026058710868741	-722.0365655353135	5471.788027837112	4411180
GCF_002446955.1	NZ_CP023577.1	4406100	2044550	0.026502191569906	-0.0260339636023604	-715.5254377495475	5472.333198992139	4411382
GCF_002446975.1	NZ_CP023578.1	4405900	2044360	0.0265050230956588	-0.0260604538300364	-721.7048599997952	5472.634800020594	4411180
GCF_002446995.1	NZ_CP023579.1	4405930	2044390	0.026507054488409	-0.0260667385342986	-722.6931345030612	5473.16034182559	4411208
GCF_002447015.1	NZ_CP023580.1	4406160	2044550	0.0264896468743014	-0.0260496463792526	-721.9832533356898	5469.28401046788	4411436
GCF_002447035.1	NZ_CP023581.1	4405870	2044480	0.0265061447184112	-0.0260322490017427	-713.5490981824308	5473.510917554297	4411353
GCF_002447055.1	NZ_CP023582.1	4406040	2044480	0.0264814793708007	-0.0260540121148631	-724.7435694881777	5468.0063271825375	4411315
GCF_002447075.1	NZ_CP023583.1	4406000	2039960	0.0265298939763431	-0.026000736596531	-725.8782460680521	5466.420749274164	4411280
GCF_002447095.1	NZ_CP023584.1	4405940	2044430	0.026509426476268	-0.0260344981634934	-714.4091215398468	5473.938540509047	4411215
GCF_002447115.1	NZ_CP023585.1	4405870	2044350	0.0264897218149498	-0.0259938791465245	-709.0936958524297	5469.767869087652	4411148
GCF_002447135.1	NZ_CP023586.1	4405840	2044290	0.0265467699172456	-0.0260486503931189	-710.5461648881391	5480.620387211015	4411121
GCF_002447155.1	NZ_CP023587.1	4405940	2044400	0.0265038146413633	-0.0260689839707614	-723.8609612201564	5472.360174082706	4411217
GCF_002447175.1	NZ_CP023588.1	4405660	2044320	0.0264843408872416	-0.0260025160129726	-711.2914367994705	5469.204206288974	4411143
GCF_002447195.1	NZ_CP023589.1	4406040	2044450	0.0264976127014843	-0.0260455012696696	-719.5843660823883	5471.342926848238	4411318
GCF_002447215.1	NZ_CP023590.1	4406050	2044480	0.0264944887306235	-0.0260430706745386	-719.4926247500138	5470.840384201137	4411331
GCF_002447235.1	NZ_CP023591.1	4406120	2040050	0.0265804296738526	-0.0260015692926717	-715.5782831491031	5476.98063188998	4411398
GCF_002447255.1	NZ_CP023592.1	4406060	2044470	0.0264872600652838	-0.0260539231209865	-723.6158111873299	5469.313782014854	4411342
GCF_002447275.1	NZ_CP023593.1	4406130	2040080	0.0265602328632712	-0.0259734921411864	-712.934319143487	5472.929398329832	4411408
GCF_002447295.1	NZ_CP023594.1	4406030	2044500	0.0265266865054046	-0.0260603205237676	-716.8357261444477	5476.675713680306	4411306
GCF_002447315.1	NZ_CP023595.1	4405860	2044320	0.0265550074283185	-0.0260563021204987	-710.5856484560153	5482.357793797851	4411134
GCF_002447335.1	NZ_CP023596.1	4406060	2040050	0.0265629540913626	-0.0259923792674694	-716.8222378937105	5472.981837015835	4411337
GCF_002447355.1	NZ_CP023597.1	4406110	2087020	0.025957410603337	-0.0265063455351414	-715.991066172706	5471.171383361983	4411385
GCF_002447375.1	NZ_CP023598.1	4406120	2044550	0.0264987001212256	-0.0260413423593215	-718.0622406009974	5471.939463319216	4411394
GCF_002447395.1	NZ_CP023599.1	4405840	2044360	0.026540730240309	-0.0260525234151248	-712.3570664601315	5479.700805301972	4411115
GCF_002447415.1	NZ_CP023600.1	4406160	2044540	0.0265075433064595	-0.0260549019801094	-719.6085193819303	5473.826269128031	4411439
GCF_002447435.1	NZ_CP023601.1	4405950	2044450	0.026517010684261	-0.0260607485466992	-718.9745383179045	5475.158031561724	4411230
GCF_002447455.1	NZ_CP023602.1	4406370	2044580	0.0265048062370853	-0.0260415091532741	-717.9529895393787	5472.456462883204	4411412
GCF_002447475.1	NZ_CP023603.1	4406140	2044530	0.0264801300683863	-0.0260649327035584	-727.5970306571459	5467.733075534457	4411415
GCF_002447495.1	NZ_CP023604.1	4405930	2044440	0.0265171127709401	-0.0260374688018129	-713.4300640814239	5475.105011203855	4411211
GCF_002447515.1	NZ_CP023605.1	4406200	2044580	0.0264923458671214	-0.0260462134633506	-720.5658540142388	5470.009760638281	4411475
GCF_002447535.1	NZ_CP023606.1	4405760	2044440	0.0265136387367038	-0.0260659698096119	-719.8992375303137	5474.756777458914	4411243
GCF_002447555.1	NZ_CP023607.1	4405860	2044350	0.0264908897705227	-0.0260826514615399	-729.7919852584721	5469.565314398258	4411137
GCF_002447575.1	NZ_CP023608.1	4406090	2044520	0.0265097694107144	-0.0260277474932397	-712.6622309526832	5473.57032721704	4411365
GCF_002447595.1	NZ_CP023609.1	4405910	2044420	0.026536867930269	-0.0260563575348437	-713.9209558284327	5479.056211644714	4411186
GCF_002447615.1	NZ_CP023610.1	4406060	2044490	0.0265168299672298	-0.0260695391748622	-721.1639067251275	5475.272370559843	4411340
GCF_002447635.1	NZ_CP023611.1	4406040	2044460	0.0264958586081335	-0.0260345131789319	-717.2699451080368	5471.068185866287	4411321
GCF_002447655.1	NZ_CP023612.1	4406050	2044490	0.026480523583422	-0.0260686405734454	-728.34112017984	5467.747011293799	4411331
GCF_002447675.1	NZ_CP023613.1	4406050	2044480	0.0265071010703851	-0.026059884299478	-720.9045475084496	5473.245887317528	4411326
GCF_002447695.1	NZ_CP023614.1	4406100	2044510	0.0264903442049021	-0.0260524399144195	-722.5538929726724	5469.693388647671	4411379
GCF_002447715.1	NZ_CP023615.1	4406110	2087030	0.0259686481332477	-0.0265333586549941	-719.8259527467355	5473.785558090232	4411392
GCF_002447735.1	NZ_CP023616.1	4406220	2044580	0.0265111796040742	-0.0260420778918802	-715.7806209372021	5474.235444914529	4411494
GCF_002447755.1	NZ_CP023617.1	4406060	2044550	0.0265141512953115	-0.0260709207038585	-721.7237201701962	5474.888636100426	4411335
GCF_002447775.1	NZ_CP023618.1	4406170	2044550	0.0264914475073027	-0.0260407171318936	-719.5314549127779	5470.245656042567	4411449
GCF_002447795.1	NZ_CP023619.1	4406110	2040080	0.0265574741464782	-0.025984562428583	-716.0393347917832	5472.387704253152	4411392
GCF_002447815.1	NZ_CP023620.1	4406020	2044440	0.0264842932062037	-0.0260384205162192	-720.6427652073592	5468.307438288828	4411299
GCF_002447835.1	NZ_CP023621.1	4406050	2044460	0.0264969060691217	-0.0260277045067404	-715.499843995126	5471.264502564231	4411327
GCF_002447855.1	NZ_CP023622.1	4406040	2044450	0.026498566443429	-0.0260384166094189	-717.715768454777	5471.557610316406	4411315
GCF_002447875.1	NZ_CP023623.1	4406010	2086990	0.025975217972874	-0.0265062701596189	-712.140131745375	5474.504574934012	4411290
GCF_002447895.1	NZ_CP023624.1	4406060	2044470	0.0264927399256956	-0.0260490750180083	-721.3741409083582	5470.39451521594	4411338
GCF_002447915.1	NZ_CP023625.1	4406150	2044560	0.0265044277020922	-0.0260455028705807	-717.8697999000783	5472.813423621452	4411432
GCF_002447935.1	NZ_CP023626.1	4405880	2044330	0.0265536918436961	-0.0260571279552781	-711.0498183029435	5482.068485807062	4411159
GCF_002447955.1	NZ_CP023627.1	4405950	2044390	0.0265028919579863	-0.026053473720163	-720.4658839062782	5472.283613685788	4411229
GCF_002447975.1	NZ_CP023628.1	4406200	2044590	0.0264975001283976	-0.026053672969379	-721.2184033016657	5471.413375112464	4411479
GCF_002447995.1	NZ_CP023629.1	4406070	2044460	0.026495655058054	-0.0260311031130522	-716.5844467569319	5470.885210137511	4411352
GCF_002448015.1	NZ_CP023630.1	4406180	2044550	0.0265063642303358	-0.0260539654955694	-719.6285943032179	5473.658710392453	4411454
GCF_002448035.1	NZ_CP023631.1	4405880	2044470	0.0265078238229622	-0.0260634475140388	-721.2073713008045	5473.360511061318	4411157
GCF_002448055.1	NZ_CP023632.1	4406040	2044450	0.0264807327362061	-0.0260650044710048	-727.6501597295229	5467.629673684176	4411316
GCF_002448075.1	NZ_CP023633.1	4406010	2044440	0.0264852592753755	-0.0260478824257401	-722.653205823203	5468.553073980528	4411284
GCF_002448095.1	NZ_CP023634.1	4406040	2044460	0.0264893048253827	-0.026039023279785	-719.7048924293681	5469.436631535921	4411314
GCF_002448115.1	NZ_CP023635.1	4406090	2040020	0.0265477091586124	-0.0259851177507171	-718.4578014329065	5470.417444271531	4411369
