assembly_accession	seq_id	origin	terminus	repl_1_mean	repl_2_mean	c_skew_min	c_skew_max	length
GCF_003944565.2	NZ_CP040805.1	4532100	2183440	0.0309795662560637	-0.0363664130398557	-1805.757429243968	6735.4828796722895	4576669
GCF_008064875.1	NZ_CP042942.1	1323620	3609610	0.0362721094433222	-0.0313076383542623	-4565.31103512695	3726.465236851976	4657720
GCF_008064895.1	NZ_CP042945.1	2210910	7410	0.0263372324878046	-0.0362659004673298	-8011.607248147331	-0.0246305418719211	4638019
GCF_008064915.1	NZ_CP042946.1	2742450	443140	0.0341912797412089	-0.036748127974009	-6674.347310547772	1777.14455890035	4524922
GCF_013171325.1	NZ_CP053045.1	720	2236420	0.0357890212162995	-0.0323804861661137	-0.5110891202534695	8000.869978184662	4584794
GCF_013591455.1	NZ_CP055599.1	2739260	533670	0.0346150234022341	-0.0331575618046009	-5412.1010315227295	1901.661169395931	4565833
GCF_013596835.1	NZ_CP055675.1	500	2388120	0.0371760978432319	-0.0322224337969962	-0.4923414211788667	8876.22084852613	4718083
GCF_013710195.1	NZ_CP055696.1	2756940	542000	0.0365356256486425	-0.0326642428308732	-5144.425374068168	2090.529600504079	4571987
GCF_013713585.1	NZ_CP055806.1	450	2424910	0.035857800747	-0.0295665240810767	-0.5241458547713198	8693.064485435645	4759039
GCF_013714535.1	NZ_CP055850.1	80	2266790	0.0393045210688663	-0.0267875866532353	0.0074626865671643	8909.3344813659	4727976
GCF_013714825.1	NZ_CP055860.1	80	2266790	0.0393073122795396	-0.026788995840742	0.0074626865671642	8909.967167880417	4727977
GCF_013715025.1	NZ_CP055872.1	80	2266380	0.0393107428142507	-0.0267886707000322	0.0074626865671642	8909.133011659118	4727562
GCF_013798785.1	NZ_CP056916.1	80	2130840	0.0362504532874675	-0.0275454539916105	7.602514868215068e-17	7724.194872769162	4600545
GCF_013799825.1	NZ_CP056936.1	80	2130840	0.036266748692789	-0.0276226699065346	2.365804436862973e-17	7727.667032553437	4542590
GCF_013800985.1	NZ_CP056951.1	90	2130840	0.0362500403913579	-0.0275446289610229	4.6784706881323487e-17	7724.0621200749265	4600543
GCF_013801425.1	NZ_CP056961.1	230	2355680	0.0358404616222258	-0.0320544470140265	-0.096231093826381	8442.972416508223	4690654
GCF_013801845.1	NZ_CP056968.1	380	2355680	0.0357508611533228	-0.0320526413089728	-0.096231093826381	8421.271908953213	4690654
GCF_013812875.1	NZ_CP057104.1	150	2204530	0.037147019877347	-0.0276144540458815	3.9733410153228875e-17	8188.665341697211	4737856
GCF_013813205.1	NZ_CP057093.1	60	2401840	0.035758618723254	-0.0319155785638137	-0.0962310938263815	8589.276987222296	4730551
GCF_013813425.1	NZ_CP057101.1	450	2292860	0.0354616845638124	-0.0302559954596954	-0.5241458547713225	8128.756138590151	4612513
GCF_013819085.1	NZ_CP057210.1	240	2350770	0.0353352003914257	-0.033572538716112	-0.3620523741428258	8305.652671959184	4729644
GCF_013819325.1	NZ_CP057215.1	240	2350770	0.0353361034580824	-0.0335707684592586	-0.362052374142826	8305.864940486046	4729689
GCF_013819565.1	NZ_CP057220.1	600	2305300	0.0352593650348073	-0.0325804698159822	-0.6911862668988651	8125.546915286582	4583330
GCF_013820225.1	NZ_CP057229.1	2756990	552870	0.0358715309133601	-0.0332936592379836	-5333.2753761855865	2005.055066658572	4619411
GCF_013820465.1	NZ_CP057238.1	2756990	552870	0.0358740884172136	-0.0332964406825598	-5333.888439947524	2005.055066658572	4619408
GCF_013820845.1	NZ_CP057243.1	370	2405910	0.0368652707901304	-0.0311918989852747	-0.3620523741428277	8867.747918569174	4697820
GCF_013821535.1	NZ_CP057256.1	2730900	541180	0.0364952471953444	-0.0347521848355289	-5581.828885983641	2027.943341215195	4476960
GCF_013822105.1	NZ_CP057266.1	2820200	543270	0.0366474067080867	-0.0318099485219702	-5084.632367233464	2163.8956153056224	4582934
GCF_013825725.1	NZ_CP057311.1	2826600	539220	0.0350610140146123	-0.0326847077941078	-5497.7334246046685	1983.3771679901104	4598742
GCF_013829265.1	NZ_CP057357.1	2904150	584560	0.0351060006496349	-0.0330566715860752	-5509.292109545677	2158.508797770457	4655461
GCF_013834165.1	NZ_CP057458.1	5090	2118660	0.0378431847256284	-0.0297287466113346	0.0334572490706318	8048.627417671558	4549178
GCF_013834525.1	NZ_CP057463.1	2833140	579180	0.0371305840214987	-0.0322620422670397	-4995.349872517561	2276.3980848496544	4622703
GCF_013836325.1	NZ_CP057481.1	400	2253180	0.0357143569940501	-0.0318809618852226	-0.398090806054808	8045.27151300035	4572288
GCF_013838265.1	NZ_CP057504.1	450	2222120	0.0362261297944573	-0.0303279442766745	-0.5550729792414477	8047.70796870287	4457616
GCF_013838465.1	NZ_CP057505.1	450	2222120	0.036224638575018	-0.03032235573696	-0.5550729792414482	8047.376668953705	4457616
GCF_013886195.1	NZ_CP057561.1	600	2229550	0.0366753580068482	-0.0307501390631732	-0.4968336781181583	8174.271272989647	4545164
GCF_013886335.1	NZ_CP057565.1	600	2229550	0.0366742527046896	-0.0307446411364259	-0.4968336781181582	8174.022801585136	4545163
GCF_013892435.1	NZ_CP057657.1	2846900	578250	0.0354801143030882	-0.0322471186069732	-5058.79340042153	2257.165569843756	4584354
GCF_013893835.1	NZ_CP057681.1	2756940	542000	0.0365343809925258	-0.0326584509544408	-5142.760690493868	2090.911418199866	4571983
GCF_013894595.1	NZ_CP057692.1	2807870	544970	0.0358233153840852	-0.0309024264389591	-4887.976075299998	2104.9423911225545	4549644
GCF_013899685.1	NZ_CP057896.1	80	2131000	0.0362100124789412	-0.0275192188175832	-3.508853016099259e-17	7716.157267251235	4599406
GCF_013899845.1	NZ_CP057918.1	90	2130970	0.0362019439955809	-0.0275161898467287	-2.3392353440661746e-17	7714.288825169291	4599592
GCF_013923185.1	NZ_CP058057.1	80	2266670	0.0393077602213311	-0.0267817075017412	0.0074626865671641	8909.599151439834	4727820
GCF_013928365.1	NZ_CP055955.1	500660	2857390	0.0365511004124316	-0.0325290556287068	-1826.510768566459	6788.15396527208	4427993
GCF_016128235.1	NZ_CP066085.1	1118990	3441360	0.0356012876966092	-0.0310854742313315	-3585.346357633591	4682.596193079061	4590101
