assembly_accession	seq_id	origin	terminus	repl_1_mean	repl_2_mean	c_skew_min	c_skew_max	length
GCF_000742715.1	NZ_CP007722.1	7700	1654470	0.0368709150680501	-0.0333202059140643	-32.37316440877097	6039.4296373122015	3176076
GCF_000742735.1	NZ_CP007724.1	7700	1623530	0.0373104343062119	-0.0332723204958623	-32.373164408770975	5996.368062006119	3145677
GCF_000828015.1	NZ_CP010451.1	7820	1629710	0.0369084813945939	-0.031630833842884	-32.727231235802826	5953.429909315991	3207539
GCF_001447865.2	NZ_CP012194.1	8540	1745090	0.0400751496026366	-0.0315504971547409	-41.86539018621551	6917.395995157521	3342897
GCF_001518935.2	NZ_CP013991.1	5670	1660000	0.0392349661730854	-0.0324033537590576	-20.72677580609718	6470.0369988554685	3245395
GCF_001643035.1	NZ_CP014984.1	7780	1633670	0.0390116227678519	-0.0359965754360024	-34.036914762266086	6308.835217918029	3342103
GCF_001687645.1	NZ_CP016335.1	8540	1702940	0.0395643321272423	-0.0316122049282329	-41.84017282539282	6661.945885903864	3296500
GCF_001936195.1	NZ_CP018175.1	8520	1715840	0.0394668901535322	-0.0311369545303259	-40.9992255483773	6697.273160092384	3333639
GCF_002163915.1	NZ_CP020658.1	2727880	1169320	0.0421372204010456	-0.0391822855542366	-386.192321558078	5720.618932195882	3306634
GCF_002220135.1	NZ_CP022394.1	2857100	1253610	0.0394201722927345	-0.0315783289530312	-209.24165481555292	4854.325072644314	3319925
GCF_002277975.1	NZ_CP017995.1	7810	1395420	0.0359876467792168	-0.0307739138218705	-32.820184350297936	4960.869089077115	2843369
GCF_002355675.1	NZ_AP017557.1	8540	1704610	0.0397189526109675	-0.031471354559679	-41.86539018621552	6694.752699884658	3297987
GCF_002847405.1	NZ_CP025533.1	3313670	1565030	0.038516680729483	-0.0448229458909453	-1807.3674800002468	6030.561402613506	3316624
GCF_002847425.1	NZ_CP025534.1	788960	2344300	0.0389688828705983	-0.044996011242086	-2301.457699632318	3759.599670978766	3345724
GCF_007430945.1	NZ_CP041728.1	368650	1959230	0.0377880175114666	-0.0323100748434986	-1131.1939721024637	4882.13447233591	3127145
GCF_007431185.1	NZ_CP041729.1	1367580	2955140	0.0378941568954727	-0.0322671403598883	-4588.94789285656	1426.98245210366	3127580
GCF_007833315.1	NZ_CP012297.1	7700	1609040	0.0395256260762209	-0.0318622586215917	-31.873180484071707	6297.52899337095	3155208
GCF_007833335.1	NZ_CP012298.1	7700	1611210	0.0394449510068335	-0.0318450585410178	-31.873180484071685	6293.169739645028	3159203
GCF_013046805.1	NZ_CP053188.1	2940150	1228330	0.0391041490403712	-0.0360086869226153	-1555.50237606656	4608.547972164356	3344731
GCF_017579845.1	NZ_CP059382.1	7810	1541200	0.0385062136692905	-0.0309673379774895	-32.82018435029795	5871.751387228356	3061143
GCF_018286655.1	NZ_CP073911.1	4010	1689410	0.0381897158110893	-0.0354105861654561	-32.4551434830331	6406.373740470995	3356607
GCF_000011325.1	NC_003450.3	3306470	1563310	0.0385548362922431	-0.0448824603492377	-1793.8847301633546	6029.849946587026	3309401
GCF_000196335.1	NC_006958.1	3279780	1564730	0.0384971096493004	-0.0429010091402149	-1331.5231371692007	6026.221802875534	3282708
GCF_000010225.1	NC_009342.1	7830	1707600	0.0387542045668802	-0.0364858114967303	-34.33315924607027	6552.994060594768	3314179
GCF_002243555.1	NZ_CP022614.1	7780	1634290	0.0389990295622696	-0.0361065534295488	-33.49701397089153	6309.7473605310815	3329895
GCF_000382905.1	NC_020519.1	3308640	1563280	0.0384608548508542	-0.0448093870498166	-1813.7963756146587	6012.596673053785	3309400
GCF_000404145.1	NC_021351.1	7760	1755090	0.0402605280565714	-0.0335375499469326	-32.84161236242518	7002.010555999582	3350620
GCF_000404185.1	NC_021352.1	7760	1755090	0.0402773750393278	-0.0335418146469891	-32.84161236242519	7004.952438292836	3350619
GCF_001683115.1	NZ_CP004062.1	8570	1728330	0.0392999380882391	-0.031348972852788	-42.46278465652762	6716.194634368194	3332458
GCF_000445015.1	NC_022040.1	7810	1553240	0.0387454261040985	-0.0315342218367148	-32.82018435029794	5955.019799294787	3079253
