assembly_accession	seq_id	origin	terminus	repl_1_mean	repl_2_mean	c_skew_min	c_skew_max	length
GCF_000685665.1	NZ_CP007604.1	1485290	731960	0.0393905281668012	-0.0579689646960104	-1074.474618792541	3319.443721942468	1604233
GCF_000685745.1	NZ_CP007606.1	1485340	731960	0.0394029472831673	-0.0579894782065146	-1075.1920641931097	3320.559576095983	1604212
GCF_000817025.1	NZ_CP010013.1	1500370	671550	0.0412652053522076	-0.0564395136305594	-2046.72142358942	2631.1200953317884	1586473
GCF_000827025.1	NZ_CP010436.1	1635030	813500	0.0376470318323146	-0.0567158801623623	-1486.774171295848	3172.610639444826	1667303
GCF_001653375.1	NZ_CP011482.1	1372650	570280	0.0465593452219473	-0.0513718487052642	-1384.3347989783526	2737.607614416216	1617826
GCF_001653435.1	NZ_CP011485.1	1374530	571400	0.052869251560184	-0.0529810716843493	-1439.2911952359716	2866.780869515877	1510564
GCF_001653475.1	NZ_CP011487.1	1409000	599990	0.0488053952474961	-0.054710855010375	-1756.2618515510037	2712.6725171827857	1531450
GCF_002222575.1	NZ_CP022409.1	2560	842890	0.0548979185390565	-0.0458794129640735	-55.01804880123025	4567.929421758347	1576133
GCF_002357315.1	NZ_AP017360.1	1522750	755050	0.0421380539200366	-0.058217550107913	-1426.592295182801	3042.782329193677	1606460
GCF_002357375.1	NZ_AP017346.1	1506040	659810	0.049821770523345	-0.0539534315356617	-1359.8805615147596	3211.1299287726943	1588584
GCF_002357395.1	NZ_AP017343.1	1487760	689260	0.0486231317667385	-0.0550794679046502	-1087.993671875989	3310.61121269819	1575499
GCF_002357435.1	NZ_AP017329.1	1508040	671420	0.0491152120854978	-0.0538985548705345	-1271.5081106697237	3237.7745642859068	1591903
GCF_002357495.1	NZ_AP017332.1	1500670	746460	0.0478951823192609	-0.0568517433953379	-807.0724434474803	3480.766775560716	1582399
GCF_002357515.1	NZ_AP017333.1	1496100	710550	0.0395395121967072	-0.0647623828718036	-2465.307546830244	2646.114159728467	1578736
GCF_002357535.1	NZ_AP017334.1	1551490	712920	0.0476914157937326	-0.0535415811220078	-1156.6052251741623	3333.279770817647	1634312
GCF_002357555.1	NZ_AP017335.1	1503980	681100	0.0491692558903422	-0.0548843148068012	-1270.3971761944265	3245.979672548731	1585641
GCF_002357615.1	NZ_AP017338.1	1487040	646280	0.0527049364927028	-0.0534312858906961	-1147.3066248416644	3360.744772627622	1570268
GCF_002357655.1	NZ_AP017348.1	1502040	681350	0.0491130343350542	-0.0546300933290491	-1206.363201561967	3299.770839036655	1587581
GCF_002357695.1	NZ_AP017350.1	1496560	665490	0.0465725345847661	-0.0563212641017287	-1423.796193893554	3283.424399197106	1625760
GCF_002357735.1	NZ_AP017354.1	1506150	739240	0.0474854812620144	-0.0590548440773593	-1121.6737411167949	3407.35239537397	1588119
GCF_002357795.1	NZ_AP017357.1	1516160	766690	0.0467829662667922	-0.057928701273674	-848.3344272716894	3539.3497315075465	1602776
GCF_002357815.1	NZ_AP017358.1	1509790	747850	0.0466469454904094	-0.0546203494165753	-697.0745018131755	3464.680996866736	1592987
GCF_002357835.1	NZ_AP017359.1	1487090	653770	0.0497312477563636	-0.0564110296452054	-1553.8751930083506	3146.976482248509	1567867
GCF_002357855.1	NZ_AP017362.1	1493810	666650	0.0491730404849882	-0.0551933958208731	-1351.728930029243	3213.6612751177563	1577123
GCF_002906495.1	NZ_CP026325.1	1640810	815780	0.0381649351646069	-0.0576906124683638	-1587.865318454517	3171.78842347869	1670779
GCF_002906535.1	NZ_CP026326.1	1636500	813910	0.0381540423895575	-0.057439534979223	-1560.9307191505343	3163.995911648816	1666471
GCF_002906555.1	NZ_CP026324.1	1636760	813910	0.0381558420285189	-0.0574216601219468	-1560.9433760308157	3164.011363462216	1666735
GCF_002953555.1	NZ_CP026515.1	1638760	813940	0.038161513650408	-0.0575574584593833	-1582.8632545026717	3164.604436809112	1668735
GCF_002983705.1	NZ_CP027404.1	615580	1389030	0.0461117190678201	-0.0501560794667648	-3208.5536002217777	357.97580966239025	1645738
GCF_003050665.1	NZ_CP028325.1	844930	1675020	0.0470869716991274	-0.0312259634419025	-2719.273466271324	1251.906238172323	1680898
