assembly_accession	rel_start	rel_center	rel_end	orientation	has_tandem
GCF_000438605.1	-0.7973823497882833	-0.7968607627164067	-0.7963391756445302	-	False
GCF_000438605.1	-0.7264130085222704	-0.725891421450394	-0.7253698343785174	-	False
GCF_000438605.1	-0.3325929945864823	-0.3320714075146058	-0.3315498204427293	-	False
GCF_000438605.1	-0.1758930964249343	-0.1753715093530579	-0.1748499222811813	-	False
GCF_000438605.1	0.1596231456167421	0.1601433987330818	0.1606636518494213	+	True
GCF_000438605.1	0.1636468373488943	0.1641664221889123	0.1646860070289303	+	True
GCF_000438625.1	-0.3442276537775668	-0.3436981836829355	-0.3431687135883042	-	False
GCF_000438625.1	-0.1869243670502972	-0.1863948969556659	-0.1858654268610346	-	False
GCF_000438625.1	0.1566332627233718	0.1571618190212373	0.1576903753191027	+	False
GCF_000438625.1	-0.7950627678805826	-0.7945332977859513	-0.7940038276913199	-	False
GCF_000438625.1	-0.7251325885612696	-0.7246031184666383	-0.7240736483720069	-	False
GCF_000438645.1	-0.1697312929434603	-0.1691949948264626	-0.1686586967094649	-	True
GCF_000438645.1	-0.1655821297338556	-0.1650458316168579	-0.1645095334998601	-	True
GCF_000438645.1	0.1818077476796104	0.1823242375388942	0.1828407273981782	+	False
GCF_000438645.1	0.337950891998222	0.3384673818575059	0.3389838717167897	+	False
GCF_000438645.1	0.7293400739074763	0.7298565637667602	0.7303730536260441	+	False
GCF_000438645.1	0.7982909725401217	0.7988074623994055	0.7993239522586895	+	False
GCF_000438685.2	-0.7839875473741202	-0.7835085765615002	-0.7830296057488803	-	False
GCF_000438685.2	-0.6869376630408033	-0.6864586922281832	-0.6859797214155633	-	False
GCF_000438685.2	-0.3410819756853866	-0.3406030048727666	-0.3401240340601467	-	False
GCF_000438685.2	-0.1750639858246788	-0.1745850150120589	-0.1741060441994389	-	False
GCF_000438685.2	0.1885264761583191	0.189056435000565	0.1895863938428108	+	True
GCF_000438685.2	0.1926238714974043	0.19315383033965	0.193683789181896	+	True
GCF_000438705.2	-0.7998127896322371	-0.7992996090994786	-0.7987864285667201	-	False
GCF_000438705.2	-0.7320208831846856	-0.7315077026519271	-0.7309945221191686	-	False
GCF_000438705.2	-0.3332753244869842	-0.3327621439542257	-0.3322489634214672	-	False
GCF_000438705.2	-0.1824866019340676	-0.1819734214013091	-0.1814602408685506	-	False
GCF_000438705.2	0.1672656049346109	0.1678074683182189	0.1683493317018269	+	True
GCF_000438705.2	0.1714550406519344	0.1719969040355424	0.1725387674191503	+	True
GCF_000438725.2	-0.1683413307941917	-0.167798422224171	-0.1672555136541505	-	False
GCF_000438725.2	0.1814694695486516	0.1819826500814101	0.1824958306141686	+	False
GCF_000438725.2	0.3322595104844398	0.3327726910171984	0.3332858715499568	+	False
GCF_000438725.2	0.7310030916078338	0.7315162721405923	0.7320294526733508	+	False
GCF_000438725.2	0.7987949980553852	0.7993081785881437	0.7998213591209024	+	False
GCF_000438725.2	-0.1725314712961455	-0.1719896067810672	-0.171447742265989	-	False
GCF_000600015.1	0.1715451021994707	0.1720885148731592	0.1726319275468478	+	True
