assembly_accession	seq_id	origin	terminus	repl_1_mean	repl_2_mean	c_skew_min	c_skew_max	length
GCF_001281065.1	NZ_CP012647.1	100440	1368310	0.0529805340777243	-0.0583724120420728	-605.9847234497619	6122.197708492413	2522438
GCF_001469555.1	NZ_CP012350.1	2528780	1279560	0.0506050374786286	-0.0530865421449828	-153.64063275349517	6478.11578024708	2530708
GCF_001469565.1	NZ_CP012355.1	2491840	1295010	0.0502334895402226	-0.0555091252147243	-134.42775976059417	6509.076151996531	2493976
GCF_001469595.1	NZ_CP012351.1	2558220	1294120	0.0501366222078053	-0.0537170407556338	-297.9684318572935	6492.416774743924	2560354
GCF_001469615.1	NZ_CP012352.1	2537870	1294090	0.0503852414483233	-0.0564474681250072	-496.8621510973764	6523.971584300398	2540008
GCF_001469635.1	NZ_CP012353.1	2467880	1270510	0.0506099072805544	-0.0548227843597944	-130.19442100435597	6434.209301288727	2470017
GCF_001469655.1	NZ_CP012354.1	2490030	1270370	0.0505558140816451	-0.0560969819156892	-416.1020645678804	6425.854399776893	2491961
GCF_001481615.1	NZ_CP013693.1	2397680	1215260	0.0506606537111982	-0.0548753482779791	-327.5500769230337	6161.026108134244	2399738
GCF_003030305.1	NZ_CP023676.1	2492620	1270220	0.0505509997732059	-0.0557717338008547	-392.71621291169055	6424.831053252754	2495001
GCF_003390995.1	NZ_CP031442.1	1575460	284790	0.0535206978336825	-0.0504786261302212	-5145.09520972778	1372.196129570914	2560321
GCF_003798465.1	NZ_CP033718.1	301950	1514530	0.0549136179783674	-0.0511540151190324	-1560.0335894479256	5098.68862171901	2495332
GCF_003812785.1	NZ_CP033842.1	1513250	256880	0.0552188924074425	-0.0513633921117662	-5274.435154008531	1178.7222995266768	2494539
GCF_008728435.1	NZ_CP044255.1	2491840	1269640	0.0505463201884167	-0.0556132574610602	-375.7294749203052	6421.403689721396	2494216
GCF_011399315.1	NZ_AP022844.1	2492450	1270300	0.0505972755776669	-0.0555884328238229	-362.1480266933964	6431.624258885983	2494525
GCF_011399455.1	NZ_AP022845.1	2502480	1270300	0.0505967659211218	-0.0563339777420803	-509.8713173197185	6431.541884296142	2504552
GCF_000008345.1	NC_006085.1	2558350	1294260	0.0501062258870996	-0.0537074434935014	-301.0428836159681	6488.066644522359	2560265
GCF_004136215.1	NZ_CP025935.1	2558480	1294390	0.0501368391317139	-0.0537184209575893	-297.9739761864813	6492.523183523657	2560634
GCF_000025765.1	NC_014039.1	2493190	1296370	0.0503705910833897	-0.0554823626447587	-106.33130775637171	6533.922946370216	2495334
GCF_000213155.1	NC_017534.1	2492300	1270240	0.050584381592009	-0.0556903868302062	-375.04936293452425	6430.655334832748	2494578
GCF_000217615.1	NC_017535.1	2558160	1294070	0.0501065936414985	-0.0537566501528424	-307.22852414570804	6488.176709018944	2560282
GCF_000240015.1	NC_016516.1	2487340	1260840	0.050362728154453	-0.0561065372882376	-526.4512585239818	6355.031412993004	2489623
GCF_000240035.1	NC_016512.1	2520610	1269400	0.050361957999273	-0.0566981576135712	-696.1165251597123	6398.018938402966	2522885
GCF_000240055.1	NC_016511.1	2496490	1270020	0.0504742155797016	-0.0562227575812249	-480.1481198731081	6415.413272494589	2498766
GCF_004136195.1	NZ_CP025934.1	2492830	1270190	0.0505604094929984	-0.0557648131720764	-393.2154900650063	6424.864983632241	2495002
GCF_000302515.1	NC_018707.1	2516630	1299210	0.0504715805231216	-0.0547485361822033	-103.49944118878814	6561.707395650578	2519002
GCF_000709495.1	NZ_CP006032.1	2492490	1270170	0.0506339410628302	-0.0556806685874976	-370.3988812361483	6435.613733742993	2494562
GCF_006739385.1	NZ_AP019723.1	2492360	1270200	0.0505961896104363	-0.0556853387956585	-374.8730697158513	6430.773363760185	2494738
