assembly_accession	start	end	orientation
GCF_003945765.1	126187	127723	+
GCF_003945765.1	828236	829772	+
GCF_003945765.1	4786504	4788040	-
GCF_003945765.1	5793168	5794704	-
GCF_003945765.1	6136539	6138075	-
GCF_000761195.1	732134	733671	+
GCF_000761195.1	1114982	1116519	+
GCF_000761195.1	2166895	2168432	+
GCF_000761195.1	5825837	5827374	-
GCF_000761195.1	6578898	6580435	-
GCF_002355875.1	648531	650067	+
GCF_002355875.1	4685466	4687005	-
GCF_002355875.1	5731275	5732811	-
GCF_002355875.1	6081655	6083191	-
GCF_002355875.1	6928415	6929951	+
GCF_003851165.1	121506	123042	+
GCF_003851165.1	832793	834329	+
GCF_003851165.1	4612459	4613995	-
GCF_003851165.1	5701080	5702616	-
GCF_003851165.1	6051198	6052734	-
GCF_003851205.1	121778	123314	+
GCF_003851205.1	840611	842147	+
GCF_003851205.1	4892981	4894517	-
GCF_003851205.1	5939970	5941506	-
GCF_003851205.1	6292364	6293900	-
GCF_003851225.1	121900	123436	+
GCF_003851225.1	834843	836379	+
GCF_003851225.1	4806757	4808293	-
GCF_003851225.1	5901365	5902901	-
GCF_003851225.1	6253523	6255059	-
GCF_003851265.1	134043	135579	+
GCF_003851265.1	887593	889129	+
GCF_003851265.1	4713043	4714579	-
GCF_003851265.1	5784775	5786311	-
GCF_003851265.1	6132488	6134024	-
GCF_003851305.1	130190	131726	+
GCF_003851305.1	848495	850031	+
GCF_003851305.1	4749227	4750763	-
GCF_003851305.1	5807425	5808961	-
GCF_003851305.1	6173191	6174727	-
GCF_003851345.1	121583	123119	+
GCF_003851345.1	838206	839742	+
GCF_003851345.1	4798984	4800520	-
GCF_003851345.1	5867573	5869109	-
GCF_003851345.1	6233737	6235273	-
GCF_003851805.1	121778	123314	+
GCF_003851805.1	840611	842147	+
GCF_003851805.1	4894915	4896451	-
GCF_003851805.1	5942354	5943890	-
GCF_003851805.1	6294748	6296284	-
GCF_003851835.1	129808	131344	+
GCF_003851835.1	845899	847435	+
GCF_003851835.1	5017193	5018729	-
GCF_003851835.1	6071278	6072814	-
GCF_003851835.1	6435923	6437459	-
GCF_009362955.1	145168	146704	+
GCF_009362955.1	3891199	3892735	-
GCF_009362955.1	4928638	4930174	-
GCF_009362955.1	5277819	5279355	-
GCF_009362955.1	6070562	6072098	+
GCF_010092525.1	122075	123611	+
GCF_010092525.1	829193	830729	+
GCF_010092525.1	4777678	4779214	-
GCF_010092525.1	5826283	5827819	-
GCF_010092525.1	6187367	6188903	-
GCF_012029635.1	129808	131344	+
GCF_013466605.1	132475	134012	+
GCF_013466605.1	821040	822577	+
GCF_013466605.1	4705695	4707232	-
GCF_013466605.1	5834413	5835950	-
GCF_013466605.1	6217713	6219250	-
GCF_016757635.1	121744	123280	+
GCF_016757635.1	830872	832408	+
GCF_016757635.1	4669434	4670970	-
GCF_016757635.1	5885605	5887141	-
GCF_016757635.1	6243409	6244945	-
GCF_000963835.1	714048	715584	+
GCF_000963835.1	1057266	1058802	+
GCF_000963835.1	2100127	2101663	+
GCF_000963835.1	5823290	5824826	-
GCF_000963835.1	6502644	6504180	-
GCF_001602135.1	2123893	2125429	-
GCF_001602135.1	2831564	2833100	-
GCF_001602135.1	3628598	3630134	+
GCF_001602135.1	3964346	3965882	+
GCF_001602135.1	5064383	5065919	+
GCF_002844145.1	120278	121814	+
GCF_002844145.1	815634	817180	+
GCF_002844145.1	4712986	4714522	-
GCF_002844145.1	5795481	5796987	-
GCF_002844145.1	6147308	6148844	-
GCF_003850605.1	158319	159855	+
GCF_003850605.1	851063	852599	+
GCF_003850605.1	4618642	4620178	-
GCF_003850605.1	5648391	5649927	-
GCF_003850605.1	6004491	6006027	-
GCF_003851145.1	121898	123434	+
GCF_003851145.1	820228	821764	+
GCF_003851145.1	4558282	4559818	-
GCF_003851145.1	5618076	5619612	-
GCF_003851145.1	5953223	5954759	-
GCF_003851785.1	124272	125808	+
GCF_003851785.1	813922	815458	+
GCF_003851785.1	4559945	4561481	-
GCF_003851785.1	5596149	5597685	-
GCF_003851785.1	5945330	5946866	-
GCF_003851985.1	138640	140176	+
GCF_003851985.1	817452	818988	+
GCF_003851985.1	4740051	4741587	-
GCF_003851985.1	5924894	5926430	-
GCF_003851985.1	6295285	6296821	-
GCF_009834495.1	120198	121734	+
GCF_009834495.1	830186	831722	+
GCF_009834495.1	4950768	4952304	-
GCF_009834495.1	6127407	6128943	-
GCF_009834495.1	6478896	6480432	-
GCF_014524625.1	120152	121689	+
GCF_014524625.1	815686	817223	+
GCF_014524625.1	4713681	4715218	-
GCF_014524625.1	5796292	5797829	-
GCF_014524625.1	6148183	6149720	-
GCF_016772375.1	360556	362092	+
GCF_016772375.1	1042877	1044413	+
GCF_016772375.1	4648929	4650465	-
GCF_016772375.1	5696914	5698450	-
GCF_016772375.1	6033440	6034976	-
GCF_017922675.1	119487	121023	+
GCF_017922675.1	812497	814033	+
GCF_017922675.1	4868436	4869972	-
GCF_017922675.1	5921424	5922960	-
GCF_017922675.1	6284847	6286383	-
GCF_017922815.1	30027	31563	-
GCF_017922815.1	867279	868815	+
GCF_017922815.1	1211992	1213528	+
GCF_017922815.1	2283777	2285313	+
GCF_017922815.1	6271610	6273146	-
GCF_017922915.1	128389	129925	+
GCF_017922915.1	841749	843285	+
GCF_017922915.1	4571127	4572663	-
GCF_017922915.1	5610939	5612475	-
GCF_017922915.1	5962926	5964462	-
GCF_017922975.1	2662807	2664343	-
GCF_017922975.1	3365740	3367276	-
GCF_017922975.1	4188478	4190014	+
GCF_017922975.1	4555427	4556963	+
GCF_017922975.1	5620913	5622449	+
GCF_900636995.1	1904450	1905986	-
GCF_900636995.1	3137415	3138951	-
GCF_900636995.1	3511758	3513294	-
GCF_900636995.1	4302056	4303592	+
GCF_900636995.1	4997874	4999410	+
GCF_003851365.1	128471	130007	+
GCF_003851365.1	835762	837298	+
GCF_003851365.1	5122141	5123677	-
GCF_003851365.1	6179382	6180918	-
GCF_003851365.1	6530332	6531868	-
GCF_003851385.1	128521	130057	+
GCF_003851385.1	831125	832661	+
GCF_003851385.1	4637651	4639187	-
GCF_003851385.1	5716821	5718357	-
GCF_003851385.1	6069026	6070562	-
GCF_003851405.1	128462	129998	+
GCF_003851405.1	836999	838535	+
GCF_003851405.1	4705351	4706887	-
GCF_003851405.1	5772942	5774478	-
GCF_003851405.1	6123848	6125384	-
GCF_003851445.1	120152	121688	+
GCF_003851445.1	825453	826989	+
GCF_003851445.1	4708762	4710298	-
GCF_003851445.1	5869931	5871467	-
GCF_003851445.1	6221396	6222932	-
GCF_003851865.1	128530	130066	+
GCF_003851865.1	826176	827712	+
GCF_003851865.1	4858613	4860149	-
GCF_003851865.1	5911291	5912827	-
GCF_003851865.1	6262226	6263762	-
GCF_003851905.1	128521	130057	+
GCF_003851905.1	828323	829859	+
GCF_003851905.1	4950406	4951942	-
GCF_003851905.1	5985920	5987456	-
GCF_003851905.1	6336411	6337947	-
GCF_003851925.1	120142	121678	+
GCF_003851925.1	825695	827231	+
GCF_003851925.1	4909790	4911326	-
GCF_003851925.1	6002277	6003813	-
GCF_003851925.1	6385563	6387099	-
GCF_003851955.1	120152	121688	+
GCF_003851955.1	824044	825580	+
GCF_003851955.1	4722387	4723923	-
GCF_003851955.1	5820993	5822529	-
GCF_003851955.1	6172462	6173998	-
GCF_003852005.1	120152	121688	+
GCF_003852005.1	845130	846666	+
GCF_003852005.1	4856159	4857695	-
GCF_003852005.1	5935630	5937166	-
GCF_003852005.1	6287104	6288640	-
GCF_016413685.1	219837	221368	-
GCF_016413685.1	1001416	1002952	+
GCF_016413685.1	1700021	1701555	+
GCF_016413685.1	5571700	5573236	-
GCF_016413685.1	6616662	6618198	-
GCF_000264555.1	4794297	4795826	-
GCF_000281915.1	287644	289180	+
GCF_000281915.1	995229	996765	+
GCF_000281915.1	4771189	4772718	-
GCF_000281915.1	4776738	4778274	-
GCF_000281915.1	5818163	5819699	-
GCF_000281915.1	6151280	6152816	-
GCF_003008635.1	119450	120986	+
GCF_003008635.1	816024	817560	+
GCF_003008635.1	4709512	4711048	-
GCF_003008635.1	5789936	5791472	-
GCF_003008635.1	6154886	6156422	-
GCF_003850345.1	120490	122026	+
GCF_003850345.1	830370	831906	+
GCF_003850345.1	4971516	4973052	-
GCF_003850345.1	6004206	6005742	-
GCF_003850345.1	6348327	6349863	-
GCF_003850365.1	119660	121196	+
GCF_003850365.1	815479	817015	+
GCF_003850365.1	4932171	4933707	-
GCF_003850365.1	6173905	6175441	-
GCF_003850365.1	6548248	6549784	-
GCF_003850385.1	119654	121190	+
GCF_003850385.1	815471	817007	+
GCF_003850385.1	4932169	4933705	-
GCF_003850385.1	6167424	6168960	-
GCF_003850385.1	6541765	6543301	-
GCF_003850405.1	119538	121074	+
GCF_003850405.1	823847	825383	+
GCF_003850405.1	4984067	4985603	-
GCF_003850405.1	6182215	6183751	-
GCF_003850405.1	6555677	6557213	-
GCF_003850425.1	119520	121056	+
GCF_003850425.1	820534	822070	+
GCF_003850425.1	4850178	4851714	-
GCF_003850425.1	5995231	5996767	-
GCF_003850425.1	6359586	6361122	-
GCF_003850445.1	119520	121056	+
GCF_003850445.1	818360	819896	+
GCF_003850445.1	4768773	4770309	-
GCF_003850445.1	5821604	5823140	-
GCF_003850445.1	6169485	6171021	-
GCF_003850465.1	119508	121044	+
GCF_003850465.1	853425	854961	+
GCF_003850465.1	4826343	4827879	-
GCF_003850465.1	5854187	5855723	-
GCF_003850465.1	6200192	6201728	-
GCF_003850485.1	119514	121050	+
GCF_003850485.1	822978	824514	+
GCF_003850485.1	4845859	4847395	-
GCF_003850485.1	5903704	5905240	-
GCF_003850485.1	6268060	6269596	-
GCF_003850505.1	119526	121062	+
GCF_003850505.1	822174	823710	+
GCF_003850505.1	4927784	4929320	-
GCF_003850505.1	6054148	6055684	-
GCF_003850505.1	6402161	6403697	-
GCF_003850525.1	119556	121092	+
GCF_003850525.1	819161	820697	+
GCF_003850525.1	4816252	4817788	-
GCF_003850525.1	5842303	5843839	-
GCF_003850525.1	6206401	6207937	-
GCF_003850585.1	119515	121051	+
GCF_003850585.1	831406	832942	+
GCF_003850585.1	4788893	4790429	-
GCF_003850585.1	5949980	5951516	-
GCF_003850585.1	6335273	6336809	-
