assembly_accession	seq_id	origin	terminus	repl_1_mean	repl_2_mean	c_skew_min	c_skew_max	length
GCF_001430775.1	NZ_CP013049.1	5075690	2437390	0.0342660118313753	-0.0413853239693561	-2454.796771241083	8463.901532773583	5173145
GCF_001606195.1	NZ_CP014950.1	4821370	2443490	0.0353882790771478	-0.0439703055345931	-1791.9586936294031	8701.096462624802	4826045
GCF_001606215.1	NZ_CP014951.1	5233200	2611390	0.0287875258670731	-0.0408459485764154	-3165.058977565403	7625.544548093258	5242371
GCF_001606235.1	NZ_CP014952.1	4864620	2500420	0.0344672899585197	-0.0430486135522246	-1543.1524085080584	8671.853949543865	4869298
GCF_001606255.1	NZ_CP014953.1	5059810	2478120	0.0324780253076852	-0.0415154537466272	-2654.3915329459337	8100.424751425728	5064478
GCF_001606275.1	NZ_CP014954.1	5161430	2576480	0.0315421390167514	-0.0414588584074932	-2575.4083917362022	8183.452919986692	5166100
GCF_001606295.1	NZ_CP014955.1	5061390	2636070	0.0333185539274506	-0.0428124071692151	-1557.5936671676177	8933.255763992396	5074222
GCF_001606315.1	NZ_CP014956.1	5176590	2633090	0.0336057866675628	-0.0413268619743627	-1622.7231638220949	8985.144682506925	5188507
GCF_001606335.1	NZ_CP014957.1	5133430	2638960	0.0341683893262172	-0.0428556216039552	-1629.4669291048906	9166.805309438463	5146255
GCF_001610615.1	NZ_CP014958.1	5213240	2606550	0.029044277563606	-0.0413584014406418	-3196.753299166693	7620.912952022637	5217908
GCF_001610635.1	NZ_CP014959.1	4934560	2523690	0.0328492244267051	-0.0402220916727317	-1391.5240587289395	8342.06680037563	4939234
GCF_001610655.1	NZ_CP014960.1	4790530	2418660	0.0366139503216333	-0.0424496086411923	-1178.8478703877577	8969.289556029826	4799801
GCF_001610675.1	NZ_CP014961.1	5326280	2626120	0.0348470492425728	-0.0410101983213636	-1905.8479952053565	9205.447526190424	5330954
