assembly_accession	seq_id	origin	terminus	repl_1_mean	repl_2_mean	c_skew_min	c_skew_max	length
GCF_001610935.1	NZ_CP012731.1	1057860	5920	0.0532581768968838	-0.1040112969113602	-11000.236653620896	-0.0614525139664804	2146151
GCF_001640765.1	NZ_CP015557.1	10	1021490	0.1053529365656174	-0.0950967974706048	-10.270246913785872	10761.607897028298	2142184
GCF_001721625.1	NZ_CP017142.1	2112340	997910	0.1058700557420497	-0.0951562885893897	-72.77866202756877	10531.73761675386	2131882
GCF_002285535.1	NZ_CP017088.1	2060820	1022650	0.0988496622247401	-0.099633836277097	-215.307783741178	10128.534883593158	2062916
GCF_002285735.1	NZ_CP017092.1	2575710	1233960	0.0779135261028843	-0.0985561146233433	-3596.2468843820648	9627.542080531326	2577759
GCF_002803825.1	NZ_CP024974.1	2536900	1261960	0.094106744050511	-0.0935514355560201	-37.74219335853277	11889.510021422984	2538894
GCF_002812525.1	NZ_CP025043.1	2402120	1181590	0.0937362083387296	-0.0963724423742967	-672.9088848949974	11089.81317351547	2404013
GCF_003144175.1	NZ_CP029398.1	2194570	1045720	0.1033364588377528	-0.1000169924480408	-666.0114597703122	10831.208530812975	2196724
GCF_003285225.1	NZ_CP017666.1	2136260	1012310	0.1064648973187596	-0.0967030893895108	-73.65669741621363	10795.3099662397	2138420
GCF_003285245.1	NZ_CP017667.1	2225930	1052630	0.1069164026650676	-0.0969190279102902	-99.34073062398294	11272.18591485939	2228089
GCF_003288175.1	NZ_CP025419.1	2241600	1037820	0.1000410391147329	-0.1045939935213683	-2193.400572432208	10397.423787759004	2243598
GCF_007724845.1	NZ_CP041994.1	1031370	2071690	0.1037254842424551	-0.0332175068901568	-3781.892647634008	7297.151507045481	2092054
GCF_014192345.1	NZ_AP023391.1	2125250	1040500	0.0986428784232905	-0.0988915921621281	-448.1349254894137	10279.145179893158	2127449
GCF_014843075.1	NZ_CP058741.1	2180490	1048840	0.0987254469231356	-0.0984510012917267	-770.0576434727965	10371.16112314931	2182685
GCF_014874555.1	NZ_CP047248.1	2113340	1026160	0.1029849554044359	-0.0986151514823299	-135.81983813070875	10585.435520079516	2115437
GCF_015291825.1	NZ_CP032064.1	2549090	1268130	0.0942003216047828	-0.0965479240966197	-406.45160134994194	11960.96194566611	2551200
GCF_015908885.1	NZ_CP065430.1	2530	1309800	0.1010268039361416	-0.0958146403910615	-12.107613646235832	13197.92675621935	2495947
GCF_016774475.1	NZ_CP068708.1	2135980	1005390	0.1017060906123388	-0.0999809916091829	-1061.3555160808794	10248.852854206769	2138155
GCF_017309405.1	NZ_CP071305.1	2326180	1090920	0.1024198969481085	-0.0961980597440186	-691.34345406144	11191.63671547836	2328375
GCF_017372155.1	NZ_CP071697.1	2437060	1166260	0.0914169178652518	-0.0993716157007329	-1938.9565799259933	10689.207704383083	2440827
GCF_902702745.1	NZ_LR738722.1	2141240	1030870	0.0957022813691319	-0.1066137248020267	-1956.9205856153603	9881.167395556704	2143438
GCF_902702765.1	NZ_LR738723.1	2290430	1143860	0.0940750361494678	-0.0957965098390814	-207.44475092240847	10776.310263424724	2292626
GCF_902702775.1	NZ_LR738724.1	2450	1043030	0.1080484692373457	-0.0975908249133726	-12.325788181078492	11231.358648351734	2189829
GCF_902702785.1	NZ_LR738720.1	2118960	1031030	0.0952001161325228	-0.106055088903373	-1717.4906253567149	9822.927649498452	2120082
GCF_000026745.1	NC_012926.1	2420	1101980	0.1008421229809364	-0.0983604642787075	-11.71145019911894	11076.49225008984	2146229
GCF_000231925.1	NC_017950.1	2032120	966700	0.1026288755107576	-0.0988840012162983	-597.5937368719071	9946.90871181816	2034321
GCF_000231885.1	NC_017620.1	2175460	1015800	0.0923872819589709	-0.1012149288067953	-2337.714260118356	9399.787821313994	2177656
GCF_000204625.1	NC_015433.1	2026620	1009940	0.09857678578525	-0.1040019120158724	-601.3808196363686	9972.299307372125	2028815
GCF_000390245.1	NC_021213.1	2035950	961210	0.1021901504495841	-0.0951873901315981	-388.2779100978692	9841.899786257452	2038146
GCF_000494895.1	NC_022665.1	2238040	1112020	0.0955906260586512	-0.0973020772689649	-311.2483208870663	10645.176384885264	2240234
GCF_000471985.1	NC_022516.1	2041460	1019980	0.0989990299068964	-0.1051737757992652	-628.8732365951545	10114.428792483835	2043655
