assembly_accession	rel_start	rel_center	rel_end	orientation	has_tandem
GCF_000695895.1	-0.0914332687200905	-0.0906107075310641	-0.0897881463420377	-	True
GCF_000695895.1	-0.0821137628347909	-0.0812912016457645	-0.0804686404567382	-	True
GCF_000817045.1	-0.5027139720474602	-0.5018985137018114	-0.5010830553561626	-	False
GCF_000817045.1	-0.1914337288350293	-0.1906182704893806	-0.1898028121437318	-	False
GCF_000817045.1	-0.0897563653253388	-0.08894090697969	-0.0881254486340413	-	False
GCF_000817045.1	-0.0744447493983025	-0.0736292910526538	-0.072813832707005	-	True
GCF_000817045.1	-0.0652514461850272	-0.0644359878393784	-0.0636205294937296	-	True
GCF_002220485.1	-0.4950934053567409	-0.4942697448099203	-0.4934460842630997	-	False
GCF_002220485.1	-0.1788206167004276	-0.177996956153607	-0.1771732956067865	-	False
GCF_002220485.1	-0.0755859940194849	-0.0747623334726643	-0.0739386729258437	-	True
GCF_002220485.1	-0.0662508172298854	-0.0654271566830648	-0.0646034961362442	-	True
GCF_004135895.1	-0.4881116145646575	-0.487276569851463	-0.4864415251382686	-	False
GCF_004135895.1	-0.167697840944899	-0.1668627962317045	-0.16602775151851	-	False
GCF_004135895.1	-0.0671686714259325	-0.0663336267127381	-0.0654985819995436	-	False
GCF_008041995.1	-0.5029238593677458	-0.502108745199004	-0.5012936310302621	-	False
GCF_008041995.1	-0.1917781623264255	-0.1909630481576837	-0.1901479339889419	-	False
GCF_008041995.1	-0.0901437133330519	-0.0893285991643101	-0.0885134849955683	-	True
GCF_008041995.1	-0.0809542902967121	-0.0801391761279702	-0.0793240619592284	-	True
GCF_011770105.1	-0.4894049174486281	-0.4885750844950275	-0.4877452515414268	-	False
GCF_011770105.1	-0.1709898605967022	-0.1701600276431016	-0.169330194689501	-	False
GCF_011770105.1	-0.0669816108585558	-0.0661517779049551	-0.0653219449513546	-	False
GCF_015377505.1	-0.4951326437644032	-0.4943089125890991	-0.4934851814137949	-	False
GCF_015377505.1	-0.1788295192668417	-0.1780057880915375	-0.1771820569162334	-	False
GCF_015377505.1	-0.0755860442681815	-0.0747623130928774	-0.0739385819175732	-	True
GCF_015377505.1	-0.0662500669918002	-0.065426335816496	-0.0646026046411919	-	True
GCF_016696725.1	-0.1752138757711749	-0.1744610330566391	-0.1737081903421034	-	False
GCF_016696725.1	-0.0866052659881305	-0.0858524232735947	-0.085099580559059	-	True
GCF_016696725.1	-0.0777031453181982	-0.0769503026036625	-0.0761974598891268	-	True
GCF_902387355.1	-0.5027065827808976	-0.5018953468732846	-0.5010841109656716	-	False
GCF_902387355.1	-0.1914263395684668	-0.1906151036608537	-0.1898038677532407	-	False
GCF_902387355.1	-0.0897489760587763	-0.0889377401511632	-0.0881265042435502	-	False
GCF_902387355.1	-0.07443736013174	-0.0736261242241269	-0.0728148883165139	-	True
GCF_902387355.1	-0.0652440569184647	-0.0644328210108516	-0.0636215851032386	-	True
GCF_000818055.1	-0.4990026359675076	-0.4981758028941847	-0.4973489698208618	-	False
GCF_000818055.1	-0.1817397385550594	-0.1809129054817364	-0.1800860724084135	-	False
GCF_000818055.1	-0.0781074829200064	-0.0772806498466834	-0.0764538167733605	-	True
GCF_000818055.1	-0.0687363494539781	-0.0679095163806552	-0.0670826833073322	-	True
GCF_003390755.1	-0.5029155041933455	-0.5021045867222684	-0.5012936692511913	-	False
