assembly_accession	start	end	orientation
GCF_003944565.2	464874	466418	+
GCF_003944565.2	3323897	3325442	-
GCF_003944565.2	3526364	3527915	-
GCF_003944565.2	4188223	4189769	-
GCF_003944565.2	4228518	4230060	-
GCF_003944565.2	4396032	4397581	-
GCF_003944565.2	4516077	4517626	-
GCF_008064875.1	810311	811862	-
GCF_008064875.1	1185139	1186690	-
GCF_008064875.1	1307610	1309163	-
GCF_008064875.1	1569425	1570976	+
GCF_008064875.1	1609603	1611154	+
GCF_008064875.1	2275705	2277256	+
GCF_008064875.1	2521505	2523056	+
GCF_008064895.1	922688	924239	-
GCF_008064895.1	1196760	1198311	-
GCF_008064895.1	1909727	1911280	-
GCF_008064895.1	1950028	1951579	-
GCF_008064895.1	2225385	2226936	+
GCF_008064895.1	2331061	2332614	+
GCF_008064895.1	2711481	2713034	+
GCF_008064915.1	1544438	1545989	-
GCF_008064915.1	1782109	1783660	-
GCF_008064915.1	2434832	2436383	-
GCF_008064915.1	2475008	2476559	-
GCF_008064915.1	2756498	2758049	+
GCF_008064915.1	2867809	2869360	+
GCF_008064915.1	3219380	3220931	+
GCF_013171325.1	212906	214459	+
GCF_013171325.1	253076	254629	+
GCF_013171325.1	923759	925312	+
GCF_013171325.1	1145722	1147275	+
GCF_013171325.1	4047082	4048635	-
GCF_013171325.1	4421572	4423125	-
GCF_013171325.1	4525455	4527008	-
GCF_013591455.1	2236833	2238384	-
GCF_013591455.1	2620424	2621977	-
GCF_013591455.1	2723247	2724798	-
GCF_013591455.1	2989964	2991515	+
GCF_013591455.1	3030259	3031810	+
GCF_013591455.1	3772132	3773685	+
GCF_013591455.1	4005132	4006685	+
GCF_013596835.1	214739	216292	+
GCF_013596835.1	254913	256466	+
GCF_013596835.1	922261	923812	+
GCF_013596835.1	1157273	1158826	+
GCF_013596835.1	4169958	4171509	-
GCF_013596835.1	4535036	4536587	-
GCF_013596835.1	4658740	4660291	-
GCF_013710195.1	2254511	2256052	-
GCF_013710195.1	2638115	2639656	-
GCF_013710195.1	2740936	2742477	-
GCF_013710195.1	3022700	3024241	+
GCF_013710195.1	3062995	3064536	+
GCF_013710195.1	3705909	3707450	+
GCF_013710195.1	3981209	3982750	+
GCF_013713585.1	240835	242376	+
GCF_013713585.1	281183	282724	+
GCF_013713585.1	960908	962449	+
GCF_013713585.1	1265061	1266602	+
GCF_013713585.1	4167280	4168821	-
GCF_013713585.1	4577645	4579186	-
GCF_013713585.1	4699705	4701246	-
GCF_013714535.1	92439	93980	+
GCF_013714535.1	132603	134144	+
GCF_013714535.1	800045	801586	+
GCF_013714535.1	1049691	1051232	+
GCF_013714535.1	4011495	4013033	-
GCF_013714535.1	4376570	4378111	-
GCF_013714535.1	4515804	4517345	-
GCF_013714825.1	92439	93980	+
GCF_013714825.1	132603	134144	+
GCF_013714825.1	800045	801586	+
GCF_013714825.1	1049691	1051232	+
GCF_013714825.1	4011493	4013034	-
GCF_013714825.1	4376571	4378112	-
GCF_013714825.1	4515805	4517346	-
GCF_013715025.1	92439	93980	+
GCF_013715025.1	132603	134144	+
GCF_013715025.1	800045	801586	+
GCF_013715025.1	1049276	1050817	+
GCF_013715025.1	4011078	4012619	-
GCF_013715025.1	4376156	4377697	-
GCF_013715025.1	4515390	4516931	-
GCF_013798785.1	103304	104855	+
GCF_013798785.1	143650	145201	+
GCF_013798785.1	804852	806403	+
GCF_013798785.1	1052645	1054196	+
GCF_013798785.1	3894380	3895931	-
GCF_013798785.1	4268101	4269652	-
GCF_013798785.1	4388829	4390380	-
GCF_013799825.1	103304	104856	+
GCF_013799825.1	143651	145202	+
GCF_013799825.1	804853	806404	+
GCF_013799825.1	1052646	1054197	+
GCF_013799825.1	3836425	3837976	-
GCF_013799825.1	4210146	4211697	-
GCF_013799825.1	4330874	4332425	-
GCF_013800985.1	103304	104855	+
GCF_013800985.1	143650	145201	+
GCF_013800985.1	804852	806403	+
GCF_013800985.1	1052645	1054196	+
GCF_013800985.1	3894378	3895929	-
GCF_013800985.1	4268099	4269650	-
GCF_013800985.1	4388827	4390378	-
GCF_013801425.1	237328	238879	+
GCF_013801425.1	277649	279200	+
GCF_013801425.1	973561	975112	+
GCF_013801425.1	1220929	1222480	+
GCF_013801425.1	4122581	4124132	-
GCF_013801425.1	4519801	4521352	-
GCF_013801425.1	4631313	4632864	-
GCF_013801845.1	237328	238879	+
GCF_013801845.1	277649	279200	+
GCF_013801845.1	973561	975112	+
GCF_013801845.1	1219591	1221142	+
GCF_013801845.1	4122581	4124132	-
GCF_013801845.1	4519801	4521352	-
GCF_013801845.1	4631313	4632864	-
GCF_013812875.1	95943	97494	+
GCF_013812875.1	136107	137658	+
GCF_013812875.1	840804	842355	+
GCF_013812875.1	1066370	1067921	+
GCF_013812875.1	4051922	4053473	-
GCF_013812875.1	4417770	4419321	-
GCF_013812875.1	4532006	4533557	-
GCF_013813205.1	239508	241059	+
GCF_013813205.1	279829	281380	+
GCF_013813205.1	985338	986889	+
GCF_013813205.1	1232708	1234259	+
GCF_013813205.1	4163255	4164806	-
GCF_013813205.1	4559698	4561249	-
GCF_013813205.1	4671210	4672761	-
GCF_013813425.1	220719	222270	+
GCF_013813425.1	261059	262610	+
GCF_013813425.1	938768	940319	+
GCF_013813425.1	1183967	1185518	+
GCF_013813425.1	4059418	4060969	-
GCF_013813425.1	4432445	4433996	-
GCF_013813425.1	4553169	4554720	-
GCF_013819085.1	231932	233483	+
GCF_013819085.1	272283	273834	+
GCF_013819085.1	938807	940360	+
GCF_013819085.1	1219400	1220951	+
GCF_013819085.1	4194583	4196136	-
GCF_013819085.1	4565588	4567139	-
GCF_013819085.1	4670307	4671860	-
