assembly_accession	seq_id	origin	terminus	repl_1_mean	repl_2_mean	c_skew_min	c_skew_max	length
GCF_000026605.1	NC_012470.1	2160	1087530	0.1071436571076215	-0.1073740160844159	0.0880829015544041	11629.582863523256	2149868
GCF_009676645.1	NZ_CP046040.1	450	1115330	0.1068471348334748	-0.103347919909883	-0.2725529827224118	11914.518846980036	2189155
GCF_009676685.2	NZ_CP046042.2	450	1104770	0.107861572413094	-0.1024865509378893	-0.2725529827224134	11914.814711869873	2188654
GCF_009676725.1	NZ_CP046041.1	2100	1062380	0.1098267099381874	-0.1041152011782341	-0.2725529827224102	11644.508057805078	2074453
GCF_015689355.1	NZ_CP065058.1	2150	1053160	0.1058900262053007	-0.0984066351842908	0.0947368421052632	11129.291174741113	2082352
GCF_015689375.1	NZ_CP065059.1	2170	1057800	0.1118821215808107	-0.104008438265161	-0.0096207967559807	11810.608840245275	2098084
GCF_015689395.1	NZ_CP065054.1	2160	1153290	0.1064232144462023	-0.1052834653715134	0.0260193288098048	12250.72955706527	2150055
GCF_015689415.1	NZ_CP065056.1	2145360	1040160	0.1077050965202605	-0.1037824333496181	-242.85527252776544	11229.647656470266	2147596
GCF_015689435.1	NZ_CP065060.1	2100	1055470	0.1107626945604107	-0.104706347057999	0.0729166666666666	11667.49859443475	2044877
GCF_015689455.1	NZ_CP065061.1	2038210	989760	0.1057152869353313	-0.1058001783927082	-605.6632395989043	10490.279888807834	2040445
GCF_015767555.1	NZ_CP065191.1	2160	1129990	0.1065397972686275	-0.103304350223724	-1.1097514524889454	12014.781602352745	2154650
GCF_018140535.1	NZ_CP073275.1	2150	1082690	0.1084643614401198	-0.0987834769173361	0.094736842105263	11720.151641588564	2156971
GCF_900474805.1	NZ_LS483325.1	2100	1126070	0.1041393256650563	-0.1014232255297164	-0.7834771314316246	11704.210209337787	2172187
GCF_900474875.1	NZ_LS483328.1	2030	1121730	0.1093859964657178	-0.1023760186413516	0.1005291005291004	12249.713953879003	2128266
GCF_900475125.1	NZ_LS483354.1	2100	1082370	0.1033266800307293	-0.0990736780757822	0.0729166666666667	11162.160452590448	2071453
GCF_900475295.1	NZ_LS483368.1	2100	1092180	0.1052335417451577	-0.1035140265029891	0.1005291005291005	11471.989539397558	2075375
GCF_900636805.1	NZ_LR134317.1	1960570	771320	0.1043300269731003	-0.1097983606425241	-4724.200410537331	8333.60372633257	2284597
GCF_018604585.1	NZ_CP071140.1	461040	1531690	0.1125692136588714	-0.1019402299277551	-4614.175132042096	7438.063730976979	2252366
GCF_018604605.1	NZ_CP071141.1	2035100	868610	0.1106125754291234	-0.1023287850959979	-1814.8223811775133	10121.739532975378	2272870
GCF_018604625.1	NZ_CP071142.1	668160	1754630	0.1117191970380815	-0.1022309910015489	-6905.066068274059	5232.9080160314825	2265147
GCF_018604645.1	NZ_CP071143.1	827900	1914310	0.1116938593415664	-0.1025073896152908	-8816.179084413894	3318.3669594911667	2263263
GCF_018604665.1	NZ_CP071144.1	1243630	165200	0.1019346257631311	-0.1125491076105491	-10672.912241105289	1465.320710542956	2266249
GCF_018604685.1	NZ_CP071145.1	1021380	2107860	0.1117154048335725	-0.1026269234663236	-10629.070435444495	1508.6063554662092	2265767
GCF_018604705.1	NZ_CP071146.1	1411490	330610	0.1017826006687782	-0.112286440213662	-9163.558092524325	2973.996764967488	2265538
GCF_018604725.1	NZ_CP071147.1	2252730	1166510	0.1030011808042786	-0.1117343297491283	-199.9539766860157	11936.857880664696	2266254
GCF_018604745.1	NZ_CP071148.1	157640	1332170	0.1016102873250975	-0.1120366342055035	-1282.6317401815154	10652.398608225129	2263309
GCF_000020765.1	NC_011134.1	2330	1045760	0.1037176941653242	-0.0993753751837804	0.1098265895953756	10823.602756779424	2024171
GCF_000026585.1	NC_012471.1	2251560	1167710	0.1025418108668404	-0.1123192054698661	-176.83792248506188	11999.67065828282	2253793
GCF_000219765.1	NC_017582.1	2160	1100290	0.1065097573738061	-0.103051307524618	0.0879120879120878	11696.697527274237	2167264
GCF_000696505.1	NZ_CP006770.1	1870350	829380	0.1031885770345681	-0.1066160532373466	-2175.365766637713	8923.641504230896	2107382
