assembly_accession	start	end	orientation
GCF_000730215.1	16509	18057	+
GCF_000730215.1	22343	23891	+
GCF_000730215.1	91146	92694	+
GCF_000730215.1	165176	166724	+
GCF_000730215.1	250912	252460	+
GCF_000730215.1	348246	349794	+
GCF_000730215.1	417401	418949	+
GCF_000730255.1	16498	18046	+
GCF_000730255.1	22330	23878	+
GCF_000730255.1	91537	93085	+
GCF_000730255.1	165251	166799	+
GCF_000730255.1	256647	258195	+
GCF_000730255.1	347330	348878	+
GCF_000730255.1	416021	417569	+
GCF_000831105.1	18026	19574	+
GCF_000831105.1	23858	25406	+
GCF_000831105.1	96072	97620	+
GCF_000831105.1	177712	179260	+
GCF_000831105.1	281229	282777	+
GCF_000831105.1	374984	376532	+
GCF_000831105.1	449560	451108	+
GCF_000831125.1	18026	19574	+
GCF_000831125.1	23858	25406	+
GCF_000831125.1	96072	97620	+
GCF_000831125.1	176160	177708	+
GCF_000831125.1	264285	265833	+
GCF_000831125.1	358041	359589	+
GCF_000831125.1	433724	435272	+
GCF_001026925.1	16399	17947	+
GCF_001026925.1	22233	23781	+
GCF_001026925.1	91013	92561	+
GCF_001026925.1	165036	166584	+
GCF_001026925.1	260640	262188	+
GCF_001026925.1	357981	359529	+
GCF_001026925.1	427139	428687	+
GCF_001190805.1	16393	17941	+
GCF_001190805.1	22225	23773	+
GCF_001190805.1	90914	92462	+
GCF_001190805.1	178872	180420	+
GCF_001190805.1	262513	264061	+
GCF_001190805.1	361416	362964	+
GCF_001190805.1	430559	432107	+
GCF_001190825.1	16393	17941	+
GCF_001190825.1	85082	86630	+
GCF_001190825.1	173177	174725	+
GCF_001190825.1	256818	258366	+
GCF_001190825.1	355720	357268	+
GCF_001190825.1	424862	426410	+
GCF_001190845.1	16393	17941	+
GCF_001190845.1	90915	92463	+
GCF_001190845.1	178638	180186	+
GCF_001190845.1	262279	263827	+
GCF_001190845.1	361182	362730	+
GCF_001190845.1	430323	431871	+
GCF_001190885.1	16402	17950	+
GCF_001190885.1	22233	23781	+
GCF_001190885.1	91210	92758	+
GCF_001190885.1	165245	166793	+
GCF_001190885.1	248897	250445	+
GCF_001190885.1	352464	354012	+
GCF_001190885.1	421607	423155	+
