assembly_accession	seq_id	origin	terminus	repl_1_mean	repl_2_mean	c_skew_min	c_skew_max	length
GCF_001596055.1	NZ_CP014781.1	4245880	1962910	0.0671614485913644	-0.0649758608649073	-1606.816937946277	13289.23953109022	4252398
GCF_001726125.1	NZ_CP017247.1	630	2159310	0.070005517006998	-0.0636705866977506	0.0007678187002962	15111.964053688627	4422181
GCF_001914255.1	NZ_CM007615.1	4234540	2071520	0.0634218284744105	-0.0636514288073863	-645.2537514565837	13122.690577565005	4246687
GCF_002074075.1	NZ_CP014795.1	2395190	222850	0.0702463189239951	-0.0638112544364909	-11879.32559816201	1982.6657932548835	4300706
GCF_002074095.1	NZ_CP014842.1	113960	2282770	0.0636321790297031	-0.0697846671343629	-1178.1667644946872	12622.574983441751	4136986
GCF_002074115.1	NZ_CP014793.1	2804030	556490	0.0707220081651642	-0.0645492276743225	-9969.76191832025	4537.945249661513	4475542
GCF_002074135.1	NZ_CP014794.1	3760060	1510070	0.0693185537756582	-0.0633486936565959	-3870.466092655885	10382.947479525805	4405338
GCF_002173675.1	NZ_CP021669.1	3597770	1350030	0.0675596226653566	-0.06343509831255	-5349.248457162289	8909.330710224462	4544416
GCF_002174255.1	NZ_CP021677.1	630	2076520	0.0693365229275281	-0.0633380749730625	-0.1638240209870419	14393.353209001532	4326347
GCF_002236895.1	NZ_CP022477.1	1190	2260230	0.0654092986971054	-0.0693844496004583	-2.917409795751915	14773.320617800744	4287720
GCF_002504325.1	NZ_CP023729.1	4253310	2000290	0.0679433778286575	-0.0638384691922852	-744.864384547469	13703.01000999378	4260287
GCF_002966955.1	NZ_CP026673.1	2446940	239210	0.0702212111614251	-0.0640472803825519	-11930.530203236956	2209.3877893014605	4332232
GCF_003253815.1	NZ_CP021970.1	800	2027730	0.0685745755830133	-0.0636680499764059	-0.1638240209870425	13899.875719474412	4208157
GCF_003339545.1	NZ_CP031126.1	630	2155520	0.069336352298116	-0.0633410211599033	-0.163824020987044	14941.069708506118	4405373
GCF_003595625.1	NZ_CP027789.1	4356490	2023440	0.0683383936428429	-0.0653702301771267	-1348.985455923194	13997.870092973557	4367367
GCF_003952865.1	NZ_CP025226.1	3884360	1856880	0.0640336103300902	-0.0685647632986553	-1984.3362412220088	11917.037654960131	4193958
GCF_004101525.1	NZ_CP035188.1	630	2047790	0.0695596399279687	-0.0635959870684361	-0.1638240209870421	14301.39711797974	4231149
GCF_004103575.1	NZ_CP035228.1	4414150	2101260	0.0707203021558632	-0.0655330739345309	-249.3808833919432	14971.278871015598	4420863
GCF_004119755.1	NZ_CP035404.1	630	2151960	0.0703302131167488	-0.0634383127243568	0.0007678187002991	15130.370761873428	4419047
GCF_004119795.1	NZ_CP035405.1	4291210	2053220	0.068943456046623	-0.065760147443184	-513.1865359994865	14268.261579721957	4298206
GCF_004526275.1	NZ_CP038186.1	202910	2190480	0.0681381586729738	-0.0649210081559583	-1437.232629736212	12105.718987051929	4230480
GCF_006094335.1	NZ_CP034569.1	630	2047700	0.0696860196503439	-0.0646886041369817	-0.1568963447579683	14265.074383128294	4239205
GCF_006494795.1	NZ_CP041154.1	30	2127050	0.0707622561937843	-0.0636224464783564	-0.0095238095238095	15051.28042715944	4280457
GCF_007855455.1	NZ_CP042252.1	1589510	3608830	0.0702193040552085	-0.064312553695232	-10319.769684644534	3859.7678852324734	4201713
GCF_014673515.1	NZ_CP060498.1	640	2031600	0.0682360549873334	-0.0631955235765517	-0.3376543704244738	13858.145232739153	4222597
GCF_015689075.1	NZ_CP065029.1	630	2087770	0.0697270710439605	-0.0642054229249557	-0.1638240209870424	14552.875103378456	4268296
GCF_016126875.1	NZ_CP065943.1	630	2007280	0.0691543168956243	-0.0636282807256768	-0.1638240209870411	13876.699755441032	4180526
GCF_017338795.1	NZ_CP049330.1	4310210	2044190	0.0685653745844015	-0.0653988354376634	-757.5027997044695	14125.4525459507	4316909
GCF_902386215.1	NZ_LR698983.1	800	2027730	0.0685745755830133	-0.0636680499764059	-0.1638240209870425	13899.875719474412	4208157
GCF_000008425.1	NC_006322.1	4215960	2031450	0.0689503356299726	-0.0646237150858516	-64.07147813188922	14116.779354723238	4222645
GCF_000011645.1	NC_006270.3	640	2031600	0.0694990624715485	-0.0645962810483989	-42.1977479701813	14114.65700075348	4222597
GCF_000258125.2	NZ_CP012110.1	4280330	2033850	0.0686985587297749	-0.0656873078811497	-739.6119104548773	14079.538001883286	4286821
