assembly_accession	seq_id	origin	terminus	repl_1_mean	repl_2_mean	c_skew_min	c_skew_max	length
GCF_000746665.1	NZ_CP009261.1	350	1738440	0.0590061079290605	-0.0607524314240215	-0.9659416371268972	10254.831329849998	3315989
GCF_001433435.1	NZ_CP009984.1	300	1563900	0.0704683323722429	-0.058811321686518	-0.6788053703539492	11017.754367532429	3222762
GCF_001558515.2	NZ_CP014049.2	2834210	1173550	0.0598033052330661	-0.0721113903135346	-5060.702777924807	6914.560400456162	3236438
GCF_001653775.1	NZ_CP011775.1	3225550	1567650	0.0591473270957115	-0.0701250085952784	-2336.000253391038	9290.033487912871	3234424
GCF_001675245.1	NZ_CP012739.1	300	1652940	0.0710400574501207	-0.0591927484802075	-0.5852571916510924	11739.783595111565	3253417
GCF_002204915.1	NZ_CP016321.1	3216990	1580120	0.0605742758045041	-0.0684232441385408	-1613.4416891460658	9586.623283603756	3224939
GCF_002215135.1	NZ_CP014636.1	1200	1680540	0.0662342717282535	-0.0572287049817594	0.1923076923076923	11135.899058552235	3394464
GCF_002850455.1	NZ_CP019320.1	322510	1975280	0.0604585526442128	-0.0714782080978862	-1980.570355624037	8011.844301426386	3303590
GCF_002863725.1	NZ_CP019121.1	3302220	1628330	0.0572588577371663	-0.070758321582567	-2502.445208112188	9341.736380159764	3311092
GCF_003522555.1	NZ_CP019290.1	5180	1628420	0.0690419649996203	-0.0575673523340062	0.0276679841897232	11237.69096146856	3264901
GCF_004319645.1	NZ_CP027030.1	540	1600540	0.0676943915576198	-0.0577569245066554	-1.0984619031557712	10830.016837060772	3217678
GCF_004355205.1	NZ_CP037931.1	3248110	1610000	0.0576431725057132	-0.0690298745036611	-1909.160834861215	9398.709071523175	3336880
GCF_009665455.1	NZ_CP035784.1	1854510	161550	0.0592232331539318	-0.0710062930680199	-11174.286666882788	846.7989983540297	3317415
GCF_009665475.1	NZ_CP035731.1	1917730	213700	0.0570628873222102	-0.070912235914374	-10953.365914921467	1130.7838987471323	3294783
GCF_009764095.1	NZ_CP046832.1	35680	1596640	0.0654396715802343	-0.0581484588565481	-168.8711134765497	10046.012600615211	3225605
GCF_009764115.1	NZ_CP046835.1	2898940	1103440	0.0615678518581595	-0.0708818967580574	-6053.477666172472	6673.381815387155	3472667
GCF_012275045.1	NZ_CP051117.1	1727950	1690	0.0164122065782508	-0.0632831744886877	-10942.494752324485	-0.0833333333333334	3307658
GCF_014107515.1	NZ_CP044206.1	746240	2494660	0.0668936025888757	-0.058530335408001	-4845.093419626135	6850.732829178267	3400045
GCF_014211935.1	NZ_CP060047.1	1746600	172000	0.0588022848087833	-0.0698076177838505	-10103.772515284889	888.1539999256854	3260230
GCF_000009745.1	NC_005139.1	3353150	1743360	0.0602112986943061	-0.0684781485441218	-518.3581686907036	10505.19944462679	3354505
GCF_000039765.1	NC_004459.3	1014170	2640030	0.068339413701023	-0.0581220282357102	-6198.87220709232	4912.170442654748	3281866
GCF_000342305.2	NZ_CM001799.1	859560	2532140	0.054576378973978	-0.0572212174908855	-5214.439829612176	3913.9565655026936	3205805
GCF_000186585.1	NC_014965.1	1490	1608690	0.0677513877624189	-0.0571225019502598	-0.5896525826764509	10888.419861208124	3194232
GCF_002224265.1	NZ_CP012881.1	1494150	3133390	0.0692655124625597	-0.0614414029792645	-9229.212155262729	2125.0740899803936	3266118
GCF_003047125.1	NZ_CP017635.1	2445060	851340	0.0708186109775898	-0.0599048790374462	-3111.750374938315	6435.431467338424	3241343
