assembly_accession	start	end	orientation
GCF_001047225.1	902504	904044	-
GCF_001047225.1	1044935	1046475	-
GCF_001047225.1	1462808	1464348	-
GCF_001047225.1	1684926	1686466	-
GCF_001047255.1	664335	665875	-
GCF_001047255.1	808156	809696	-
GCF_001047255.1	1225125	1226665	-
GCF_001047255.1	1448770	1450310	-
GCF_001047275.1	281955	283495	-
GCF_001047275.1	663658	665198	-
GCF_001047275.1	745048	746588	-
GCF_001047275.1	972875	974415	+
GCF_001661085.1	1164986	1166526	-
GCF_001661085.1	1307709	1309249	-
GCF_001661085.1	1724461	1726001	-
GCF_001661085.1	1947289	1948829	-
GCF_001661115.1	215099	216639	+
GCF_001661115.1	1307570	1309110	-
GCF_001661115.1	1724902	1726442	-
GCF_001661115.1	1950883	1952423	+
GCF_001661135.1	1194005	1195545	-
GCF_001661135.1	1329310	1330850	-
GCF_001661135.1	1722394	1723934	-
GCF_001661135.1	1944815	1946355	-
GCF_002073535.2	156793	158333	+
GCF_002073535.2	546032	547572	+
GCF_002073535.2	681861	683401	+
GCF_002073535.2	2146550	2148090	+
GCF_002073615.2	73431	74971	-
GCF_002073615.2	154827	156367	-
GCF_002073615.2	383757	385297	+
GCF_002073615.2	1928498	1930038	-
GCF_002073655.2	292016	293556	+
GCF_002073655.2	514558	516098	+
GCF_002073655.2	679381	680921	+
GCF_002073655.2	1050364	1051904	+
GCF_003571445.1	216029	217576	+
GCF_003571445.1	1308560	1310107	-
GCF_003571445.1	1725929	1727476	-
GCF_003571445.1	1952066	1953613	+
GCF_003855175.1	1163854	1165394	-
GCF_003855175.1	1306761	1308301	-
GCF_003855175.1	1720340	1721880	-
GCF_003855175.1	1942496	1944036	-
GCF_003855195.1	1164199	1165739	-
GCF_003855195.1	1306990	1308530	-
GCF_003855195.1	1724465	1726005	-
GCF_003855195.1	1947267	1948807	-
GCF_003855235.1	1163854	1165394	-
GCF_003855235.1	1306759	1308299	-
GCF_003855235.1	1720298	1721838	-
GCF_003855235.1	1942581	1944121	-
GCF_003855295.1	1168500	1170040	-
GCF_003855295.1	1311435	1312975	-
GCF_003855295.1	1729009	1730549	-
GCF_003855295.1	1951339	1952879	-
GCF_003855355.1	1168927	1170467	-
GCF_003855355.1	1311862	1313402	-
GCF_003855355.1	1729513	1731053	-
GCF_003855355.1	1951879	1953419	-
GCF_003855375.1	1261931	1263471	-
GCF_003855375.1	1644036	1645576	-
GCF_003855375.1	1725228	1726768	-
GCF_003855375.1	1951191	1952731	+
GCF_003855415.1	1164588	1166128	-
GCF_003855415.1	1307495	1309035	-
GCF_003855415.1	1721022	1722562	-
GCF_003855415.1	1943039	1944579	-
GCF_003855435.1	1203368	1204908	-
GCF_003855435.1	1307714	1309254	-
GCF_003855435.1	1721805	1723345	-
GCF_003855435.1	1944178	1945718	-
GCF_004001105.1	1156339	1157879	-
GCF_004001105.1	1299807	1301347	-
GCF_004001105.1	1713094	1714634	-
GCF_004001105.1	1940004	1941544	-
GCF_004001165.1	1156363	1157903	-
GCF_004001165.1	1299806	1301346	-
GCF_004001165.1	1713103	1714643	-
GCF_004001165.1	1936617	1938157	-
GCF_004001185.1	1156321	1157861	-
GCF_004001185.1	1299674	1301214	-
GCF_004001185.1	1712973	1714513	-
GCF_004001185.1	1939883	1941423	-
GCF_004332535.2	1166379	1167923	-
GCF_004332535.2	1309117	1310662	-
GCF_004332535.2	1725737	1727283	-
GCF_004332535.2	1948594	1950139	-
GCF_004332555.2	1165516	1167058	-
GCF_004332555.2	1308275	1309816	-
GCF_004332555.2	1724375	1725920	-
GCF_004332555.2	1947297	1948843	-
GCF_007107165.1	18033	19580	+
GCF_007107165.1	241552	243099	+
GCF_007107165.1	654643	656190	+
GCF_007107165.1	798075	799622	+
GCF_007107365.1	1127905	1129445	-
GCF_007107365.1	1271340	1272880	-
GCF_007107365.1	1684400	1685940	-
GCF_007107365.1	1907918	1909458	-
GCF_008065015.2	1155759	1157299	-
GCF_008065015.2	1299216	1300756	-
GCF_008065015.2	1712760	1714300	-
GCF_008065015.2	1936120	1937660	-
GCF_011058635.1	1185314	1186854	-
GCF_011058635.1	1328187	1329727	-
GCF_011058635.1	1744698	1746238	-
GCF_011058635.1	1964315	1965855	-
