assembly_accession	start	end	orientation
GCF_001281065.1	703619	705154	+
GCF_001281065.1	709421	710956	+
GCF_001281065.1	1601974	1603509	-
GCF_001281065.1	1607776	1609311	-
GCF_001281065.1	1840730	1842265	-
GCF_001281065.1	1846532	1848067	-
GCF_001469555.1	607201	608725	+
GCF_001469555.1	1506433	1507957	-
GCF_001469555.1	1790634	1792158	-
GCF_001469565.1	622826	624350	+
GCF_001469565.1	1499986	1501510	-
GCF_001469565.1	1752620	1754144	-
GCF_001469595.1	605820	607344	+
GCF_001469595.1	1523948	1525472	-
GCF_001469595.1	1800293	1801817	-
GCF_001469615.1	621455	622979	+
GCF_001469615.1	1523636	1525160	-
GCF_001469615.1	1776294	1777818	-
GCF_001469635.1	597744	599268	+
GCF_001469635.1	1500543	1502067	-
GCF_001469655.1	597698	599222	+
GCF_001469655.1	1500282	1501806	-
GCF_001469655.1	1752942	1754466	-
GCF_001481615.1	573882	575406	+
GCF_001481615.1	1441886	1443410	-
GCF_001481615.1	1668985	1670509	-
GCF_003030305.1	597521	599045	+
GCF_003030305.1	1500114	1501638	-
GCF_003030305.1	1752808	1754332	-
GCF_003390995.1	53606	55130	+
GCF_003390995.1	971329	972853	-
GCF_003390995.1	2337579	2339103	+
GCF_003798465.1	1055608	1057143	+
GCF_003798465.1	1308037	1309572	+
GCF_003798465.1	2185219	2186754	-
GCF_003812785.1	25446	26970	+
GCF_003812785.1	927680	929204	-
GCF_003812785.1	2267329	2268852	+
GCF_008728435.1	597520	599044	+
GCF_008728435.1	1499758	1501282	-
GCF_008728435.1	1752452	1753976	-
GCF_011399315.1	597647	599171	+
GCF_011399315.1	1500239	1501761	-
GCF_011399315.1	1752673	1754197	-
GCF_011399455.1	597650	599173	+
GCF_011399455.1	1500241	1501765	-
GCF_011399455.1	1752672	1754196	-
GCF_000008345.1	606156	607680	+
GCF_000008345.1	1523846	1525370	-
GCF_000008345.1	1800215	1801739	-
GCF_004136215.1	605910	607445	+
GCF_004136215.1	1523963	1525498	-
GCF_004136215.1	1800328	1801863	-
GCF_000025765.1	624161	625685	+
GCF_000025765.1	1501349	1502873	-
GCF_000025765.1	1753778	1755302	-
GCF_000213155.1	597599	599122	+
GCF_000213155.1	1500139	1501663	-
GCF_000213155.1	1752801	1754325	-
GCF_000217615.1	606156	607680	+
GCF_000217615.1	1523846	1525370	-
GCF_000217615.1	1800211	1801735	-
GCF_000240015.1	588267	589791	+
GCF_000240015.1	1490692	1492216	-
GCF_000240015.1	1743342	1744866	-
GCF_000240035.1	596837	598361	+
GCF_000240035.1	1499235	1500759	-
GCF_000240035.1	1751893	1753417	-
GCF_000240055.1	597471	598995	+
GCF_000240055.1	1499786	1501310	-
GCF_000240055.1	1752441	1753965	-
GCF_004136195.1	597517	599052	+
GCF_004136195.1	1500104	1501639	-
GCF_004136195.1	1752798	1754333	-
GCF_000302515.1	605775	607299	+
GCF_000302515.1	1530723	1532247	-
GCF_000302515.1	1773264	1774788	-
GCF_000709495.1	597536	599059	+
GCF_000709495.1	1500076	1501599	-
GCF_000709495.1	1752736	1754259	-
GCF_006739385.1	597526	599050	+
GCF_006739385.1	1500119	1501643	-
GCF_006739385.1	1752756	1754280	-
