assembly_accession	seq_id	origin	terminus	repl_1_mean	repl_2_mean	c_skew_min	c_skew_max	length
GCF_003945765.1	NZ_CP027712.1	6797350	3489360	0.0339244918112009	-0.0374308997470837	-535.8731032046287	11846.236622483657	6808187
GCF_000761195.1	NZ_CP009290.1	25300	3334440	0.0372480792288657	-0.0335394661579399	-48.12992994428515	12277.850871966912	6702062
GCF_002355875.1	NZ_AP014623.1	6776800	3314630	0.0329127243786579	-0.038268719536894	-2307.2251429606445	10942.06390998371	6997933
GCF_003851165.1	NZ_CP027715.1	6689390	3343180	0.0334139501540439	-0.0380053008175865	-1481.6886852603027	11235.692434924884	6730980
GCF_003851205.1	NZ_CP027741.1	6932140	3517700	0.0349291968444837	-0.0377086060747983	-550.8534845942319	12324.559724182334	6962068
GCF_003851225.1	NZ_CP027743.1	6895060	3415850	0.0337789328474513	-0.0370792053899314	-1328.180846167734	11572.458253510453	6925198
GCF_003851265.1	NZ_CP027744.1	6776880	3356220	0.0337112360622856	-0.0368784312302321	-1266.77304198503	11348.47467081012	6807002
GCF_003851305.1	NZ_CP027717.1	6824570	3369460	0.0339636394964516	-0.0373400114234441	-1422.6575042331997	11478.732875017302	6854483
GCF_003851345.1	NZ_CP027718.1	6898490	3453460	0.0344628289853247	-0.0376563256775169	-1030.8563549553728	11941.871391285078	6928549
GCF_003851805.1	NZ_CP027742.1	6934400	3519540	0.0349667428885019	-0.037710133793213	-532.8036371941236	12344.705370509531	6964452
GCF_003851835.1	NZ_CP027746.1	7079950	3387160	0.0337571240509422	-0.0371338999862096	-2241.637524003494	11475.832798339236	7109779
GCF_009362955.1	NZ_CP045221.1	5915540	2655760	0.0330729090178495	-0.0389067183640278	-3570.1433013086507	9112.598516114422	6615046
GCF_010092525.1	NZ_CP048051.1	6831400	3439790	0.0342364937670475	-0.036618086650667	-604.8228715398119	11814.610899386293	6861331
GCF_012029635.1	NZ_CP050510.1	7080030	3385770	0.0335521647977958	-0.0364232477394678	-2059.2524957630594	11396.45049291389	7109866
