assembly_accession	start	end	orientation
GCF_001610735.1	419036	420579	+
GCF_001610735.1	664225	665770	+
GCF_001610735.1	3339011	3340555	-
GCF_001652645.1	366755	368298	+
GCF_001652645.1	613813	615356	+
GCF_001652645.1	3148517	3150060	-
GCF_001652665.1	366754	368297	+
GCF_001652665.1	613812	615355	+
GCF_001652665.1	3149047	3150590	-
GCF_001652685.1	366755	368298	+
GCF_001652685.1	613813	615356	+
GCF_001652685.1	3157571	3159114	-
GCF_001677075.2	433269	434812	+
GCF_001677075.2	675817	677360	+
GCF_001677075.2	3172592	3174135	-
GCF_001677115.2	421665	423208	+
GCF_001677115.2	666851	668394	+
GCF_001677115.2	3240945	3242488	-
GCF_001752705.1	359860	361402	+
GCF_001752705.1	608224	609767	+
GCF_001752705.1	3117942	3119485	-
GCF_001752725.1	359410	360953	+
GCF_001752725.1	607770	609313	+
GCF_001752725.1	3104106	3105649	-
GCF_001752745.1	397751	399294	+
GCF_001752745.1	646111	647654	+
GCF_001752745.1	3149459	3151002	-
GCF_001752765.1	359861	361404	+
GCF_001752765.1	608221	609764	+
GCF_001752765.1	3110937	3112480	-
GCF_001752785.1	397751	399294	+
GCF_001752785.1	646111	647654	+
GCF_001752785.1	3149460	3151003	-
GCF_001752805.1	359862	361405	+
GCF_001752805.1	608222	609764	+
GCF_001752805.1	3111564	3113107	-
GCF_001752825.1	397751	399294	+
GCF_001752825.1	646111	647654	+
GCF_001752825.1	3149460	3151003	-
GCF_001752845.1	359861	361404	+
GCF_001752845.1	608221	609764	+
GCF_001752845.1	3159699	3161242	-
GCF_001752865.1	359862	361404	+
GCF_001752865.1	608220	609763	+
GCF_001752865.1	3119585	3121128	-
GCF_001752885.1	395342	396884	+
GCF_001752885.1	643700	645242	+
GCF_001752885.1	3154201	3155744	-
GCF_001752905.1	359861	361404	+
GCF_001752905.1	608221	609764	+
GCF_001752905.1	3111742	3113285	-
GCF_001752925.1	359861	361404	+
GCF_001752925.1	608227	609770	+
GCF_001752925.1	3122102	3123645	-
GCF_001752945.1	359861	361404	+
GCF_001752945.1	608221	609764	+
GCF_001752945.1	3119654	3121197	-
GCF_001752965.1	359861	361404	+
GCF_001752965.1	608226	609768	+
