assembly_accession	seq_id	origin	terminus	repl_1_mean	repl_2_mean	c_skew_min	c_skew_max	length
GCF_001610735.1	NZ_CP011105.1	2750	1691070	0.0692646602636623	-0.0581002641606635	0.0173410404624277	11718.900418008292	3641882
GCF_001652645.1	NZ_CP015342.1	60	1667530	0.0724001692619738	-0.065030821631207	-0.0088309938777225	12072.505058262555	3435648
GCF_001652665.1	NZ_CP015343.1	50	1668000	0.07243624637878	-0.0650289811892944	-0.0088309938777223	12082.041093397864	3436178
GCF_001652685.1	NZ_CP015344.1	50	1668070	0.0724378389743422	-0.0649301082341905	-0.0088309938777219	12082.779459943473	3444702
GCF_001677075.2	NZ_CP016030.2	3485600	1646800	0.0707385232293103	-0.0653624149175086	-368.2174560598745	11650.636036378535	3486107
GCF_001677115.2	NZ_CP016029.2	2610	1706670	0.069736530890656	-0.0617821352118052	0.0612244897959184	11907.669466376592	3545003
GCF_001752705.1	NZ_CP015925.1	50	1651230	0.0725611477151666	-0.0635587988310951	-0.0088309938777218	11981.187158534927	3415559
GCF_001752725.1	NZ_CP015926.1	2720	1646110	0.0722863041835179	-0.0655874291487224	0.0920245398773007	11904.553933908835	3402046
GCF_001752745.1	NZ_CP015927.1	50	1737350	0.0680850416608361	-0.0658897670296792	-0.0088309938777228	11828.417266873174	3447085
GCF_001752765.1	NZ_CP015928.1	50	1699450	0.0709598368115721	-0.0659845776129998	-0.0088309938777219	12058.917646894715	3408562
GCF_001752785.1	NZ_CP015929.1	50	1737350	0.0680836360593063	-0.0658923759955194	-0.0088309938777229	11828.173071719424	3447085
GCF_001752805.1	NZ_CP015930.1	50	1699450	0.0709558344110786	-0.0658751548177439	-0.0088309938777224	12058.240295812058	3409009
GCF_001752825.1	NZ_CP015931.1	60	1737350	0.0680829623470999	-0.0658869458308431	-0.008830993877723	11827.978935726424	3447086
GCF_001752845.1	NZ_CP015932.1	60	1664850	0.0715233106568338	-0.0651367904049341	-0.0088309938777233	11907.150097634318	3457332
GCF_001752865.1	NZ_CP015933.1	50	1652760	0.0727197442313568	-0.0639418132626048	-0.0088309938777222	12018.46782799667	3404162
GCF_001752885.1	NZ_CP015934.1	50	1687310	0.0707939451599302	-0.0633874560730225	-0.0088309938777224	11944.78217019053	3453407
GCF_001752905.1	NZ_CP015935.1	50	1645030	0.072301139091348	-0.0635475431159108	-0.0088309938777222	11893.42834835034	3409361
GCF_001752925.1	NZ_CP015936.1	60	1653910	0.0724829293418668	-0.0634891969664348	-0.0088309938777228	11987.586056189231	3419720
GCF_001752945.1	NZ_CP015937.1	60	1652760	0.072728323266508	-0.0639149538949479	-0.0088309938777231	12019.803956382822	3404196
GCF_001752965.1	NZ_CP015938.1	50	1650950	0.0724900359016686	-0.0661243943200906	-0.0088309938777223	11967.383006142938	3359444
GCF_001753065.1	NZ_CP015939.1	60	1655480	0.0723085619867568	-0.0635492843725819	-0.0088309938777231	11970.097938538787	3420000
GCF_001753085.1	NZ_CP015941.1	50	1653360	0.0727990669901954	-0.0665211450535047	-0.0088309938777219	12035.948340549745	3397139
GCF_001753105.1	NZ_CP015944.1	50	1659830	0.0726151631746422	-0.0661252793758363	-0.0088309938777227	12052.525349394258	3368319
GCF_001753125.1	NZ_CP015945.1	50	1650770	0.0724297201081649	-0.0633880610463185	-0.0088309938777233	11956.121736831234	3416875
GCF_001753145.1	NZ_CP015946.1	10	1701680	0.070993552102217	-0.0658990635553596	-0.0088309938777231	12080.855415020256	3411341
GCF_001753265.1	NZ_CP015947.1	60	1649120	0.0722924907486442	-0.0647232519496893	-0.0088309938777228	11921.486342191392	3336955
GCF_001753285.1	NZ_CP015949.1	50	1655560	0.0723151998994919	-0.0624970042195882	-0.0088309938777227	11971.856637696828	3465352
GCF_001753305.1	NZ_CP015950.1	50	1653860	0.0727417628892051	-0.0635939464799034	-0.0088309938777229	12030.11128437322	3416758
GCF_001753325.1	NZ_CP015951.1	60	1655480	0.0720382037099936	-0.06356298784499	-0.0088309938777234	11925.374879905645	3419817
GCF_001753345.1	NZ_CP015953.1	50	1651680	0.0727129902708101	-0.0639516671848227	-0.0088309938777226	12009.501408091415	3405173
GCF_001753365.1	NZ_CP015954.1	60	1659890	0.0726338977222171	-0.0633884470867666	-0.0088309938777232	12055.98903261095	3425999
GCF_001753385.1	NZ_CP015955.1	60	1689460	0.0708536994432858	-0.0633905476195798	-0.0088309938777233	11970.023603659703	3455562
GCF_001753405.1	NZ_CP015956.1	2810	1658430	0.0729840708157412	-0.0658530362366548	0.1111111111111111	12112.4243861731	3367205
GCF_001941585.1	NZ_CP013742.1	50	1699630	0.0709478590938021	-0.0660298511651509	-0.0088309938777224	12058.191806219438	3409143
GCF_001969405.1	NZ_CP014760.1	50	1669800	0.0722993182931795	-0.0651430706880426	-0.0088309938777224	12072.181731863777	3439440
GCF_001989475.1	NZ_CP014759.1	60	1669800	0.0722958098947653	-0.0651446959032803	-0.0088309938777228	12071.514612219817	3439438
GCF_002813715.1	NZ_CP017601.1	2600	1631480	0.0733663372307348	-0.0633958763994589	0.1063829787234043	11985.077430651983	3459119
GCF_002813735.1	NZ_CP017602.1	2600	1634280	0.0735426529727763	-0.0634707806479854	0.1063829787234043	12027.126562628386	3460779
GCF_003003515.1	NZ_CP021256.1	3653910	1753550	0.0667767596994582	-0.0643785701027317	-476.8253875893308	11799.479319719589	3661362
GCF_003003535.1	NZ_CP021260.1	2540	1676220	0.0705348274483162	-0.0612539036209919	0.1243243243243243	11827.445141127904	3581477
GCF_003003555.1	NZ_CP021261.1	3545780	1640990	0.0709811958884024	-0.0614825368707147	-61.95820587187555	11649.238625367409	3546234
GCF_003004065.1	NZ_CP021259.1	2840	1724350	0.0727961887070551	-0.0674411590952086	0.1170212765957447	12552.369704555082	3412234
GCF_003004195.1	NZ_CP021272.1	2540	1679270	0.0706497391123555	-0.0618470002275966	0.1182795698924731	11867.911014725143	3498323
GCF_003004235.1	NZ_CP021274.1	2590	1678060	0.0708035514316743	-0.0618351018786491	0.1182795698924731	11884.799381275005	3503573
GCF_003004335.1	NZ_CP021270.1	2590	1635930	0.0737550301769378	-0.0648496297918504	0.1182795698924731	12068.652804320982	3363033
GCF_006364635.1	NZ_CP040987.1	2339050	629130	0.0709511007505672	-0.0658893283837365	-7558.751495868289	3707.806082669444	3409192
GCF_009664815.1	NZ_CP045974.1	2610	1663240	0.0719659693250776	-0.0654778722543621	0.0707070707070707	11977.946946245209	3453356
GCF_010669065.1	NZ_CP048618.1	2610	1707420	0.0700129431739726	-0.0658853356159536	0.0612244897959183	11959.46160298883	3405663
GCF_900119755.1	NZ_LT632615.1	2540	1653100	0.0703811616804552	-0.0607666316159132	0.0974358974358974	11641.184724361796	3509586
GCF_900119765.1	NZ_LT632614.1	2540	1706260	0.0692123902778527	-0.0624807587535485	0.0974358974358974	11816.714599035537	3530817
GCF_900119775.1	NZ_LT632616.1	2620	1655690	0.071867539494056	-0.0646540868855705	0.1065989847715736	11907.917403479694	3474638
GCF_900119785.1	NZ_LT632617.1	3257940	1494910	0.0699359779484754	-0.0664975655887453	-946.5203280170264	10777.235924412324	3430562
GCF_900186855.1	NZ_LT906476.1	2590	1649120	0.07283055288544	-0.065874939432463	0.0761421319796954	12017.968907758372	3426113
GCF_900475735.1	NZ_LS483410.1	2620	1649380	0.0725039806670662	-0.065572099226245	0.0646766169154228	11965.232022212109	3396440
GCF_900635115.1	NZ_LR133933.1	2610	1615220	0.0721191725472024	-0.0659135560935288	0.0707070707070707	11657.101840710651	3369585
GCF_900636955.1	NZ_LR134332.1	2610	1735080	0.068008077078396	-0.0656024546896219	0.0707070707070708	11809.257511815851	3445473
GCF_001590615.2	NZ_CP014255.2	2370	1679920	0.0714350139265855	-0.0665374882534417	0.090909090909091	12002.877705478417	3389966
GCF_001590645.1	NZ_CP014256.1	2370	1702440	0.0729975617604618	-0.065394137336772	0.0909090909090909	12429.393426435012	3458918
GCF_001590695.1	NZ_CP014257.1	2370	1676120	0.071336018611189	-0.0665934534933282	0.0909090909090908	11959.165876037385	3376636
GCF_003004115.1	NZ_CP021262.1	2370	1702440	0.0729984318512148	-0.0653990142767176	0.0909090909090909	12429.541347953666	3458918
GCF_900475745.1	NZ_LS483412.1	2370	1705000	0.072837559305866	-0.0654460007083607	0.0909090909090909	12429.289499090944	3458914
GCF_900637585.1	NZ_LR134380.1	2370	1702440	0.072997607562994	-0.0653995016825677	0.0909090909090909	12429.401213186036	3458917
GCF_000306845.1	NC_018140.1	110	1683910	0.0717688521528638	-0.0654952480390816	-0.4801830410182397	12084.00543597556	3492535
GCF_001766275.1	NZ_CP016868.1	2870890	1236690	0.0620010403090837	-0.0742777454563147	-5274.607696402688	6863.871175025191	3363654
GCF_001766295.1	NZ_CP016870.1	2471610	742170	0.0742709481084615	-0.0619922156480441	-5298.020404488021	5423.177786137352	3363616
GCF_001766315.1	NZ_CP016872.1	2236840	574850	0.0659160237615722	-0.072804405751695	-8108.543793590124	3991.886071786464	3362494
GCF_001766335.1	NZ_CP016873.1	1952230	248430	0.0726198074526513	-0.0656361813486893	-9594.959455867294	1613.3261160561035	3363998
GCF_001766355.1	NZ_CP016874.1	1840690	206490	0.0620021442441314	-0.074280792983969	-10799.75631714202	1339.2244721899222	3363658
GCF_001766375.1	NZ_CP016876.1	1446230	3107950	0.0728172563116016	-0.0659093664853219	-9466.890513995702	2633.3111885186927	3362463
