assembly_accession	start	end	orientation
GCF_001596055.1	9901	11450	+
GCF_001596055.1	34599	36148	+
GCF_001596055.1	95340	96889	+
GCF_001596055.1	101230	102779	+
GCF_001596055.1	164184	165733	+
GCF_001596055.1	612349	613898	+
GCF_001596055.1	917766	919315	+
GCF_001596055.1	3218507	3220057	-
GCF_001726125.1	9396	10945	+
GCF_001726125.1	34036	35585	+
GCF_001726125.1	94778	96327	+
GCF_001726125.1	100672	102221	+
GCF_001726125.1	163626	165176	+
GCF_001726125.1	627007	628556	+
GCF_001726125.1	968218	969768	+
GCF_001726125.1	3318618	3320167	-
GCF_001914255.1	4243895	4245228	+
GCF_002074075.1	1313233	1314782	-
GCF_002074075.1	2404453	2406002	+
GCF_002074075.1	2429151	2430700	+
GCF_002074075.1	2489892	2491441	+
GCF_002074075.1	2495784	2497333	+
GCF_002074075.1	2558739	2560288	+
GCF_002074075.1	3005674	3007224	+
GCF_002074075.1	3307891	3309441	+
GCF_002074095.1	11855	13404	-
GCF_002074095.1	17746	19295	-
GCF_002074095.1	78488	80037	-
GCF_002074095.1	103187	104736	-
GCF_002074095.1	1189630	1191179	+
GCF_002074095.1	3319361	3320911	-
GCF_002074095.1	3624108	3625657	-
GCF_002074095.1	4085887	4087436	-
GCF_002074115.1	1716538	1718087	-
GCF_002074115.1	2813289	2814838	+
GCF_002074115.1	2837988	2839537	+
GCF_002074115.1	2898730	2900279	+
GCF_002074115.1	2904623	2906172	+
GCF_002074115.1	2987576	2989125	+
GCF_002074115.1	3453897	3455446	+
GCF_002074115.1	3761768	3763317	+
GCF_002074135.1	318647	320196	+
GCF_002074135.1	2676306	2677856	-
GCF_002074135.1	3769320	3770869	+
GCF_002074135.1	3794017	3795566	+
GCF_002074135.1	3854758	3856307	+
GCF_002074135.1	3860651	3862200	+
GCF_002074135.1	3923606	3925156	+
GCF_002074135.1	4370000	4371549	+
GCF_002173675.1	163755	165302	+
GCF_002173675.1	2514708	2516258	-
GCF_002173675.1	3607007	3608556	+
GCF_002173675.1	3631704	3633253	+
GCF_002173675.1	3692443	3693992	+
GCF_002173675.1	3698336	3699885	+
GCF_002173675.1	3761291	3762841	+
GCF_002173675.1	4207665	4209214	+
GCF_002173675.1	4525508	4527057	+
GCF_002174255.1	9396	10945	+
GCF_002174255.1	34092	35641	+
GCF_002174255.1	94833	96382	+
GCF_002174255.1	100726	102275	+
GCF_002174255.1	163681	165231	+
GCF_002174255.1	610074	611623	+
GCF_002174255.1	964074	965623	+
GCF_002174255.1	3242733	3244283	-
GCF_002236895.1	1088889	1090439	+
GCF_002236895.1	3336230	3337780	-
GCF_002236895.1	3672580	3674130	-
GCF_002236895.1	4123847	4125397	-
GCF_002236895.1	4186803	4188352	-
GCF_002236895.1	4192696	4194245	-
GCF_002236895.1	4253438	4254987	-
GCF_002236895.1	4278136	4279685	-
GCF_002504325.1	9444	10992	+
GCF_002504325.1	34141	35689	+
GCF_002504325.1	94883	96431	+
GCF_002504325.1	100776	102323	+
GCF_002504325.1	163654	165201	+
GCF_002504325.1	607379	608927	+
GCF_002504325.1	917585	919134	+
GCF_002504325.1	3168192	3169741	-
GCF_002966955.1	1329215	1330764	-
GCF_002966955.1	2456197	2457746	+
GCF_002966955.1	2480894	2482443	+
GCF_002966955.1	2541634	2543183	+
GCF_002966955.1	2547525	2549074	+
GCF_002966955.1	2610479	2612028	+
GCF_002966955.1	3059074	3060623	+
GCF_002966955.1	3363891	3365441	+
GCF_003253815.1	9395	10944	+
GCF_003253815.1	34093	35642	+
GCF_003253815.1	94834	96383	+
GCF_003253815.1	100725	102274	+
GCF_003253815.1	163679	165228	+
GCF_003253815.1	613500	615049	+
GCF_003253815.1	917140	918690	+
GCF_003253815.1	3123218	3124768	-
GCF_003339545.1	9396	10945	+
GCF_003339545.1	34093	35642	+
GCF_003339545.1	94834	96383	+
GCF_003339545.1	100727	102276	+
GCF_003339545.1	163682	165232	+
GCF_003339545.1	610076	611625	+
GCF_003339545.1	964089	965638	+
GCF_003339545.1	3321754	3323304	-
GCF_003595625.1	9902	11451	+
GCF_003595625.1	34600	36149	+
GCF_003595625.1	95342	96891	+
GCF_003595625.1	158459	160008	+
GCF_003595625.1	604994	606543	+
GCF_003595625.1	908695	910245	+
GCF_003595625.1	3282791	3284340	-
GCF_003952865.1	759659	761209	+
GCF_003952865.1	2965734	2967284	-
GCF_003952865.1	3269456	3271005	-
GCF_003952865.1	3719277	3720826	-
GCF_003952865.1	3782231	3783780	-
GCF_003952865.1	3788122	3789671	-
GCF_003952865.1	3848863	3850412	-
GCF_003952865.1	3873561	3875110	-
GCF_004101525.1	9396	10945	+
GCF_004101525.1	34094	35643	+
GCF_004101525.1	94836	96385	+
GCF_004101525.1	100729	102278	+
GCF_004101525.1	163684	165233	+
GCF_004101525.1	616064	617613	+
GCF_004101525.1	983928	985478	+
GCF_004101525.1	3150544	3152093	-
GCF_004103575.1	9396	10945	+
GCF_004103575.1	34094	35643	+
GCF_004103575.1	94835	96384	+
GCF_004103575.1	100727	102276	+
GCF_004103575.1	163681	165230	+
GCF_004103575.1	635118	636667	+
GCF_004103575.1	975852	977401	+
GCF_004103575.1	3341717	3343267	-
GCF_004119755.1	9396	10945	+
GCF_004119755.1	34035	35584	+
GCF_004119755.1	94777	96326	+
GCF_004119755.1	100670	102219	+
GCF_004119755.1	163625	165174	+
GCF_004119755.1	651415	652964	+
GCF_004119755.1	958035	959585	+
GCF_004119755.1	3313691	3315240	-
GCF_004119795.1	9395	10944	+
GCF_004119795.1	34093	35642	+
GCF_004119795.1	94835	96384	+
GCF_004119795.1	100728	102277	+
GCF_004119795.1	163683	165232	+
GCF_004119795.1	608980	610529	+
GCF_004119795.1	910465	912015	+
GCF_004119795.1	3219543	3221092	-
GCF_004526275.1	212169	213718	+
GCF_004526275.1	236869	238418	+
GCF_004526275.1	297611	299160	+
GCF_004526275.1	303503	305051	+
GCF_004526275.1	366456	368006	+
GCF_004526275.1	814708	816257	+
GCF_004526275.1	1113166	1114716	+
GCF_004526275.1	3326376	3327925	-
GCF_006094335.1	9396	10945	+
GCF_006094335.1	34094	35643	+
GCF_006094335.1	94836	96386	+
GCF_006094335.1	100729	102278	+
GCF_006094335.1	163684	165234	+
GCF_006094335.1	628148	629697	+
GCF_006094335.1	937026	938576	+
GCF_006094335.1	3137859	3139409	-
GCF_006494795.1	9498	11047	+
GCF_006494795.1	34193	35733	+
GCF_006494795.1	94925	96471	+
GCF_006494795.1	100812	102360	+
GCF_006494795.1	163764	165307	+
GCF_006494795.1	610590	612137	+
GCF_006494795.1	912091	913640	+
GCF_006494795.1	3222340	3223886	-
GCF_007855455.1	499743	501291	-
GCF_007855455.1	1598770	1600318	+
GCF_007855455.1	1623470	1625018	+
GCF_007855455.1	1684212	1685760	+
GCF_007855455.1	1690105	1691653	+
GCF_007855455.1	1753060	1754608	+
GCF_007855455.1	2206957	2208505	+
GCF_007855455.1	2524336	2525885	+
GCF_014673515.1	9902	11451	+
GCF_014673515.1	34600	36149	+
GCF_014673515.1	95342	96892	+
GCF_014673515.1	158298	159848	+
GCF_014673515.1	611992	613541	+
GCF_014673515.1	920927	922477	+
GCF_014673515.1	3121757	3123307	-
GCF_015689075.1	9396	10945	+
GCF_015689075.1	34093	35643	+
GCF_015689075.1	94835	96384	+
GCF_015689075.1	100728	102277	+
GCF_015689075.1	163683	165232	+
GCF_015689075.1	606996	608545	+
GCF_015689075.1	935908	937457	+
GCF_015689075.1	3198574	3200124	-
GCF_016126875.1	9395	10944	+
GCF_016126875.1	34094	35643	+
GCF_016126875.1	94836	96385	+
GCF_016126875.1	100728	102277	+
GCF_016126875.1	163682	165231	+
GCF_016126875.1	612278	613827	+
GCF_016126875.1	917114	918664	+
GCF_016126875.1	3100276	3101825	-
GCF_017338795.1	9396	10945	+
GCF_017338795.1	35635	37184	+
GCF_017338795.1	96375	97924	+
GCF_017338795.1	102267	103816	+
GCF_017338795.1	165222	166771	+
GCF_017338795.1	614577	616126	+
GCF_017338795.1	916581	918131	+
GCF_017338795.1	3234274	3235824	-
GCF_902386215.1	9395	10944	+
GCF_902386215.1	34093	35642	+
GCF_902386215.1	94834	96383	+
GCF_902386215.1	100725	102274	+
GCF_902386215.1	163679	165228	+
GCF_902386215.1	613500	615049	+
GCF_902386215.1	917140	918690	+
GCF_902386215.1	3123218	3124768	-
GCF_000008425.1	9706	11255	+
GCF_000008425.1	34404	35953	+
GCF_000008425.1	95146	96696	+
GCF_000008425.1	158102	159652	+
GCF_000008425.1	611798	613347	+
GCF_000008425.1	920778	922328	+
GCF_000008425.1	3121609	3123159	-
GCF_000011645.1	9902	11451	+
GCF_000011645.1	34600	36149	+
GCF_000011645.1	95342	96892	+
GCF_000011645.1	158298	159848	+
GCF_000011645.1	611992	613541	+
GCF_000011645.1	920927	922477	+
GCF_000011645.1	3121757	3123307	-
GCF_000258125.2	9901	11450	+
GCF_000258125.2	34601	36150	+
GCF_000258125.2	95181	96730	+
GCF_000258125.2	101119	102668	+
GCF_000258125.2	164134	165683	+
GCF_000258125.2	608236	609785	+
GCF_000258125.2	952667	954217	+
GCF_000258125.2	3209162	3210711	-
