assembly_accession	start	end	orientation
GCF_000934325.3	1474710	1476241	+
GCF_001078615.1	1474377	1475908	+
GCF_001293105.1	1467109	1468651	+
GCF_001483905.1	1471549	1473080	+
GCF_002975475.1	1478532	1480072	+
GCF_005155785.1	1470300	1471840	+
GCF_008033095.1	1474293	1475833	+
GCF_000738445.1	1471816	1473347	+
GCF_000738475.1	1471861	1473392	+
GCF_000756525.1	1470739	1472270	+
GCF_000756545.1	1471269	1472800	+
GCF_000934585.1	1936525	1938056	+
GCF_001544705.1	1473136	1474667	+
GCF_001597645.2	1470858	1472389	+
GCF_001895765.1	1468537	1470068	+
GCF_001895785.1	1477630	1479161	+
GCF_001895805.1	1473059	1474590	+
GCF_001895825.1	1470058	1471589	+
GCF_001895845.1	1467546	1469077	+
GCF_001895865.1	1470287	1471818	+
GCF_001922485.1	1471864	1473395	+
GCF_001969025.1	1476919	1478450	+
GCF_001969035.1	1476913	1478444	+
GCF_002072775.2	1476490	1478021	+
GCF_002116755.1	1486703	1488234	+
GCF_002116775.1	1475363	1476894	+
GCF_002116835.1	1503962	1505493	+
GCF_002116855.1	1477002	1478533	+
GCF_002290145.1	1471855	1473386	+
GCF_002356015.1	1467235	1468766	+
GCF_002356255.1	1472665	1474196	+
GCF_002446875.1	1471701	1473232	+
GCF_002446895.1	1471724	1473255	+
GCF_002446915.1	1471732	1473263	+
GCF_002446935.1	1471632	1473163	+
GCF_002446955.1	1471789	1473320	+
GCF_002446975.1	1471635	1473166	+
GCF_002446995.1	1471652	1473183	+
GCF_002447015.1	1471796	1473327	+
GCF_002447035.1	1471738	1473269	+
GCF_002447055.1	1471737	1473268	+
GCF_002447075.1	1471701	1473232	+
GCF_002447095.1	1471694	1473225	+
GCF_002447115.1	1471619	1473150	+
GCF_002447135.1	1471666	1473197	+
GCF_002447155.1	1471668	1473199	+
GCF_002447175.1	1471588	1473119	+
GCF_002447195.1	1471704	1473235	+
GCF_002447215.1	1471737	1473268	+
GCF_002447235.1	1471787	1473318	+
GCF_002447255.1	1471717	1473248	+
GCF_002447275.1	1471794	1473325	+
GCF_002447295.1	1471770	1473301	+
GCF_002447315.1	1471690	1473221	+
GCF_002447335.1	1471763	1473294	+
GCF_002447355.1	1471793	1473324	+
GCF_002447375.1	1471793	1473324	+
GCF_002447395.1	1471712	1473243	+
GCF_002447415.1	1471784	1473315	+
GCF_002447435.1	1471748	1473279	+
GCF_002447455.1	1471817	1473348	+
GCF_002447475.1	1471793	1473324	+
GCF_002447495.1	1471711	1473242	+
GCF_002447515.1	1471816	1473347	+
GCF_002447535.1	1471720	1473251	+
GCF_002447555.1	1471623	1473154	+
GCF_002447575.1	1471761	1473292	+
GCF_002447595.1	1471746	1473277	+
GCF_002447615.1	1471736	1473267	+
GCF_002447635.1	1471723	1473254	+
GCF_002447655.1	1471777	1473308	+
GCF_002447675.1	1471769	1473300	+
GCF_002447695.1	1471771	1473302	+
GCF_002447715.1	1471813	1473344	+
GCF_002447735.1	1471811	1473342	+
GCF_002447755.1	1471815	1473346	+
GCF_002447775.1	1471795	1473326	+
GCF_002447795.1	1471796	1473327	+
GCF_002447815.1	1471701	1473232	+
GCF_002447835.1	1471718	1473249	+
GCF_002447855.1	1471715	1473246	+
GCF_002447875.1	1471766	1473297	+
GCF_002447895.1	1471716	1473247	+
GCF_002447915.1	1471800	1473331	+
GCF_002447935.1	1471705	1473236	+
GCF_002447955.1	1471659	1473190	+
GCF_002447975.1	1471831	1473362	+
GCF_002447995.1	1471727	1473258	+
GCF_002448015.1	1471787	1473318	+
GCF_002448035.1	1471714	1473245	+
GCF_002448055.1	1471716	1473247	+
GCF_002448075.1	1471727	1473258	+
GCF_002448095.1	1471698	1473229	+
GCF_002448115.1	1471757	1473288	+
GCF_002448135.1	1471828	1473359	+
GCF_002448155.1	1471814	1473345	+
GCF_002448175.1	1471695	1473226	+
GCF_002448195.1	1471706	1473237	+
GCF_002448215.1	1471792	1473323	+
GCF_002886145.1	1471833	1473364	+
GCF_002886165.1	1471784	1473315	+
GCF_002886195.1	1471822	1473353	+
GCF_002886225.1	1471794	1473334	+
GCF_002886335.1	1471841	1473372	+
GCF_002886405.1	1471744	1473275	+
GCF_002886505.1	1471780	1473311	+
GCF_002886585.1	1471819	1473350	+
GCF_002886685.1	1471830	1473361	+
GCF_002886775.1	1471813	1473344	+
GCF_002886865.1	1471828	1473359	+
GCF_002886945.1	1471749	1473280	+
GCF_002887065.1	1471804	1473335	+
GCF_002887145.1	1471797	1473328	+
GCF_002887255.1	1471792	1473323	+
GCF_002887335.1	1471801	1473332	+
GCF_003129545.1	1467052	1468592	+
GCF_003287145.1	2263135	2264675	+
GCF_003293655.1	1454558	1456089	+
GCF_007833935.1	1478197	1479737	+
GCF_009664875.1	1476139	1477670	+
GCF_009730215.1	125247	126778	+
GCF_009857015.1	1473430	1474961	+
GCF_012923765.1	1474404	1475935	+
GCF_013267635.1	2312383	2313923	+
GCF_014217175.1	1471666	1473206	+
GCF_014217195.1	1471672	1473212	+
