assembly_accession	seq_id	origin	terminus	repl_1_mean	repl_2_mean	c_skew_min	c_skew_max	length
GCF_000755825.1	NZ_CP009128.1	548820	2563070	0.0366377686415149	-0.0311583533134156	-1316.6484506913462	6063.122544380785	4058409
GCF_000756105.1	NZ_CP008764.1	2115450	106530	0.0305969400227871	-0.037602174006582	-7463.8414517299825	90.13884285263472	4099163
GCF_000756125.1	NZ_CP008781.1	1742870	3736430	0.0366501036655924	-0.028900292633357	-5245.395959020368	2061.0335561493853	3985223
GCF_000756145.1	NZ_CP008758.1	2990	1934100	0.0364088496425509	-0.0267125266496351	-5.634621005304563	7037.111412146506	3984293
GCF_000756165.1	NZ_CP008780.1	2331370	286540	0.0361764298998408	-0.0295668372504729	-4936.27307865178	1109.6487623479431	4019546
GCF_000757015.2	NZ_CP009585.1	591670	2564780	0.0367485765106578	-0.0296384416182271	-1375.75306838671	5875.151296398922	3976798
GCF_000763555.1	NZ_CP008916.1	4097860	2118130	0.0313123449815002	-0.037107760729627	-687.5553771984136	6658.78232929173	4125094
GCF_000770565.1	NZ_CP009157.1	3089840	1001450	0.0383686582528861	-0.0302578433678994	-2433.9450850990465	3885.146462972056	4228716
GCF_000953095.1	NZ_LK936442.1	4039100	2085760	0.029890347830666	-0.0366726719458118	-913.467531862158	6284.876147771704	4044293
GCF_000954175.1	NZ_CP010973.1	4001240	2017980	0.0288932306957233	-0.0371372093463225	-1519.682426151888	5879.830761072466	4006427
GCF_000959305.1	NZ_CP009545.1	2494150	565270	0.0293648141064071	-0.036417601539546	-5228.906863786301	1795.6806096005291	3915257
GCF_001277875.1	NZ_CP012515.1	4033270	2093910	0.0299694749731356	-0.0358814814767281	-667.6686526849462	6325.162545787959	4038504
GCF_001277895.1	NZ_CP012517.1	4033610	2094190	0.0299796667911451	-0.0358796997196536	-664.559537895611	6328.150842311142	4038845
GCF_001277975.1	NZ_CP012576.1	421460	2397190	0.0364586220367816	-0.0289785726490523	-887.1513037447351	6316.095387958141	4028032
GCF_001318245.1	NZ_CP012041.1	2814950	759160	0.0296350543531592	-0.0368638768927817	-4924.050192384375	2654.3933835729654	4112209
GCF_001885195.1	NZ_CP018054.1	91020	2037830	0.0370012734854456	-0.0293097577459507	-180.51975419341989	7029.055748004481	4090973
GCF_001887555.1	NZ_CP016909.1	86560	2069130	0.0376595655334332	-0.0302552815548062	-173.38560957159712	7292.891513622882	4054259
GCF_001887575.1	NZ_CP016911.1	86560	2069050	0.0376480600654128	-0.0302410043791229	-173.3856095715971	7290.3092895690015	4054192
GCF_001974745.1	NZ_MECZ01000001.1	1593260	3590450	0.036225959650129	-0.0299815676992957	-4963.16911779121	2271.852577652514	3991583
GCF_001975065.1	NZ_CP017044.1	1578070	3575190	0.0362245725784629	-0.0299417689534904	-4910.069679350752	2324.42413687038	3976360
GCF_001975085.1	NZ_CP017046.1	1652530	3651070	0.0369750830799945	-0.0291725809144876	-4982.563027874199	2413.22182198522	4050877
GCF_001975105.1	NZ_CP017048.1	1654060	3667870	0.0368860675564743	-0.0291750331073607	-4981.742662518709	2446.41974672199	4067698
GCF_001975125.1	NZ_CP017050.1	1606210	3650270	0.0379907812909364	-0.0297156788437184	-4989.733503123883	2777.6182430398167	4056633
GCF_001975145.1	NZ_CP017052.1	1606330	3651630	0.0379730828696773	-0.0297443293014457	-4989.647905059951	2776.992993786358	4056707
GCF_002110925.1	NZ_CP018376.1	1004220	2964180	0.0371259482004565	-0.0284393138912638	-2582.53223047913	4694.009744885978	4104121
GCF_002110965.1	NZ_CP018391.1	2910390	767650	0.0370482673295819	-0.0294448274353958	-3423.131146595428	2899.8350004366657	4224888
GCF_002110985.1	NZ_CP018393.1	2037410	4004890	0.0369517958684784	-0.0295854883386259	-6173.946919697693	1102.045298188678	4080340
GCF_002111005.1	NZ_CP018405.1	362140	2346460	0.0368774662610952	-0.0296612589178735	-627.2897038519811	6690.386046857197	4062516
GCF_002111025.1	NZ_CP018406.1	3466920	1353540	0.0370716067671282	-0.0296517222979545	-1253.9286296452335	5012.614406604745	4077823
GCF_002111045.1	NZ_CP018410.1	2076670	156180	0.0307543501146682	-0.0367428079561691	-6846.40901745	210.01484334268787	4056450
GCF_002111065.1	NZ_CP018368.1	1397100	3402640	0.0370140399708897	-0.0300961319960422	-4032.26913995276	3404.756569524653	4114432
GCF_002111085.1	NZ_CP018373.1	1542390	3549920	0.0369306063630547	-0.0290841396079074	-4545.494993928165	2868.44666831634	4121819
GCF_002111105.1	NZ_CP018418.1	481960	2641500	0.0300355984506068	-0.0370799611794711	-1876.1408944806983	4610.18111706571	4149750
GCF_002111145.1	NZ_CP018387.1	597370	2648870	0.028844113891521	-0.0371957149486048	-2155.5887277570937	3761.7842286520895	4047168
GCF_002111165.1	NZ_CP018389.1	2323710	360510	0.0303699932143623	-0.0365241609517843	-6276.710084939889	907.7580699809868	4099199
GCF_002111185.1	NZ_CP018395.1	892870	2954000	0.0311030764907381	-0.0358422598593624	-3237.4679007546347	3173.428231514814	4104810
GCF_002111205.1	NZ_CP018399.1	2777920	618100	0.0367618221823549	-0.0300374632494019	-4245.563768583536	2241.9922435321964	4191510
GCF_002111225.1	NZ_CP018400.1	2147370	176050	0.0286547065572728	-0.036103263553541	-6862.794104728568	254.319092332987	4012048
GCF_002111245.1	NZ_CP018403.1	964890	2953130	0.0367268503380444	-0.0296430401427504	-2278.485480541314	5037.734797439129	4062501
GCF_002111265.1	NZ_CP018408.1	1336110	3449480	0.0296468944882306	-0.0370766013613131	-4934.488721234447	1331.0032912280633	4077668
GCF_002111285.1	NZ_CP018414.1	2258630	170840	0.029949650380398	-0.036801561860867	-7453.181742649637	238.5634966034984	4191431
GCF_002111305.1	NZ_CP018416.1	1004260	3167730	0.0307385869808605	-0.0363227034472586	-3782.5287443005286	2867.6783108935247	4121864
GCF_002111325.1	NZ_CP018369.1	2624100	656090	0.0285117437977411	-0.0370835802227229	-5252.178807222106	2051.705659068459	4027562
GCF_002111345.1	NZ_CP018372.1	4045800	2149200	0.0249501863557423	-0.0353715511704151	-1343.7543745825676	5366.5273233963135	4046807
GCF_002111365.1	NZ_CP018383.1	1221220	3320050	0.0288202915955042	-0.0358090196491862	-4417.34600842732	1645.2905559876515	4135235
GCF_002111385.1	NZ_CP018413.1	4127690	2107460	0.0312395433168975	-0.0366304567192775	-716.5730852328566	6683.627650211305	4177999
GCF_002843645.1	NZ_CP025264.1	86190	2058390	0.0362682791672907	-0.0295540037262854	-157.96488571657935	6996.20712791857	4019555
GCF_002860065.1	NZ_CP019042.1	2974220	956160	0.0355892285256731	-0.0293506273196812	-2686.9376717964187	3250.102440603525	4091945
GCF_003445415.1	NZ_CP008755.1	1863790	3874090	0.0370914623646542	-0.0287670354572589	-5648.17261227773	1808.6682748633964	4033039
GCF_003546995.3	NZ_CP025300.3	2300	1976350	0.0361276950380549	-0.0302228357930384	0.1471471471471471	7144.894043077926	4098130
GCF_003547015.1	NZ_CP025304.1	4061310	2017440	0.027950545153218	-0.0374958340832668	-2010.2999264512323	5687.960002564707	4066496
GCF_003547035.1	NZ_CP025306.1	3981760	2003600	0.0284614343031785	-0.0367843204952833	-1559.0519131007231	5751.80332086106	3987008
GCF_003547055.1	NZ_CP025302.1	4008090	2022080	0.0287532277007033	-0.0367726301143433	-1474.0255212578804	5863.779294089685	4013273
GCF_003606245.1	NZ_CP023775.1	3734530	1728510	0.0293030347670729	-0.03775205939895	-2220.9166768389723	5352.232296210714	4075641
GCF_003798245.1	NZ_CP033703.1	3639480	1580290	0.0285368286455627	-0.0372783353025364	-2789.541855292181	4886.778486194517	4098323
GCF_003798265.1	NZ_CP033705.1	1094730	3078080	0.0290307019072255	-0.0362053146703251	-4038.602391520628	1719.2078488946995	4007610
GCF_003798365.1	NZ_CP033702.1	3210840	1205410	0.0284861770900769	-0.037042882084509	-3538.517334299946	3890.189133505941	4003948
GCF_003852635.1	NZ_CM011864.1	2461200	436200	0.0296246199878487	-0.0370581850104872	-6226.132581456193	1283.8182864469866	4022704
GCF_004323015.1	NZ_CP036452.1	3854440	1862040	0.0300034335336929	-0.0340469593835602	-1181.1550644353808	5637.812785249779	3859639
GCF_004323035.1	NZ_CP036454.1	3847640	1859310	0.0300303748284143	-0.0342621244481111	-1213.097421384557	5635.151890910483	3852886
GCF_004348055.1	NZ_CP037758.1	3849750	1835820	0.0301007030512994	-0.0345303799187179	-1412.5771698201022	5576.66252218436	3854943
GCF_004348075.1	NZ_CP037760.1	3845450	1834550	0.0307249756674236	-0.0342502543738308	-1234.7869785950695	5688.175718468334	3850633
GCF_004367665.1	NZ_CP037974.1	3836800	1833170	0.030395407670606	-0.0342607342864176	-1276.6309668501228	5623.449593885535	3842045
GCF_004367685.1	NZ_CP037970.1	3850390	1851460	0.0300704575428714	-0.034378998098353	-1289.0294262620748	5618.531554391532	3855598
GCF_004367705.1	NZ_CP037976.1	3842460	1834610	0.030605308262253	-0.0341809528486427	-1232.2273983175244	5665.380794292257	3847660
GCF_004367725.1	NZ_CP037972.1	3837410	1833900	0.0303011969044858	-0.0342926511979367	-1297.7223314696787	5608.334908668218	3842655
GCF_004526325.1	NZ_CP038195.1	3861080	1860240	0.0300507795826327	-0.0341701955427974	-1231.0867277431153	5641.327594921839	3866281
GCF_006542565.1	NZ_CP041218.1	2076550	156020	0.0270048963246976	-0.0365523211537756	-6807.183554766876	212.80402243274804	4056412
GCF_006542585.1	NZ_CP041220.1	2076670	156020	0.0276382346068145	-0.0364660096344016	-6796.221458148492	207.6256774988559	4056550
GCF_008728255.1	NZ_CP038214.1	3435490	1495970	0.0290235761048531	-0.0368273077902276	-2424.218168946186	4718.517834616554	3932929
GCF_008728275.1	NZ_CP038216.1	3440200	1501010	0.0290078630766646	-0.036918377974358	-2428.659338201592	4730.5391508513385	3932431
GCF_008728295.1	NZ_CP038218.1	3500920	1505930	0.036970573033046	-0.0290910465984424	-303.8766352293936	5499.784913983404	3934903
GCF_008728315.1	NZ_CP038220.1	1950370	3888410	0.0369559539716465	-0.0292593834401615	-5810.402767444477	1351.8392454350528	3931933
GCF_008728335.1	NZ_CP038222.1	1416130	3409860	0.0290032326551546	-0.0368261350736303	-5273.392939462176	509.07291484302897	3933419
GCF_008728355.1	NZ_CP038224.1	854650	2796660	0.0367719991837097	-0.0290196967460705	-2138.246577314675	5017.195576957386	3931555
GCF_008728375.1	NZ_CP038226.1	1372010	3311820	0.0369880308183222	-0.0290190653970967	-3886.124117865482	3288.883326641148	3933317
GCF_009749345.1	NZ_CP046584.1	2657090	676970	0.0290048604672054	-0.0369323782313196	-5082.681794890783	2244.286959016008	4009467
GCF_016864355.1	NZ_CP069360.1	2052140	4035120	0.0374097177833977	-0.0310286930387106	-6640.999654272561	777.2799117532163	4166395
GCF_017378155.1	NZ_CP071746.1	86000	2103540	0.0367004196471104	-0.0302105052824476	-154.7535563619274	7249.71185166808	4046673
GCF_017378195.1	NZ_CP071749.1	85890	2157080	0.0369045533301444	-0.0300121727993084	-158.04907922687897	7485.594347508226	4117487
GCF_017378235.1	NZ_CP071751.1	1421510	3421590	0.0364090296559434	-0.0290929397080627	-4069.598846081568	3212.504665549714	3924767
GCF_017378275.1	NZ_CP071757.1	85950	2082040	0.0361750168345973	-0.0296499911258163	-158.4418791498321	7064.176796585259	4071067
GCF_017378355.1	NZ_CP071759.1	1543980	3584900	0.0300339752520478	-0.0369481297063025	-5670.115896045528	474.8710583475802	4049558
GCF_017378435.1	NZ_CP071761.1	85990	2118670	0.038535149946997	-0.0298955072963208	-159.93626082116018	7673.060891148381	4044757
GCF_018228345.1	NZ_CP073722.1	86020	2001560	0.0366793435754936	-0.0291235973922477	-156.41200093077163	6869.667617330402	3947811
GCF_018228385.1	NZ_CP073728.1	85990	2005530	0.0360982922283484	-0.0293044300868496	-156.3877361213318	6772.834499782412	3990066
GCF_018228525.1	NZ_CP073725.1	86020	2060910	0.0360369735897395	-0.029202061587443	-155.29521883715896	6961.619940076775	3995906
GCF_018228545.1	NZ_CP073740.1	84490	2001490	0.0365869472207223	-0.029225001206027	-155.11557162350405	6864.479306795932	3944884
GCF_018228565.1	NZ_CP073734.1	86060	2001580	0.0366493950771433	-0.0291765338384205	-156.77783239602255	6863.499884390906	3945139
GCF_018228605.1	NZ_CP073737.1	86000	2037340	0.0365565324009126	-0.0304244643253169	-157.22825863567002	6976.19713185791	3985970
GCF_902141795.1	NZ_LR595896.1	3981760	2003600	0.0284614343031785	-0.0367843204952833	-1559.0519131007231	5751.80332086106	3987008
GCF_902141805.1	NZ_LR595892.1	4092940	2100370	0.0308863265233318	-0.0362141746257406	-712.6264259542419	6537.785887966286	4098130
GCF_902141815.1	NZ_LR595898.1	4061310	2017440	0.027950545153218	-0.0374958340832668	-2010.2999264512323	5687.960002564707	4066496
GCF_902141835.1	NZ_LR595894.1	4008090	2022080	0.0287532277007033	-0.0367726301143433	-1474.0255212578804	5863.779294089685	4013273
GCF_000011545.1	NC_006350.1	4069360	2015710	0.030739704426938	-0.0350451411833122	-984.8585514711436	6246.845458989474	4074542
GCF_000959285.1	NZ_CP009538.1	1698190	3671140	0.0367667819025519	-0.0294718310633309	-5212.949501357525	2055.212911768522	4074547
GCF_000193455.1	NZ_CM000832.1	243850	2383530	0.0306418200447258	-0.0369234669793052	-927.7000583411586	5628.67188455233	4118977
GCF_000012785.1	NC_007434.1	223050	2369030	0.0312540766784188	-0.0370498913847525	-819.008941942519	5888.061798453905	4126292
GCF_000015905.1	NC_009074.1	3907660	1987070	0.0291197260068487	-0.0362790866052262	-1166.0273636126128	5835.590880290112	3912947
GCF_000757035.2	NZ_CP009899.1	849300	2911530	0.0301397870360267	-0.0363849608205723	-3263.492511781289	2952.0307750407155	4140573
GCF_000193475.1	NZ_CM000774.1	3251210	1260910	0.0287095275422952	-0.0362117981164545	-3221.8481711215786	3991.2695678610553	3976928
