assembly_accession	rel_start	rel_center	rel_end	orientation	has_tandem
GCF_001610935.1	-0.5671340570754986	-0.5663949464798372	-0.5656558358841759	-	False
GCF_001610935.1	-0.3206513679487423	-0.319912257353081	-0.3191731467574196	-	False
GCF_001610935.1	-0.084904081981862	-0.0841649713862007	-0.0834258607905393	-	False
GCF_001610935.1	-0.0153754016388767	-0.0146362910432154	-0.013897180447554	-	False
GCF_001640765.1	0.0166395817832948	0.0174007322708227	0.0181618827583506	+	False
GCF_001640765.1	0.085024670086541	0.0857858205740689	0.0865469710615969	+	False
GCF_001640765.1	0.3326741590633199	0.3334353095508477	0.3341964600383756	+	False
GCF_001640765.1	0.4151916826565375	0.4159528331440656	0.4167139836315934	+	False
GCF_001721625.1	0.0829611618041932	0.0837218856516082	0.084482609499023	+	False
GCF_001721625.1	0.3290946403368414	0.3298553641842563	0.3306160880316712	+	False
GCF_001721625.1	0.4119398261539611	0.412700550001376	0.4134612738487909	+	False
GCF_001721625.1	0.0143033774566269	0.0150641013040417	0.0158248251514567	+	False
GCF_002285535.1	0.0206656088435573	0.0214223817414267	0.0221791546392959	+	False
GCF_002285535.1	0.0951435770425061	0.0959003499403754	0.0966571228382447	+	False
GCF_002285535.1	0.3766318677994352	0.377389128623093	0.3781463894467507	+	False
GCF_002285535.1	0.4658110400040595	0.4665673249761404	0.4673236099482213	+	False
GCF_002285735.1	0.0156317631991352	0.0162608039261848	0.0168898446532347	+	False
GCF_002285735.1	0.0836094235559773	0.0842384642830271	0.0848675050100767	+	False
GCF_002285735.1	0.2791015275778736	0.2797305683049234	0.280359609031973	+	False
GCF_002285735.1	-0.3536590273896031	-0.3530795602757592	-0.3525000931619154	-	False
GCF_002803825.1	0.0161429925456147	0.0167553566031675	0.0173677206607202	+	False
GCF_002803825.1	0.0814119817651591	0.0820243458227119	0.0826367098802646	+	False
GCF_002803825.1	0.3128428724463074	0.3134552365038601	0.3140676005614128	+	False
GCF_002803825.1	0.4239560933388399	0.4245684573963926	0.4251808214539453	+	False
GCF_002812525.1	0.0161599279415082	0.0168139297311411	0.0174679315207738	+	False
GCF_002812525.1	0.0880418223159944	0.0886958241056272	0.08934982589526	+	False
GCF_002812525.1	0.324937493821204	0.3255914956108368	0.3262454974004696	+	False
GCF_002812525.1	0.4520183221896723	0.4526723239793051	0.4533263257689379	+	False
GCF_003144175.1	0.0182397883715026	0.0189784267955879	0.0197170652196733	+	False
GCF_003144175.1	0.0831664875738877	0.083905125997973	0.0846437644220583	+	False
GCF_003144175.1	0.3392564373197541	0.3399950757438394	0.3407337141679247	+	False
GCF_003144175.1	0.4200753143984868	0.4208139528225723	0.4215525912466575	+	False
GCF_003285225.1	0.0188393939692647	0.0196018610703125	0.0203643281713604	+	False
GCF_003285225.1	0.0922875984504223	0.0930495726832729	0.0938115469161236	+	False
GCF_003285225.1	0.3661231973345688	0.3668861573038138	0.3676491172730588	+	False
GCF_003285225.1	0.4501315958086488	0.4508945557778938	0.4516575157471389	+	False
GCF_003285245.1	0.0181183156062492	0.0188521116545583	0.0195859077028675	+	False
GCF_003285245.1	0.0887618281950228	0.089495624243332	0.0902294202916412	+	False
GCF_003285245.1	0.3521026480177552	0.3528364440660643	0.3535702401143736	+	False
GCF_003285245.1	0.4328609797788941	0.4335947758272034	0.4343285718755125	+	False
GCF_003288175.1	0.018643647253654	0.0193880082860653	0.0201323693184768	+	False
GCF_003288175.1	0.0889819179894943	0.0897262790219057	0.0904706400543172	+	False
GCF_003288175.1	0.3386544568376389	0.3393988178700504	0.3401431789024617	+	False
GCF_003288175.1	0.5872229563250492	0.5879673173574607	0.588711678389872	+	False
GCF_007724845.1	-0.3287238027866361	-0.327984547423588	-0.32724529206054	-	False
GCF_007724845.1	-0.0895159802763816	-0.0887767249133335	-0.0880374695502855	-	False
GCF_007724845.1	-0.0169938406479204	-0.0162545852848724	-0.0155153299218243	-	False
GCF_007724845.1	0.7090174177176254	0.7097647839126422	0.7105121501076592	+	False
GCF_014192345.1	0.0184127921864315	0.0191550965331317	0.019897400879832	+	False
GCF_014192345.1	0.0861753967348199	0.0869172215567484	0.0876590463786768	+	False
GCF_014192345.1	0.3215405404627797	0.3222828448094801	0.3230251491561802	+	False
GCF_014192345.1	0.4053662658159258	0.4061085701626261	0.4068508745093263	+	False
GCF_014843075.1	0.0184113754537194	0.0191477924141441	0.0198842093745688	+	False
GCF_014843075.1	0.4188909027767867	0.4196273197372115	0.4203637366976361	+	False
GCF_014843075.1	-0.2677108646666372	-0.2670269076127778	-0.2663429505589184	-	False
GCF_014843075.1	-0.041557018512791	-0.0408730614589316	-0.0401891044050722	-	False
GCF_014874555.1	0.0186402815638502	0.0193930116692617	0.020145741774673	+	False
GCF_014874555.1	0.0874917457406076	0.088244475846019	0.0889972059514304	+	False
GCF_014874555.1	0.3201573147569139	0.3209100448623252	0.3216627749677366	+	False
GCF_014874555.1	0.4116140225643978	0.4123667526698091	0.4131194827752206	+	False
GCF_015291825.1	0.0152002771129865	0.0158096107822143	0.0164189444514422	+	False
GCF_015291825.1	0.0804107885124071	0.0810201221816349	0.0816294558508628	+	False
GCF_015291825.1	0.3109585590124701	0.311567892681698	0.3121772263509258	+	False
GCF_015291825.1	0.3875527459377755	0.3881616859806021	0.3887706260234286	+	False
GCF_015908885.1	0.0110558645115393	0.0116479380694118	0.0122400116272843	+	False
GCF_015908885.1	0.0729979269775945	0.073590000535467	0.0741820740933395	+	False
GCF_015908885.1	0.3104882694470155	0.311080343004888	0.3116724165627605	+	False
GCF_015908885.1	-0.4515684243911508	-0.4509172803040692	-0.4502661362169874	-	False
GCF_016774475.1	0.0189774356989375	0.0197456243517788	0.02051381300462	+	False
GCF_016774475.1	0.0872102544252728	0.087978443078114	0.0887466317309553	+	False
GCF_016774475.1	0.3402222189139162	0.3409904075667573	0.3417585962195987	+	False
GCF_016774475.1	-0.5190281180622507	-0.518343519755172	-0.5176589214480934	-	False
GCF_017309405.1	0.017742872433367	0.0184545999277294	0.0191663274220919	+	False
GCF_017309405.1	0.0792588154036858	0.0799705428980481	0.0806822703924106	+	False
GCF_017309405.1	0.3093700113894695	0.3100817388838319	0.3107934663781944	+	False
GCF_017309405.1	0.3914922034735595	0.3922039309679219	0.3929156584622844	+	False
GCF_017372155.1	0.0178611262817011	0.0185226494773198	0.0191841726729383	+	False
GCF_017372155.1	0.0859937420247567	0.0866552652203753	0.0873167884159938	+	False
GCF_017372155.1	0.3346281752472378	0.3352896984428564	0.335951221638475	+	False
GCF_017372155.1	0.4251371976886003	0.4257987208842189	0.4264602440798374	+	False
GCF_902702745.1	0.0185505697592026	0.0192997943988197	0.0200490190384369	+	False
GCF_902702745.1	0.0872169111810645	0.0879661358206815	0.0887153604602988	+	False
GCF_902702745.1	0.3260530768545729	0.3268023014941901	0.3275515261338073	+	False
GCF_902702745.1	-0.5160694183020075	-0.515372353359691	-0.5146752884173744	-	False
GCF_902702765.1	0.0167225685306826	0.0173979281989711	0.0180732878672595	+	False
GCF_902702765.1	0.0786349009123463	0.0793102605806348	0.0799856202489232	+	False
GCF_902702765.1	0.298152969837425	0.2988283295057135	0.2995036891740019	+	False
GCF_902702765.1	0.3777529195781009	0.3784282792463893	0.3791036389146778	+	False
GCF_902702775.1	0.0142728093947606	0.0150166253435584	0.0157604412923561	+	False
GCF_902702775.1	0.0818293643929347	0.0825731803417324	0.0833169962905302	+	False
GCF_902702775.1	0.309958869092237	0.3107026850410348	0.3114465009898326	+	False
GCF_902702775.1	0.3907830248515251	0.3915268408003229	0.3922706567491207	+	False
GCF_902702785.1	0.0175255194971283	0.0182754090482797	0.019025298599431	+	False
GCF_902702785.1	0.0862518311256481	0.0870017206767994	0.0877516102279509	+	False
GCF_902702785.1	0.3245723498089429	0.3253222393600943	0.3260721289112456	+	False
GCF_902702785.1	-0.5074140799499968	-0.5067026371181969	-0.505991194286397	-	False
GCF_000026745.1	0.0132307468441922	0.0139346647750009	0.0146385827058095	+	False
GCF_000026745.1	0.0776210484193677	0.0783249663501763	0.0790288842809851	+	False
GCF_000026745.1	0.2970269926152279	0.2977309105460366	0.2984348284768452	+	False
GCF_000026745.1	0.3841536614645858	0.3848575793953945	0.3855614973262032	+	False
GCF_000231925.1	0.0198936733474317	0.0206925165729006	0.0214913597983694	+	False
GCF_000231925.1	0.1044946800550314	0.1052935232805003	0.1060923665059691	+	False
GCF_000231925.1	0.3533849175509159	0.3541837607763849	0.3549826040018536	+	False
GCF_000231925.1	0.4501244193163182	0.4509232625417869	0.4517221057672559	+	False
GCF_000231885.1	0.0190383852195882	0.0197987025489294	0.0205590198782706	+	False
GCF_000231885.1	0.0942547907850325	0.0950151081143737	0.0957754254437149	+	False
GCF_000231885.1	0.3456840694855382	0.3464443868148794	0.3472047041442206	+	False
GCF_000231885.1	0.4359879606599633	0.4367482779893046	0.4375085953186456	+	False
GCF_000204625.1	0.0208272611855137	0.0215919813068414	0.0223567014281691	+	False
