assembly_accession	start	end	orientation
GCF_000953275.1	10814	12316	+
GCF_000953275.1	16109	17611	+
GCF_000953275.1	30564	32066	+
GCF_000953275.1	129449	130951	+
GCF_000953275.1	136396	137898	+
GCF_000953275.1	147006	148508	+
GCF_000953275.1	152461	153963	+
GCF_000953275.1	382636	384138	+
GCF_000953275.1	1214494	1215996	+
GCF_000953275.1	3109886	3111388	-
GCF_000953275.1	4010490	4011992	-
GCF_000953275.1	4153196	4154698	-
GCF_001577795.1	219224	220726	-
GCF_001577795.1	361848	363350	-
GCF_001577795.1	512497	513999	+
GCF_001577795.1	517772	519274	+
GCF_001577795.1	532224	533726	+
GCF_001577795.1	631173	632675	+
GCF_001577795.1	638101	639603	+
GCF_001577795.1	648650	650152	+
GCF_001577795.1	654102	655604	+
GCF_001577795.1	889100	890602	+
GCF_001577795.1	1571907	1573409	+
GCF_001577795.1	3567914	3569416	-
GCF_002007885.1	82834	84336	+
GCF_002007885.1	221553	223055	+
GCF_002007885.1	1007887	1009389	+
GCF_002007885.1	2916487	2917989	-
GCF_002007885.1	3664639	3666141	-
GCF_002007885.1	3909294	3910796	-
GCF_002007885.1	3914706	3916208	-
GCF_002007885.1	3925317	3926819	-
GCF_002007885.1	3932267	3933769	-
GCF_002007885.1	4031172	4032674	-
GCF_002007885.1	4045563	4047065	-
GCF_002007885.1	4050814	4052316	-
GCF_002073735.2	1040805	1042307	-
GCF_002073735.2	1742854	1744356	-
GCF_002073735.2	2041393	2042895	-
GCF_002073735.2	2046844	2048346	-
GCF_002073735.2	2057393	2058895	-
GCF_002073735.2	2064339	2065841	-
GCF_002073735.2	2163283	2164785	-
GCF_002073735.2	2177738	2179240	-
GCF_002073735.2	2182970	2184473	-
GCF_002073735.2	2333274	2334776	+
GCF_002073735.2	2476486	2477988	+
GCF_002073735.2	3289939	3291441	+
GCF_002080065.1	10814	12316	+
GCF_002080065.1	16109	17611	+
GCF_002080065.1	30564	32066	+
GCF_002080065.1	129449	130951	+
GCF_002080065.1	136396	137898	+
GCF_002080065.1	147006	148508	+
GCF_002080065.1	152461	153963	+
GCF_002080065.1	382636	384138	+
GCF_002080065.1	1214494	1215996	+
GCF_002080065.1	3109885	3111387	-
GCF_002080065.1	4010489	4011991	-
GCF_002080065.1	4153195	4154697	-
GCF_002234355.1	10812	12314	+
GCF_002234355.1	16063	17565	+
GCF_002234355.1	30454	31956	+
GCF_002234355.1	129359	130861	+
GCF_002234355.1	136309	137811	+
GCF_002234355.1	146920	148422	+
GCF_002234355.1	152332	153834	+
GCF_002234355.1	390432	391934	+
GCF_002234355.1	1112744	1114246	+
GCF_002234355.1	3016318	3017820	-
GCF_002234355.1	3802817	3804319	-
GCF_002234355.1	3941536	3943038	-
GCF_002812585.1	22259	23761	+
GCF_002812585.1	29083	30585	+
GCF_002812585.1	39592	41094	+
GCF_002812585.1	45005	46507	+
GCF_002812585.1	281186	282688	+
GCF_002812585.1	990499	992001	+
GCF_002812585.1	2884218	2885720	-
GCF_002812585.1	3760762	3762264	-
GCF_002812585.1	3916387	3917889	-
GCF_002812585.1	4089816	4091318	+
GCF_002812585.1	4095109	4096611	+
GCF_002812585.1	4109429	4110931	+
GCF_002812605.1	39451	40953	+
GCF_002812605.1	46401	47903	+
GCF_002812605.1	57012	58514	+
GCF_002812605.1	62424	63926	+
GCF_002812605.1	300538	302040	+
GCF_002812605.1	1022746	1024248	+
GCF_002812605.1	2949378	2950880	-
GCF_002812605.1	3735861	3737363	-
GCF_002812605.1	3874580	3876082	-
GCF_002812605.1	4030984	4032486	+
GCF_002812605.1	4036235	4037737	+
GCF_002812605.1	4050626	4052128	+
GCF_002812625.1	39451	40953	+
GCF_002812625.1	46463	47965	+
GCF_002812625.1	57074	58576	+
GCF_002812625.1	62526	64028	+
GCF_002812625.1	347609	349111	+
GCF_002812625.1	1035870	1037372	+
GCF_002812625.1	2941829	2943331	-
GCF_002812625.1	3815800	3817302	-
GCF_002812625.1	3958424	3959926	-
GCF_002812625.1	4109074	4110576	+
GCF_002812625.1	4114348	4115850	+
GCF_002812625.1	4128801	4130303	+
GCF_002812645.1	39450	40952	+
GCF_002812645.1	46295	47797	+
GCF_002812645.1	56906	58408	+
GCF_002812645.1	62318	63820	+
GCF_002812645.1	298551	300053	+
GCF_002812645.1	1016061	1017563	+
GCF_002812645.1	2909147	2910649	-
GCF_002812645.1	3705261	3706763	-
GCF_002812645.1	3845580	3847082	-
GCF_002812645.1	3996225	3997727	+
GCF_002812645.1	4001518	4003020	+
GCF_002812645.1	4015909	4017411	+
GCF_002945415.1	10812	12314	+
GCF_002945415.1	16105	17607	+
GCF_002945415.1	30549	32051	+
GCF_002945415.1	133417	134919	+
GCF_002945415.1	140241	141743	+
GCF_002945415.1	150750	152252	+
GCF_002945415.1	156163	157665	+
GCF_002945415.1	392336	393838	+
GCF_002945415.1	1101194	1102696	+
GCF_002945415.1	2994912	2996414	-
GCF_002945415.1	3801242	3802744	-
GCF_002945415.1	3956867	3958369	-
GCF_002945515.1	10812	12314	+
GCF_002945515.1	16105	17607	+
GCF_002945515.1	30425	31927	+
GCF_002945515.1	133293	134795	+
GCF_002945515.1	140117	141619	+
GCF_002945515.1	150506	152008	+
