assembly_accession	rel_start	rel_center	rel_end	orientation	has_tandem
GCF_000742715.1	0.0634605925539085	0.0639230129283385	0.0643854333027684	+	False
GCF_000742715.1	0.5694073853665054	0.5698707166149493	0.5703340478633931	+	False
GCF_000742715.1	0.9490032002040356	0.9494656205784656	0.9499280409528956	+	False
GCF_000742715.1	-0.3970585350479237	-0.3965605967674226	-0.3960626584869215	-	True
GCF_000742715.1	-0.391401720780537	-0.390903782500036	-0.3904058442195349	-	True
GCF_000742715.1	-0.0972637261607552	-0.0967651339888812	-0.0962665418170072	-	False
GCF_000742735.1	0.0646788337882079	0.0651501086129109	0.0656213834376141	+	False
GCF_000742735.1	0.561238496624026	0.5617106997642078	0.5621829029043897	+	False
GCF_000742735.1	0.9480137143140058	0.9484849891387088	0.948956263963412	+	False
GCF_000742735.1	-0.396922045145691	-0.3964242829511709	-0.3959265207566508	-	True
GCF_000742735.1	-0.3912672312982932	-0.3907694691037731	-0.390271706909253	-	True
GCF_000742735.1	-0.0972293307762148	-0.0967309149215575	-0.0962324990669001	-	False
GCF_000828015.1	0.0440547756013046	0.0445286055157871	0.0450024354302696	+	False
GCF_000828015.1	0.5623519474193688	0.5628254690515386	0.5632989906837085	+	False
GCF_000828015.1	0.947066077230885	0.9475395988630548	0.9480131204952248	+	False
GCF_000828015.1	-0.4046349475829771	-0.4041506033176321	-0.4036662590522871	-	True
GCF_000828015.1	-0.399164632273599	-0.398680288008254	-0.398195943742909	-	True
GCF_000828015.1	-0.1200044902749599	-0.1195198306813172	-0.1190351710876745	-	False
GCF_001447865.2	0.0609156085341625	0.0613541216780397	0.061792634821917	+	False
GCF_001447865.2	0.5735216377299819	0.5739610146554952	0.5744003915810083	+	False
GCF_001447865.2	0.9518142293628172	0.9522533183611184	0.9526924073594196	+	False
GCF_001447865.2	-0.4041654760770867	-0.4036904853061014	-0.403215494535116	-	True
GCF_001447865.2	-0.3987382551839671	-0.3982641982087307	-0.3977901412334944	-	True
GCF_001447865.2	-0.1163453475494398	-0.1158712905742034	-0.1153972335989671	-	False
GCF_001518935.2	0.0647065579418858	0.0651695852701697	0.0656326125984537	+	False
GCF_001518935.2	0.5878403946008354	0.5883040264034383	0.5887676582060412	+	False
GCF_001518935.2	0.9394534343208428	0.9399164616491268	0.9403794889774107	+	False
GCF_001518935.2	-0.3788229896327302	-0.3783409225895862	-0.3778588555464421	-	False
GCF_001518935.2	-0.3689220742081561	-0.3684400071650121	-0.367957940121868	-	False
GCF_001518935.2	-0.0882729492509734	-0.0877915107176638	-0.0873100721843545	-	False
GCF_001643035.1	0.0609598435318502	0.0614291249715539	0.0618984064112578	+	False
GCF_001643035.1	0.5506442625269852	0.5511138514905682	0.5515834404541513	+	False
GCF_001643035.1	0.944439045691898	0.9449086346554808	0.945378223619064	+	False
GCF_001643035.1	-0.4036614336332378	-0.4032168501229159	-0.4027722666125941	-	False
GCF_001643035.1	-0.1231700260981591	-0.1227251512487086	-0.1222802763992581	-	False
GCF_001687645.1	0.0616637157695939	0.0621134324834748	0.0625631491973559	+	False
GCF_001687645.1	0.5637370160528801	0.5641873229461756	0.5646376298394712	+	False
GCF_001687645.1	0.950555358829084	0.9510053706326724	0.9514553824362606	+	False
GCF_001687645.1	-0.40391236502091	-0.4034361150989326	-0.4029598651769552	-	True
GCF_001687645.1	-0.3984757505773672	-0.398000436926534	-0.3975251232757006	-	True
GCF_001687645.1	-0.1166537669309032	-0.1161784532800699	-0.1157031396292366	-	False
GCF_001936195.1	0.0611982522315676	0.0616442728955322	0.0620902935594967	+	False
GCF_001936195.1	0.5646481034603941	0.5650950026942811	0.5655419019281681	+	False
GCF_001936195.1	0.950932455544362	0.951379061921608	0.9518256682988544	+	False
GCF_001936195.1	-0.4090132378703071	-0.4085440802204241	-0.4080749225705412	-	True
GCF_001936195.1	-0.4036526659283941	-0.4031844306067874	-0.4027161952851808	-	True
GCF_001936195.1	-0.1149048864337193	-0.1144366511121126	-0.113968415790506	-	False
GCF_002163915.1	0.3575426440757084	0.3579805545989472	0.3584184651221859	+	True
GCF_002163915.1	0.3626150838008002	0.3630529943240388	0.3634909048472776	+	True
GCF_002163915.1	-0.9471184939944564	-0.9466276562981212	-0.9461368186017862	-	False
GCF_002163915.1	-0.546301072785135	-0.5458095934708962	-0.5453181141566574	-	False
GCF_002163915.1	-0.0451211374602196	-0.0446299789549327	-0.0441388204496458	-	False
GCF_002163915.1	0.0949851093260353	0.095423019849274	0.0958609303725128	+	False
GCF_002220135.1	0.5693090620967296	0.5697535881055793	0.570198114114429	+	False
GCF_002220135.1	0.9511936076810366	0.9516378423884388	0.9520820770958413	+	False
GCF_002220135.1	-0.4035902936719281	-0.4031144565915596	-0.4026386195111912	-	True
GCF_002220135.1	-0.3981534028899463	-0.3976785012691067	-0.3972035996482672	-	True
GCF_002220135.1	-0.116554515463146	-0.1160796138423064	-0.1156047122214669	-	False
GCF_002220135.1	0.060875593890826	0.0613192459953333	0.0617628980998406	+	False
GCF_002277975.1	0.0495888614235988	0.0501376467451228	0.0506864320666469	+	False
GCF_002277975.1	0.545004720346495	0.5455538659998127	0.5461030116531302	+	False
GCF_002277975.1	0.939505336513862	0.940054121835386	0.94060290715691	+	False
GCF_002277975.1	-0.4109849226417285	-0.41046182781628	-0.4099387329908316	-	True
GCF_002277975.1	-0.4048939419230793	-0.4043708470976308	-0.4038477522721824	-	True
GCF_002277975.1	-0.1150808615986574	-0.114557766773209	-0.1140346719477605	-	False
GCF_002355675.1	0.0616077166626377	0.0620566957731696	0.0625056748837017	+	False
GCF_002355675.1	0.5641347350050411	0.5645845985130331	0.565034462021025	+	False
GCF_002355675.1	0.9506040434651872	0.9510536121740258	0.9515031808828645	+	False
GCF_002355675.1	-0.4048873942907154	-0.4044110899628382	-0.4039347856349611	-	True
GCF_002355675.1	-0.3994451647619695	-0.3989697968121943	-0.3984944288624192	-	True
GCF_002355675.1	-0.1166677174909811	-0.1161923495412059	-0.1157169815914307	-	False
