assembly_accession	start	end	orientation
GCF_001188185.2	464480	466030	-
GCF_001188185.2	567615	569166	+
GCF_001188185.2	608319	609870	+
GCF_001188185.2	668265	669817	+
GCF_001188185.2	712628	714178	+
GCF_001188185.2	893055	894605	+
GCF_001188185.2	898496	900046	+
GCF_001188185.2	1004407	1005957	+
GCF_001188185.2	3227205	3228757	-
GCF_001188185.2	1301842	1303392	-
GCF_001244315.1	25950	27502	+
GCF_001244315.1	66515	68067	+
GCF_001244315.1	126468	128020	+
GCF_001244315.1	174470	176022	+
GCF_001244315.1	179715	181267	+
GCF_001244315.1	360081	361633	+
GCF_001244315.1	465747	467299	+
GCF_001244315.1	2697227	2698779	-
GCF_001244315.1	3208051	3209603	-
GCF_001244315.1	132968	134520	+
GCF_001304775.1	25913	27465	+
GCF_001304775.1	67135	68687	+
GCF_001304775.1	127118	128670	+
GCF_001304775.1	132363	133915	+
GCF_001304775.1	177211	178763	+
GCF_001304775.1	182457	184009	+
GCF_001304775.1	362619	364171	+
GCF_001304775.1	368111	369663	+
GCF_001304775.1	478573	480125	+
GCF_001304775.1	2753667	2755219	-
GCF_001304775.1	3318666	3320218	-
GCF_001304775.1	132667	134219	+
GCF_001433415.1	59798	61350	+
GCF_001433415.1	587915	589467	+
GCF_001433415.1	2826591	2828143	-
GCF_001433415.1	2951221	2952773	-
GCF_001433415.1	2960186	2961738	-
GCF_001433415.1	3142048	3143600	-
GCF_001433415.1	3147293	3148845	-
GCF_001433415.1	3191930	3193482	-
GCF_001433415.1	3197176	3198728	-
GCF_001433415.1	3257169	3258721	-
GCF_001433415.1	3298479	3300031	-
GCF_001433415.1	132103	133655	+
GCF_001558495.2	243685	245237	-
GCF_001558495.2	769937	771489	-
GCF_001558495.2	853747	855298	+
GCF_001558495.2	895069	896620	+
GCF_001558495.2	900558	902109	+
GCF_001558495.2	960564	962116	+
GCF_001558495.2	1005081	1006633	+
GCF_001558495.2	1010327	1011879	+
GCF_001558495.2	1015999	1017551	+
GCF_001558495.2	1021485	1023034	+
GCF_001558495.2	1026971	1028523	+
GCF_001558495.2	1156057	1157609	+
GCF_001558495.2	1336269	1337820	+
GCF_001558495.2	1319062	1320614	-
GCF_001682175.1	33628	35180	+
GCF_001682175.1	74107	75659	+
GCF_001682175.1	134006	135558	+
GCF_001682175.1	139251	140803	+
GCF_001682175.1	183878	185430	+
GCF_001682175.1	189122	190674	+
GCF_001682175.1	369316	370867	+
GCF_001682175.1	374740	376292	+
GCF_001682175.1	387013	388564	+
GCF_001682175.1	496826	498378	+
